author;author_type;url;location;deal_type;accommodation_type;floor;floors_count;rooms_count;total_meters;price;district;street;house_number;underground;residential_complex
ZIP Realty;real_estate_agent;https://www.cian.ru/sale/flat/303387198/;Москва и МО;sale;flat;18;22;1;30.0;11700000;;бульвар Андрея Тарковского;11;Рассказовка;Рассказово
Перспектива;developer;https://krym.cian.ru/sale/flat/305496510/;Москва и МО;sale;flat;2;8;1;70.3;16000000;Восход пгт; Наташинская;2Ж;;Монако
Homeapp;real_estate_agent;https://www.cian.ru/sale/flat/303534103/;Москва и МО;sale;flat;16;25;1;34.0;9700000;;;7;Ольховая;
СК10;developer;https://rostov.cian.ru/sale/flat/303045403/;Москва и МО;sale;flat;24;25;1;33.37;4110000;Советский;;;;Малина парк
ID 148596;homeowner;https://www.cian.ru/sale/flat/268629674/;Москва и МО;sale;flat;10;10;1;38.5;11280000;Выхино-Жулебино;Жулебинский бульвар;6/11;Лермонтовский проспект;
РКС Девелопмент;developer;https://krasnodar.cian.ru/sale/flat/308252390/;Москва и МО;sale;flat;2;7;1;41.7;10491720;;;;;Anapolis Residence
ZIP Realty;real_estate_agent;https://www.cian.ru/sale/flat/307496200/;Москва и МО;sale;flat;1;10;1;31.0;14500000;Раменки;Мичуринский проспект;10К1;Ломоносовский проспект;
TEN девелопмент;developer;https://ekb.cian.ru/sale/flat/306297927/;Москва и МО;sale;flat;3;18;1;34.1;5901000;Верх-Исетский;;;Площадь 1905 года;Русь XXI ЖК
ID 112609323;realtor;https://www.cian.ru/sale/flat/307205775/;Москва и МО;sale;flat;4;6;1;59.35;101785250;Мещанский; Кузнецкий Мост;12/3С1;Кузнецкий мост;Kuznetsky Most 12 by Lalique
СЗ Феникс;developer;https://rostov.cian.ru/sale/flat/293615913/;Москва и МО;sale;flat;4;13;1;47.1;8379202;Советский;;;;Таймс ЖК
Romanov Estate;real_estate_agent;https://www.cian.ru/sale/flat/302630222/;Москва и МО;sale;flat;25;45;1;64.0;40999999;Дорогомилово;Кутузовский проезд;16А/1;Шелепиха;River Park Кутузовский
TEN девелопмент;developer;https://ekb.cian.ru/sale/flat/306899926/;Москва и МО;sale;flat;14;23;1;34.0;4893000;Кировский;;;Машиностроителей;Основинские кварталы ЖК
hoomie;real_estate_agent;https://www.cian.ru/sale/flat/305679592/;Москва и МО;sale;flat;7;20;1;43.09;20252300;Даниловский;Автозаводская ;26;Тульская;FORST
TEN девелопмент;developer;https://ekb.cian.ru/sale/flat/302623378/;Москва и МО;sale;flat;2;29;1;34.6;8557000;Центр; Свердлова;12;Динамо;Екатерининский парк
Павел Михайлов;realtor;https://www.cian.ru/sale/flat/308082096/;Москва и МО;sale;flat;12;16;1;44.0;26296000;Раменки;проспект Генерала Дорохова;39к2Л;Минская;Собрание клубных домов West Garden
ID 17498307;homeowner;https://www.cian.ru/sale/flat/308837547/;Москва и МО;sale;flat;5;10;1;40.4;28900000;Дорогомилово;Кутузовский проспект;30;Кутузовская;
Альтера;real_estate_agent;https://kazan.cian.ru/sale/flat/307262540/;Москва и МО;sale;flat;9;9;1;34.4;4700000;Приволжский; Рихарда Зорге;105;Дубравная;
Этажи Москва;real_estate_agent;https://lyubertsy.cian.ru/sale/flat/308675651/;Москва и МО;sale;flat;1;3;1;33.6;4800000;;;;;
