author;author_type;url;location;deal_type;accommodation_type;floor;floors_count;rooms_count;total_meters;price;district;street;house_number;underground;residential_complex
VESPER;developer;https://www.cian.ru/sale/flat/307544571/;Москва;sale;flat;2;21;3;157.8;165216600;Пресненский; Костикова;4к1;Улица 1905 года;Lucky
ZIP Realty;real_estate_agent;https://www.cian.ru/sale/flat/308802493/;Москва;sale;flat;10;20;3;110.7;122000000;Пресненский; Костикова;4к1;Улица 1905 года;Lucky
ID 111783;homeowner;https://www.cian.ru/sale/flat/307780900/;Москва;sale;flat;5;14;3;104.0;29600000;Коптево; Космонавта Волкова;29К1;Красный Балтиец;
Галс-Девелопмент;developer;https://www.cian.ru/sale/flat/303040443/;Москва;sale;flat;5;5;3;183.1;174494300;Арбат;Поварская ;8/1к1;Арбатская;De Luxe квартал апартаментов Театральный Дом
SHOW ME;real_estate_agent;https://www.cian.ru/sale/flat/306567075/;Москва;sale;flat;2;10;3;115.0;101000000;Тверской;Большая Грузинская ;69;Белорусская;Четыре Ветра
BERI;real_estate_agent;https://www.cian.ru/sale/flat/308568986/;Москва;sale;flat;5;9;3;59.0;23950000;Раменки;Винницкая ;17;Раменки;
Tekta Group;developer;https://www.cian.ru/sale/flat/301259721/;Москва;sale;flat;19;42;3;65.9;30201484;Котловка;Севастопольский проспект;22А;Нагорная;Eniteo
ZIP Realty;real_estate_agent;https://www.cian.ru/sale/flat/308825551/;Москва;sale;flat;2;12;3;106.2;53000000;Хорошевский;Ходынский бульвар;19;ЦСКА;Гранд-парк
Авеню-Мск;real_estate_agent;https://www.cian.ru/sale/flat/307220600/;Москва;sale;flat;1;5;3;65.1;17500000;Марьина роща;4-й Стрелецкий проезд;13;Савёловская;
VESPER;developer;https://www.cian.ru/sale/flat/308110877/;Москва;sale;flat;4;6;3;264.6;661500000;Пресненский;Трехпрудный переулок;9С2;Пушкинская;Клубный дом Левенсон
hoomie;real_estate_agent;https://www.cian.ru/sale/flat/305679858/;Москва;sale;flat;11;20;3;87.02;32910964;Даниловский;;;Тульская;Форст ЖК
GRAND ESTATE - Премиальная недвижимость;real_estate_agent;https://www.cian.ru/sale/flat/300871845/;Москва;sale;flat;3;15;3;95.0;35000000;Пресненский;Зоологическая ;30С2;Баррикадная;
ANT Development;developer;https://www.cian.ru/sale/flat/303519403/;Москва;sale;flat;3;10;3;105.8;115430498;Дорогомилово;;3к8;Поклонная;Виктори Парк Резиденсез ЖК
White and Broughton;real_estate_agent;https://www.cian.ru/sale/flat/305736633/;Москва;sale;flat;35;41;3;97.4;95000000;Хорошевский;Ленинградский проспект;37/3;Аэропорт;Прайм Парк
ID 12693939;realtor;https://www.cian.ru/sale/flat/308367102/;Москва;sale;flat;24;28;3;71.0;38000000;Филевский парк;Береговой проезд;1Б;Шелепиха;мой адрес На Береговом
Главстрой;developer;https://www.cian.ru/sale/flat/307941294/;Москва;sale;flat;4;20;3;103.7;40291971;Филевский парк;Береговой проезд;2;Фили;Береговой-2
