author;author_type;url;location;deal_type;accommodation_type;floor;floors_count;rooms_count;total_meters;price;district;street;house_number;underground;residential_complex
Таврида Девелопмент;developer;https://krym.cian.ru/sale/flat/308884460/;Москва и МО;sale;flat;2;20;2;46.3;18983000;;;;;Новая Ливадия
Kalinka Group;real_estate_agent;https://www.cian.ru/sale/flat/308553708/;Москва и МО;sale;flat;9;12;2;88.0;59350000;Тверской;2-я Брестская ;6;Маяковская;Резиденция Тверская
do A.S.A.P.;real_estate_agent;https://www.cian.ru/sale/flat/306451958/;Москва и МО;sale;flat;3;12;2;37.0;9500000;Западное Дегунино;Коровинское шоссе;9К1;Селигерская;
Дипломат;developer;https://krym.cian.ru/sale/flat/292125018/;Москва и МО;sale;flat;2;8;2;66.0;22622160;;;;;Резиденция Дипломат
hoomie;real_estate_agent;https://www.cian.ru/sale/flat/305679467/;Москва и МО;sale;flat;4;20;2;64.29;24166611;Даниловский;Автозаводская ;26;Тульская;FORST
GRAND ESTATE - Премиальная недвижимость;real_estate_agent;https://www.cian.ru/sale/flat/300539730/;Москва и МО;sale;flat;2;6;2;63.0;35990000;Басманный;Чистопрудный бульвар;12К2;Чистые пруды;
Неометрия;developer;https://sochi.cian.ru/sale/flat/302445049/;Москва и МО;sale;flat;2;10;2;33.0;31491900;Адлерский;Адлер жилрайон;;;Гостиничный комплекс 
Kalinka Group;real_estate_agent;https://www.cian.ru/sale/flat/308553460/;Москва и МО;sale;flat;9;12;2;99.0;96750000;Тверской;2-я Брестская ;6;Маяковская;Резиденция Тверская
Солнечный Сочи;real_estate_agent;https://sochi.cian.ru/sale/flat/308303850/;Москва и МО;sale;flat;24;26;2;105.0;8000000;Хостинский;Курортный проспект;105;;
Сармат;developer;https://krasnodar.cian.ru/sale/flat/307540476/;Москва и МО;sale;flat;2;16;2;64.3;6751500;Прикубанский; Западный обход;65/1;;Cармат
Kalinka Group;real_estate_agent;https://www.cian.ru/sale/flat/306566143/;Москва и МО;sale;flat;6;7;2;96.0;260000000;Хамовники; Льва Толстого;23к7с3;Парк Культуры;
ID 98396578;homeowner;https://www.cian.ru/sale/flat/308733860/;Москва и МО;sale;flat;1;9;2;45.0;17800000;Красносельский;Протопоповский переулок;38;Площадь трёх вокзалов;
Интеллект;developer;https://krym.cian.ru/sale/flat/306043753/;Москва и МО;sale;flat;5;13;2;36.33;12249111;;;;;Парковая Резиденция
ID 10601;realtor;https://www.cian.ru/sale/flat/307801822/;Москва и МО;sale;flat;5;5;2;42.3;28300000;Тверской;Тверская ;27С1;Маяковская;
Светлана Анисимова;realtor;https://www.cian.ru/sale/flat/308703083/;Москва и МО;sale;flat;21;31;2;55.7;21990000;Богородское;Тюменский проезд;3к1;Бульвар Рокоссовского;Преображение
Интеллект;developer;https://krym.cian.ru/sale/flat/291497607/;Москва и МО;sale;flat;2;20;2;49.18;12718487;;;;;Крымская Резиденция
Kalinka Group;real_estate_agent;https://www.cian.ru/sale/flat/308343895/;Москва и МО;sale;flat;8;29;2;69.1;31095000;Якиманка;Мытная ;40к3;Шаболовская;Sky House
GRAND ESTATE - Премиальная недвижимость;real_estate_agent;https://www.cian.ru/sale/flat/305111360/;Москва и МО;sale;flat;4;16;2;37.0;19000000;Пресненский;Красногвардейский бульвар;5К2;Москва-Сити;
Эталон;developer;https://ekb.cian.ru/sale/flat/308412109/;Москва и МО;sale;flat;3;5;2;40.69;5821699;;;;;Балтым-Парк
ID 85604823;unknown;https://www.cian.ru/sale/flat/308497818/;Москва и МО;sale;flat;16;41;2;51.0;34000000;Хорошево-Мневники;Шелепихинская набережная;34к5;Шелепиха;Сердце Столицы
Зульфия  Галяутдинова;realtor;https://www.cian.ru/sale/flat/308225788/;Москва и МО;sale;flat;13;14;2;61.0;29000000;Гагаринский;Университетский проспект;6К2;Воробьёвы горы;
Перспектива;developer;https://krym.cian.ru/sale/flat/305496512/;Москва и МО;sale;flat;3;8;2;76.9;23000000;Восход пгт; Наташинская;2Ж;;Монако
SHOW ME;real_estate_agent;https://www.cian.ru/sale/flat/272003903/;Москва и МО;sale;flat;5;6;2;43.0;26900000;Беговой; 3-я Ямского Поля;9;Белорусская;Art Residence
ID 104795526;real_estate_agent;https://spb.cian.ru/sale/flat/304516716/;Москва и МО;sale;flat;4;4;2;55.3;6990000;Красносельский;Стрельнинское шоссе;3а;Проспект Ветеранов;
СК10;developer;https://rostov.cian.ru/sale/flat/289997272/;Москва и МО;sale;flat;19;25;2;38.54;5140000;Советский;;;;Малина парк
NF Group - ex-Knight Frank;real_estate_agent;https://www.cian.ru/sale/flat/301258691/;Москва и МО;sale;flat;2;21;2;57.23;59000000;Пресненский;2-я Звенигородская ;16;Улица 1905 года;Lucky
Залму Писарук;realtor;https://www.cian.ru/sale/flat/308532820/;Москва и МО;sale;flat;7;12;2;55.0;13400000;Бирюлево Восточное;Лебедянская ;4;;
РКС Девелопмент;developer;https://krasnodar.cian.ru/sale/flat/306944508/;Москва и МО;sale;flat;2;7;2;56.5;13627800;;;;;Anapolis Residence
NF Group - ex-Knight Frank;real_estate_agent;https://www.cian.ru/sale/flat/307822693/;Москва и МО;sale;flat;9;18;2;66.4;69700000;Хамовники;;;Воробьёвы горы;Коллекция Лужники ЖК
Святослав Пивненко;realtor;https://spb.cian.ru/sale/flat/307823563/;Москва и МО;sale;flat;4;17;2;74.0;17300000;Приморский;аллея Поликарпова;6к1;Пионерская;
TEN девелопмент;developer;https://ekb.cian.ru/sale/flat/306297919/;Москва и МО;sale;flat;2;18;2;49.5;7730000;Верх-Исетский;;;Площадь 1905 года;Русь XXI ЖК
