author;author_type;url;location;deal_type;accommodation_type;floor;floors_count;rooms_count;total_meters;price;district;street;house_number;underground;residential_complex
Таврида Девелопмент;developer;https://krym.cian.ru/sale/flat/288981901/;Москва и МО;sale;flat;2;20;3;72.75;29100000;;;;;Новая Ливадия
ZIP Realty;real_estate_agent;https://www.cian.ru/sale/flat/308802493/;Москва и МО;sale;flat;10;20;3;110.7;122000000;Пресненский; Костикова;4к1;Улица 1905 года;Lucky
ID 111783;homeowner;https://www.cian.ru/sale/flat/307780900/;Москва и МО;sale;flat;5;14;3;104.0;29600000;Коптево; Космонавта Волкова;29К1;Красный Балтиец;
Дипломат;developer;https://krym.cian.ru/sale/flat/292125110/;Москва и МО;sale;flat;2;8;3;133.1;58564000;;;;;Резиденция Дипломат
SHOW ME;real_estate_agent;https://www.cian.ru/sale/flat/306567075/;Москва и МО;sale;flat;2;10;3;115.0;101000000;Тверской;Большая Грузинская ;69;Белорусская;Четыре Ветра
Авеню-Мск;real_estate_agent;https://www.cian.ru/sale/flat/307220600/;Москва и МО;sale;flat;1;5;3;65.1;17500000;Марьина роща;4-й Стрелецкий проезд;13;Савёловская;
Неометрия;developer;https://sochi.cian.ru/sale/flat/302445478/;Москва и МО;sale;flat;2;10;3;50.2;50998180;Адлерский;Адлер жилрайон;;;Гостиничный комплекс 
ZIP Realty;real_estate_agent;https://www.cian.ru/sale/flat/308825551/;Москва и МО;sale;flat;2;12;3;106.2;53000000;Хорошевский;Ходынский бульвар;19;ЦСКА;Гранд-парк
BERI;real_estate_agent;https://www.cian.ru/sale/flat/308568986/;Москва и МО;sale;flat;5;9;3;59.0;23950000;Раменки;Винницкая ;17;Раменки;
Сармат;developer;https://krasnodar.cian.ru/sale/flat/307540479/;Москва и МО;sale;flat;2;16;3;85.0;8330000;Прикубанский; Западный обход;65/1;;Cармат
hoomie;real_estate_agent;https://www.cian.ru/sale/flat/305679858/;Москва и МО;sale;flat;11;20;3;87.02;32910964;Даниловский;;;Тульская;Форст ЖК
GRAND ESTATE - Премиальная недвижимость;real_estate_agent;https://www.cian.ru/sale/flat/300871845/;Москва и МО;sale;flat;3;15;3;95.0;35000000;Пресненский;Зоологическая ;30С2;Баррикадная;
Интеллект;developer;https://krym.cian.ru/sale/flat/295983929/;Москва и МО;sale;flat;4;13;3;57.19;18279349;;;;;Парковая Резиденция
White and Broughton;real_estate_agent;https://www.cian.ru/sale/flat/305736633/;Москва и МО;sale;flat;35;41;3;97.4;95000000;Хорошевский;Ленинградский проспект;37/3;Аэропорт;Прайм Парк
ID 12693939;realtor;https://www.cian.ru/sale/flat/308367102/;Москва и МО;sale;flat;24;28;3;71.0;38000000;Филевский парк;Береговой проезд;1Б;Шелепиха;мой адрес На Береговом
Интеллект;developer;https://krym.cian.ru/sale/flat/306356333/;Москва и МО;sale;flat;7;20;3;67.58;19460266;;;;;Крымская Резиденция
Правовой центр жилья;real_estate_agent;https://www.cian.ru/sale/flat/308734826/;Москва и МО;sale;flat;3;8;3;121.3;206000000;Красносельский;Костянский переулок;13;Сретенский бульвар;Клубный дом TURGENEV
ID 447844;homeowner;https://www.cian.ru/sale/flat/303627675/;Москва и МО;sale;flat;7;23;3;95.2;37900000;Сокол;Факультетский переулок;6;Стрешнево;
Эталон;developer;https://ekb.cian.ru/sale/flat/308412122/;Москва и МО;sale;flat;4;5;3;57.45;7327993;;;;;Балтым-Парк
Kalinka Group;real_estate_agent;https://www.cian.ru/sale/flat/306447297/;Москва и МО;sale;flat;13;21;3;130.0;155000000;Пресненский; Костикова;4к4;Улица 1905 года;Lucky
Дмитрий Асташов;realtor;https://www.cian.ru/sale/flat/307964340/;Москва и МО;sale;flat;6;9;3;58.7;21000000;Академический;Большая Черемушкинская ;2К1;Крымская;
