author;author_type;url;location;deal_type;accommodation_type;floor;floors_count;rooms_count;total_meters;price;district;street;house_number;underground;residential_complex
VESPER;developer;https://www.cian.ru/sale/flat/306541543/;Москва и МО;sale;flat;18;21;4;234.3;344593211;Пресненский; Костикова;4к1;Улица 1905 года;Lucky
SHOW ME;real_estate_agent;https://www.cian.ru/sale/flat/297733877/;Москва и МО;sale;flat;80;85;4;294.6;412440000;Пресненский;Московский международный деловой центр Москва-Сити тер.;;Деловой центр;
PEOPLE;real_estate_agent;https://www.cian.ru/sale/flat/290979265/;Москва и МО;sale;flat;6;8;4;207.0;450000000;Арбат;Большой Афанасьевский переулок;28;Арбатская;Большой Афанасьевский пер, вл.24
Tekta Group;developer;https://www.cian.ru/sale/flat/301259752/;Москва и МО;sale;flat;23;42;4;82.9;37706298;Котловка;Севастопольский проспект;22А;Нагорная;Eniteo
hoomie;real_estate_agent;https://www.cian.ru/sale/flat/305679511/;Москва и МО;sale;flat;11;20;4;90.71;32501393;Даниловский;Автозаводская ;26;Тульская;FORST
Monumental Group;real_estate_agent;https://www.cian.ru/sale/flat/308071697/;Москва и МО;sale;flat;2;4;4;210.0;125970000;Тверской;Петровский переулок;5С4;Пушкинская;
VESPER;developer;https://www.cian.ru/sale/flat/308110878/;Москва и МО;sale;flat;3;4;4;424.6;976580000;Пресненский;Трехпрудный переулок;9С2;Пушкинская;Клубный дом Левенсон
BARNES International Realty;real_estate_agent;https://www.cian.ru/sale/flat/308710833/;Москва и МО;sale;flat;3;10;4;180.0;212000000;Дорогомилово;;3к1;Парк Победы;Виктори Парк Резиденсез ЖК
GRAND ESTATE - Премиальная недвижимость;real_estate_agent;https://www.cian.ru/sale/flat/308120148/;Москва и МО;sale;flat;8;8;4;110.0;46690000;Красносельский;Большая Сухаревская площадь;16/18С1;Сухаревская;
ANT Development;developer;https://www.cian.ru/sale/flat/303519424/;Москва и МО;sale;flat;2;10;4;136.1;152135071;Дорогомилово;;3к8;Поклонная;Виктори Парк Резиденсез ЖК
NF Group - ex-Knight Frank;real_estate_agent;https://www.cian.ru/sale/flat/308015928/;Москва и МО;sale;flat;28;37;4;177.3;215000000;Дорогомилово;Поклонная ;9;Поклонная;Поклонная 9
OXE CAPITAL - Элитная Недвижимость;real_estate_agent;https://www.cian.ru/sale/flat/306462179/;Москва и МО;sale;flat;24;24;4;196.0;65000000;Можайский;Можайское шоссе;22к2;Рабочий посёлок;
Главстрой;developer;https://www.cian.ru/sale/flat/296921048/;Москва и МО;sale;flat;2;13;4;125.7;61745725;Филевский парк;Береговой проезд;2;Фили;Береговой-2
ZIP Realty;real_estate_agent;https://www.cian.ru/sale/flat/307770341/;Москва и МО;sale;flat;9;18;4;176.6;98000000;Хорошевский; Гризодубовой;4К4;ЦСКА;Гранд-парк
Intermark Real Estate;real_estate_agent;https://spb.cian.ru/sale/flat/308157834/;Москва и МО;sale;flat;2;3;4;110.0;36000000;Адмиралтейский;Английская набережная;58;Василеостровская;
Галс-Девелопмент;developer;https://www.cian.ru/sale/flat/301911033/;Москва и МО;sale;flat;18;20;4;127.0;74295000;Басманный;;;Бауманская;Дом 56 ЖК
