author_type,floor,floors_count,rooms_count,total_meters,underground,availability_underground,price_per_meter
developer,4,13,3,57.19,not available,False,319625
representative_developer,2,12,3,91.2,Удельная,True,259870
developer,2,12,3,84.08,not available,False,164700
representative_developer,3,8,3,94.5,Крестовский остров,True,380000
real_estate_agent,2,6,3,72.9,Проспект Большевиков,True,120027
developer,6,9,3,101.1,Спортивная,True,427300
official_representative,13,23,3,96.0,Бауманская,True,478125
representative_developer,2,12,3,59.7,not available,False,221000
developer,19,21,3,58.88,Гражданский проспект,True,184400
developer,7,20,3,67.58,not available,False,259163
homeowner,3,4,3,71.3,not available,False,154278
developer,2,10,3,50.2,not available,False,1015900
real_estate_agent,7,9,3,64.0,not available,False,98438
developer,2,18,3,79.95,not available,False,79440
real_estate_agent,7,9,3,60.2,not available,False,106312
developer,5,5,3,75.23,not available,False,85192
real_estate_agent,5,5,3,62.8,not available,False,103503
real_estate_agent,7,9,3,56.3,not available,False,115453
developer,4,5,3,71.49,not available,False,91000
real_estate_agent,7,9,3,75.0,not available,False,87600
real_estate_agent,15,20,3,71.6,Золотая Нива,True,93575
real_estate_agent,2,5,3,57.7,Ленинский проспект,True,116118
real_estate_agent,4,9,3,62.7,not available,False,106061
developer,1,17,3,77.1,not available,False,86615
realtor,3,5,3,64.0,not available,False,107812
developer,9,16,3,50.4,not available,False,137202
developer,8,9,3,75.6,not available,False,92150
developer,16,18,3,71.84,not available,False,100970
real_estate_agent,9,9,3,80.6,not available,False,94045
real_estate_agent,8,9,3,69.4,not available,False,109366
real_estate_agent,8,9,3,77.2,not available,False,97150
developer,1,9,3,78.0,not available,False,97000
real_estate_agent,9,25,3,88.21,not available,False,86158
developer,2,9,3,60.65,not available,False,126600
real_estate_agent,4,16,3,80.6,not available,False,96762
developer,19,24,3,67.69,not available,False,116330
real_estate_agent,6,10,3,60.0,not available,False,133167
homeowner,2,9,3,67.8,not available,False,117257
developer,1,17,3,75.9,not available,False,105494
developer,1,5,3,66.89,not available,False,122424
developer,1,5,3,66.89,not available,False,122802
developer,14,16,3,84.4,not available,False,100000
real_estate_agent,5,5,3,54.2,Московская,True,156827
representative_developer,4,16,3,90.0,not available,False,94979
representative_developer,23,23,3,81.22,not available,False,106123
developer,12,12,3,81.56,not available,False,105000
real_estate_agent,18,20,3,82.0,not available,False,106098
developer,17,18,3,81.68,not available,False,106970
real_estate_agent,7,9,3,54.2,Академическая,True,164207
developer,12,16,3,70.82,not available,False,126000
developer,22,24,3,81.73,not available,False,111180
representative_developer,1,5,3,85.75,not available,False,107691
homeowner,8,9,3,60.0,Проспект Просвещения,True,153333
representative_developer,24,25,3,80.77,not available,False,114970
developer,2,27,3,74.39,Ленинская,True,127705
real_estate_agent,6,9,3,63.4,Автово,True,151420
developer,13,17,3,80.2,not available,False,121000
developer,15,23,3,75.7,not available,False,128649
developer,3,15,3,81.42,not available,False,121474
representative_developer,11,16,3,73.8,not available,False,134671
developer,13,15,3,80.3,not available,False,125500
real_estate_agent,1,3,3,81.0,not available,False,125926
real_estate_agent,6,17,3,110.0,not available,False,93455
real_estate_agent,14,16,3,104.0,not available,False,100000
developer,20,24,3,77.1,not available,False,134872
developer,2,23,3,81.66,Спортивная,True,129000
developer,2,23,3,60.9,not available,False,176000
representative_developer,2,23,3,60.9,not available,False,176000
homeowner,2,17,3,85.0,not available,False,128235
developer,23,25,3,95.07,Безымянка,True,115704
developer,3,15,3,94.1,not available,False,119000
realtor,7,10,3,77.3,not available,False,144890
developer,9,26,3,84.24,not available,False,134000
real_estate_agent,4,9,3,107.0,not available,False,107009
real_estate_agent,2,10,3,62.7,Дунайская,True,183413
developer,2,11,3,76.15,not available,False,153100
real_estate_agent,4,8,3,51.4,Ленинский проспект,True,239300
real_estate_agent,5,6,3,97.5,not available,False,125641
real_estate_agent,13,14,3,70.0,Звездная,True,177000
developer,6,9,3,71.95,Аметьево,True,173051
developer,13,16,3,84.06,not available,False,149750
developer,19,26,3,78.2,Купчино,True,160000
developer,2,5,3,86.67,not available,False,146712
developer,3,23,3,85.0,not available,False,154788
developer,2,10,3,97.26,not available,False,138285
homeowner,7,10,3,101.3,not available,False,132774
homeowner,1,14,3,104.5,not available,False,133493
developer,2,19,3,80.0,Аметьево,True,180875
developer,14,34,3,76.84,not available,False,191000
real_estate_agent,7,14,3,128.7,not available,False,115773
developer,2,16,3,85.35,not available,False,174575
real_estate_agent,24,25,3,63.7,Чкаловская,True,235479
