author,author_type,url,location,deal_type,accommodation_type,floor,floors_count,rooms_count,total_meters,price_per_month,commissions,price,district,street,house_number,underground,residential_complex
КЛЕВЕР,real_estate_agent,https://solnechnogorsk.cian.ru/sale/flat/294373218/,Москва и МО,sale,flat,5,5,3,62.0,-1,0,7300000.0,Солнечногорск,Ленинградская ,6,,
НА ЯРОСЛАВСКОЙ,real_estate_agent,https://cheboksary.cian.ru/sale/flat/306892915/,Москва и МО,sale,flat,4,5,3,70.6,-1,0,7500000.0,Ленинский,проспект Ленина,25,,
Атмосфера,developer,https://bryansk.cian.ru/sale/flat/300917807/,Москва и МО,sale,flat,2,16,3,75.09,-1,0,7508995.0,Бежицкий,Московский мкр,,,Микрорайон Акватория ЖК
КЛЕВЕР,real_estate_agent,https://solnechnogorsk.cian.ru/sale/flat/293997324/,Москва и МО,sale,flat,3,5,3,60.0,-1,0,7700000.0,,,,,
ID 109430255,developer,https://chelyabinsk.cian.ru/sale/flat/295931488/,Москва и МО,sale,flat,1,10,3,63.9,-1,0,7670400.0,пос. Западный, Имени капитана Ефимова,5,,Притяжение
КЛЕВЕР,real_estate_agent,https://solnechnogorsk.cian.ru/sale/flat/304747187/,Москва и МО,sale,flat,10,10,3,70.7,-1,0,7990000.0,Комплексной застройки Тимоново кв-л, Подмосковная,35,,
Магазин новостроек,representative_developer,https://maykop.cian.ru/sale/flat/298569179/,Москва и МО,sale,flat,2,12,3,62.34,-1,0,7917180.0,,,,,Вектор
КЛЕВЕР,real_estate_agent,https://solnechnogorsk.cian.ru/sale/flat/307094870/,Москва и МО,sale,flat,8,9,3,88.0,-1,0,8300000.0,Комплексной застройки Тимоново кв-л, Подмосковная,34,,
Атмосфера,developer,https://kemerovo.cian.ru/sale/flat/298569641/,Москва и МО,sale,flat,2,15,3,62.6,-1,0,8325800.0,Рудничный,,,,Чемпион-парк ЖК
ФинансИнвест,developer,https://tver.cian.ru/sale/flat/274478963/,Москва и МО,sale,flat,12,24,3,90.26,-1,0,8484440.0,Пролетарский,Оснабрюкская ,22,,Диадема
Конструктив Девелопмент,developer,https://krasnoyarsk.cian.ru/sale/flat/292228602/,Москва и МО,sale,flat,19,24,3,69.1,-1,0,8637500.0,Кировский, Апрельская,9,,Прогресс — кварталы 
Объединение Застройщиков,representative_developer,https://voronezh.cian.ru/sale/flat/303511998/,Москва и МО,sale,flat,7,20,3,83.0,-1,0,8585325.0,Железнодорожный, Артамонова,34Ж,,Волна-1
Капитал,developer,https://ryazan.cian.ru/sale/flat/302559183/,Москва и МО,sale,flat,2,20,3,73.37,-1,0,8948939.0,Железнодорожный, Ленинского Комсомола,,,Роща
TEN девелопмент,developer,https://ekb.cian.ru/sale/flat/303900586/,Москва и МО,sale,flat,2,31,3,82.7,-1,0,9510000.0,Орджоникидзевский,,,Машиностроителей,Основинские кварталы ЖК
Магнолия,real_estate_agent,https://surgut.cian.ru/sale/flat/309255586/,Москва и МО,sale,flat,4,9,3,71.0,-1,0,9800000.0,мкр. 11А, Профсоюзов,22,,
