author,author_type,url,location,deal_type,accommodation_type,floor,floors_count,rooms_count,total_meters,price_per_month,commissions,price,district,street,house_number,underground,residential_complex
Homeapp,real_estate_agent,https://www.cian.ru/sale/flat/308554500/,Москва,sale,flat,8,9,2,44.0,-1,0,17200000,Южнопортовый, Симоновский Вал,19,Дубровка,
EstateLiga,real_estate_agent,https://www.cian.ru/sale/flat/308835652/,Москва,sale,flat,6,20,2,44.6,-1,0,17300000,Покровское-Стрешнево,Волоколамское шоссе,95/2к4,Трикотажная,City Bay
ОГРК,real_estate_agent,https://www.cian.ru/sale/flat/296778360/,Москва,sale,flat,10,12,2,52.0,-1,0,17500000,Мещанский,Средняя Переяславская ,2,Рижская,
Этажи Москва,real_estate_agent,https://www.cian.ru/sale/flat/306826437/,Москва,sale,flat,5,58,2,32.6,-1,0,17500000,Коньково,40-й кв-л,к2,Калужская,Обручева 30 ЖК
do A.S.A.P.,real_estate_agent,https://www.cian.ru/sale/flat/306778897/,Москва,sale,flat,10,12,2,52.0,-1,0,17500000,Можайский, Гришина,23К6,Рабочий посёлок,
Макспол Парк Культуры,real_estate_agent,https://www.cian.ru/sale/flat/308000999/,Москва,sale,flat,8,21,2,56.8,-1,0,17500000,Перово, Плющева,15К3,Перово,
Homeapp,real_estate_agent,https://www.cian.ru/sale/flat/302919800/,Москва,sale,flat,7,14,2,53.0,-1,0,17469000,Обручевский, Новаторов,40А,Новаторская,
KRK COMFORT,real_estate_agent,https://www.cian.ru/sale/flat/308689277/,Москва,sale,flat,3,12,2,51.0,-1,0,17490000,Можайский,Сколковское шоссе,40к1,Сетунь,Stellar City
Landis,real_estate_agent,https://www.cian.ru/sale/flat/303967039/,Москва,sale,flat,13,19,2,40.2,-1,0,17500000,Очаково-Матвеевское,Озерная ,42,Озёрная,Страна.Озёрная
CENTURY 21 RnB Estate,real_estate_agent,https://www.cian.ru/sale/flat/306777062/,Москва,sale,flat,8,22,2,56.6,-1,0,17700000,Ясенево,Ясногорская ,13К1,Ясенево,
Артем Кожевников,realtor,https://www.cian.ru/sale/flat/307680773/,Москва,sale,flat,15,18,2,57.0,-1,0,17600000,Кузьминки,Жигулевская ,3Ак2,Кузьминки,
Серафим Кодичев,realtor,https://www.cian.ru/sale/flat/308646626/,Москва,sale,flat,8,18,2,51.0,-1,0,17800000,Останкинский,Березовая аллея,19к3,Ботанический сад,Апарт-комплекс Легендарный квартал
Этажи Москва,real_estate_agent,https://www.cian.ru/sale/flat/306859309/,Москва,sale,flat,16,30,2,41.5,-1,0,17990000,Южнопортовый,Волгоградский проспект,32/5к1,Угрешская,Метрополия
Homeapp,real_estate_agent,https://www.cian.ru/sale/flat/306276549/,Москва,sale,flat,7,25,2,73.0,-1,0,18290000,, Анны Ахматовой,11к3,Рассказовка,Городские истории (Рассказовка)
Homeapp,real_estate_agent,https://www.cian.ru/sale/flat/308554496/,Москва,sale,flat,19,20,2,60.4,-1,0,18200000,,Родниковая ,30к1,Саларьево,Румянцево-Парк
Монолит Столица,real_estate_agent,https://www.cian.ru/sale/flat/301109863/,Москва,sale,flat,2,19,2,58.0,-1,0,18500000,Кунцево,Рублевское шоссе,81К2,Молодёжная,
RED,real_estate_agent,https://www.cian.ru/sale/flat/308564065/,Москва,sale,flat,8,9,2,48.2,-1,0,18500000,Ломоносовский,Ленинский проспект,85,Новаторская,
ГОРОБМЕН,real_estate_agent,https://www.cian.ru/sale/flat/306018451/,Москва,sale,flat,10,10,2,55.5,-1,0,18500000,Головинский,Михалковская ,52С7,Коптево,
Космополис,real_estate_agent,https://www.cian.ru/sale/flat/307601695/,Москва,sale,flat,2,14,2,60.7,-1,0,18500000,,бульвар Скандинавский,5к1,Потапово,Скандинавия
АРТ,real_estate_agent,https://www.cian.ru/sale/flat/306888583/,Москва,sale,flat,2,28,2,52.3,-1,0,18490000,Даниловский,набережная Марка Шагала,,ЗИЛ,Shagal
Century 21 Street Realty,real_estate_agent,https://www.cian.ru/sale/flat/307949994/,Москва,sale,flat,1,9,2,46.0,-1,0,18500000,Алексеевский,Маломосковская ,8,ВДНХ,
Homeapp,real_estate_agent,https://www.cian.ru/sale/flat/308522657/,Москва,sale,flat,6,12,2,51.0,-1,0,18700000,Басманный, Госпитальный Вал,5С2,Электрозаводская,
do A.S.A.P.,real_estate_agent,https://www.cian.ru/sale/flat/308569909/,Москва,sale,flat,14,21,2,56.0,-1,0,19000000,Чертаново Южное,Варшавское шоссе,160к2,Аннино,Аннинский
ГОРОДА,real_estate_agent,https://www.cian.ru/sale/flat/306936871/,Москва,sale,flat,8,22,2,59.8,-1,0,19300000,Очаково-Матвеевское, Малая Очаковская,6,Озёрная,Мичуринский парк
I AM ESTATE,real_estate_agent,https://www.cian.ru/sale/flat/305318277/,Москва,sale,flat,10,17,2,54.0,-1,0,19300000,Бескудниковский,Бескудниковский бульвар,22,Дегунино,
ЛэндЛ,real_estate_agent,https://www.cian.ru/sale/flat/308712561/,Москва,sale,flat,13,16,2,61.4,-1,0,19300000,Преображенское,Большая Черкизовская ,3К2,Преображенская площадь,
Century 21 Харламов,real_estate_agent,https://www.cian.ru/sale/flat/303919495/,Москва,sale,flat,30,30,2,53.0,-1,0,19590000,Южнопортовый,Волгоградский проспект,32/3к4,Угрешская,Метрополия
На Петровке,real_estate_agent,https://www.cian.ru/sale/flat/308294306/,Москва,sale,flat,7,7,2,58.3,-1,0,19500000,Щукино, Маршала Бирюзова,7,Октябрьское поле,
