author,author_type,url,location,deal_type,accommodation_type,floor,floors_count,rooms_count,total_meters,price_per_month,commissions,price,district,street,house_number,underground,residential_complex
PANDA ESTATE,real_estate_agent,https://www.cian.ru/sale/flat/308346046/,Москва и МО,sale,flat,13,28,3,100.0,-1,0,65000000,Филевский парк, Василисы Кожиной,13,Парк Победы,Квартал апартаментов Match Point
Century 21 Street Realty,real_estate_agent,https://www.cian.ru/sale/flat/283279109/,Москва и МО,sale,flat,13,13,3,103.0,-1,0,66000000,Замоскворечье,3-й Люсиновский переулок,1С1,Серпуховская,
BERI,real_estate_agent,https://www.cian.ru/sale/flat/308089669/,Москва и МО,sale,flat,4,6,3,75.0,-1,0,71250000,Хамовники,переулок Плотников,10,Смоленская,
Delight Realty,real_estate_agent,https://www.cian.ru/sale/flat/307673870/,Москва и МО,sale,flat,12,18,3,117.5,-1,0,72000000,Красносельский,Басманный переулок,5,Комсомольская,Басманный 5
GRAND ESTATE - Премиальная недвижимость,real_estate_agent,https://www.cian.ru/sale/flat/306655775/,Москва и МО,sale,flat,6,6,3,135.0,-1,0,77000000,Красносельский,Уланский переулок,14кБ,Красные ворота,
Whitewill,real_estate_agent,https://www.cian.ru/sale/flat/304409967/,Москва и МО,sale,flat,25,36,3,105.0,-1,0,89000000,Хорошево-Мневники,Шелепихинская набережная,34к3зд6,Шелепиха,Сердце Столицы
NF Group - ex-Knight Frank,real_estate_agent,https://www.cian.ru/sale/flat/303224245/,Москва и МО,sale,flat,23,76,3,184.0,-1,0,110000000,Пресненский,набережная Пресненская,8с1,Деловой центр,Город Столиц
Monumental Group,real_estate_agent,https://www.cian.ru/sale/flat/305638927/,Москва и МО,sale,flat,4,8,3,134.0,-1,0,153250000,Красносельский,Милютинский переулок,3,Лубянка,
OXE CAPITAL - Элитная Недвижимость,real_estate_agent,https://www.cian.ru/sale/flat/285074040/,Москва и МО,sale,flat,8,14,3,210.0,-1,0,200000000,Замоскворечье,Мытная ,7с1,Серпуховская,Английский квартал
Delight Realty,real_estate_agent,https://www.cian.ru/sale/flat/308138114/,Москва и МО,sale,flat,3,4,3,136.6,-1,0,340000000,Якиманка,Софийская набережная,10,Боровицкая,"Золотой, жилой квартал"
Магазин новостроек,representative_developer,https://anapa.cian.ru/sale/flat/297662780/,Москва и МО,sale,flat,8,9,3,83.78,-1,0,21576000,,,,,Морелло
Юр-Инвест,developer,https://solnechnogorsk.cian.ru/sale/flat/296012777/,Москва и МО,sale,flat,4,4,3,79.52,-1,0,15701921,,,,,Бакеево-парк
TWEED,real_estate_agent,https://www.cian.ru/sale/flat/307461277/,Москва и МО,sale,flat,24,51,3,82.1,-1,0,32000000,Пресненский,Шмитовский проезд,39к5,Шелепиха,Headliner
do A.S.A.P.,real_estate_agent,https://www.cian.ru/sale/flat/305382889/,Москва и МО,sale,flat,5,21,3,112.7,-1,0,56500000,Хорошево-Мневники, Нижние Мневники,,Терехово ,Остров
Prime,real_estate_agent,https://www.cian.ru/sale/flat/305150347/,Москва и МО,sale,flat,44,44,3,136.0,-1,0,150000000,Пресненский,Ходынская ,2,Улица 1905 года,Пресня Сити
Contact Real Estate,real_estate_agent,https://www.cian.ru/sale/flat/309039245/,Москва и МО,sale,flat,12,12,3,159.4,-1,0,159400000,Тверской,2-я Брестская ,6,Маяковская,Резиденция Тверская
Isaev Estate,real_estate_agent,https://www.cian.ru/sale/flat/308831818/,Москва и МО,sale,flat,5,24,3,90.0,-1,0,35900000,Хорошево-Мневники,Шелепихинская набережная,40к2,Шелепиха,Sydney City
BARNES International Realty,real_estate_agent,https://www.cian.ru/sale/flat/298324265/,Москва и МО,sale,flat,2,7,3,97.1,-1,0,43900000,Донской,Ленинский проспект,35,Ленинский проспект,
Contact Real Estate,real_estate_agent,https://www.cian.ru/sale/flat/308953933/,Москва и МО,sale,flat,10,12,3,85.8,-1,0,48000000,Тверской,2-я Брестская ,6,Маяковская,Резиденция Тверская
Андрей Давыдов,realtor,https://www.cian.ru/sale/flat/299878239/,Москва и МО,sale,flat,3,11,3,116.69,-1,0,116690000,Дорогомилово,,3к4,Парк Победы,Виктори Парк Резиденсез ЖК
Капиталъ-Недвижимость,real_estate_agent,https://www.cian.ru/sale/flat/302550562/,Москва и МО,sale,flat,2,5,3,125.0,-1,0,123500000,Замоскворечье,Большой Ордынский переулок,4С4,Третьяковская,Собрание клубных домов ORDYNKA
NIKA ESTATE,real_estate_agent,https://www.cian.ru/sale/flat/305726162/,Москва и МО,sale,flat,3,8,3,111.0,-1,0,128750000,Раменки,Мосфильмовская ,1к3,Ломоносовский проспект,Вишневый сад
