author,author_type,url,location,deal_type,accommodation_type,floor,floors_count,rooms_count,total_meters,price_per_month,commissions,price,district,street,house_number,underground,residential_complex
ПАН Партнер,real_estate_agent,https://spb.cian.ru/sale/flat/306984417/,Москва и МО,sale,flat,8,26,1,43.0,-1,0,15300000,Приморский,Приморский проспект,137к1,Беговая,Золотая гавань
Ак Барс Дом,developer,https://kazan.cian.ru/sale/flat/303947948/,Москва и МО,sale,flat,2,5,1,45.47,-1,0,15914500,Вахитовский,,,Кремлёвская,Дом на Исхаки ЖК
Андор,developer,https://nn.cian.ru/sale/flat/295730930/,Москва и МО,sale,flat,2,6,1,47.08,-1,0,18380000,Нижегородский,,,Горьковская,Приоритет ЖК
TEN девелопмент,developer,https://ekb.cian.ru/sale/flat/298221157/,Москва и МО,sale,flat,3,9,1,55.0,-1,0,18788500,Центр, Михаила Ананьева,,Динамо,Клубный дом инженера Ятеса
К8 Комплексный девелопмент,developer,https://kaliningrad.cian.ru/sale/flat/265960292/,Москва и МО,sale,flat,2,7,1,64.7,-1,0,19690345,Московский,Октябрьская ,12,,Рыбная деревня
ЮГ,representative_developer,https://anapa.cian.ru/sale/flat/295199856/,Москва и МО,sale,flat,1,7,1,58.9,-1,0,20296329,Анапа,шоссе Симферопольское,58к2,,Европа
TEN девелопмент,developer,https://ekb.cian.ru/sale/flat/298038407/,Москва и МО,sale,flat,2,16,1,55.9,-1,0,21462000,Центр, Февральской Революции,21,Динамо,19/05
ПСК-6,developer,https://ufa.cian.ru/sale/flat/299760922/,Москва и МО,sale,flat,4,25,1,205.1,-1,0,25756000,Октябрьский, 50 лет СССР,34,,Статус
ИП Бойко И. А.,representative_developer,https://sochi.cian.ru/sale/flat/283163186/,Москва и МО,sale,flat,22,28,1,182.3,-1,0,300795000,Хостинский,Курортный проспект,108,,Сан Сити
Эрмитаж,real_estate_agent,https://vladimir.cian.ru/sale/flat/308253194/,Москва и МО,sale,flat,3,5,1,31.0,-1,0,2130000,Кольчугино,Московская ,66,,
Reliz Студия недвижимости,real_estate_agent,https://naro-fominsk.cian.ru/sale/flat/309168947/,Москва и МО,sale,flat,2,2,1,28.6,-1,0,2500000,,,,,
Триумф,developer,https://ryazan.cian.ru/sale/flat/279046879/,Москва и МО,sale,flat,9,10,1,31.07,-1,0,2546460,Рыбное, Перспективная,15,,Аист
Премьера,developer,https://ulyanovsk.cian.ru/sale/flat/302324474/,Москва и МО,sale,flat,13,14,1,26.98,-1,0,2617060,Засвияжский,пос. УКСМ,,,Премьера на УКСМ ЖК
АЛГА,real_estate_agent,https://omsk.cian.ru/sale/flat/305677189/,Москва и МО,sale,flat,5,5,1,30.0,-1,0,2670000,мкр. Амурский, 27-я Северная,121,,
CENTURY21,real_estate_agent,https://irkutsk.cian.ru/sale/flat/302298168/,Москва и МО,sale,flat,1,2,1,30.7,-1,0,2650000,мкр. Предместье Радищево, Нестерова,34,,
ID 408163,unknown,https://tver.cian.ru/sale/flat/299561141/,Москва и МО,sale,flat,1,10,1,33.2,-1,0,2749000,Заволжский, Паши Савельевой,52к2,,
Отдел продаж,real_estate_agent,https://yaroslavl.cian.ru/sale/flat/309091656/,Москва и МО,sale,flat,2,5,1,30.2,-1,0,2800000,Фрунзенский,Балтийская ,8А,,
АЯКС Ярославль,real_estate_agent,https://yaroslavl.cian.ru/sale/flat/298326357/,Москва и МО,sale,flat,6,10,1,38.75,-1,0,2800000,Дзержинский, Брагинская,18к3,,Возрождение
СТС-ГРУПП,developer,https://orel.cian.ru/sale/flat/303081964/,Москва и МО,sale,flat,10,18,1,33.71,-1,0,2828269,с. Старцево,Колледжская ,3,,Лидер
СТРОЙИНВЕСТ,real_estate_agent,https://orekhovo-zuyevo.cian.ru/sale/flat/297990549/,Москва и МО,sale,flat,3,5,1,30.1,-1,0,2850000,д. Давыдово, Заводская,2,,
ID 14416498,realtor,https://omsk.cian.ru/sale/flat/308067515/,Москва и МО,sale,flat,5,5,1,20.8,-1,0,2900000,мкр. Юбилейный,проспект Мира,163А,,
Недвижимость 24,real_estate_agent,https://penza.cian.ru/sale/flat/304965017/,Москва и МО,sale,flat,7,10,1,32.2,-1,0,2950000,Октябрьский,проезд 3-й Можайского,14,,Сияние Севера
ID 19382769,homeowner,https://volgograd.cian.ru/sale/flat/309191432/,Москва и МО,sale,flat,4,5,1,30.2,-1,0,3049999,Дзержинский, Жирновская,19,,
Этажи Ярославль,real_estate_agent,https://yaroslavl.cian.ru/sale/flat/293155171/,Москва и МО,sale,flat,2,3,1,37.0,-1,0,3099000,,,,,
КУРСКАЯ НЕДВИЖИМОСТЬ,real_estate_agent,https://kursk.cian.ru/sale/flat/304777307/,Москва и МО,sale,flat,2,5,1,30.3,-1,0,3070000,Центральный, 50 лет Октября,15,,
Анна Лобачева,realtor,https://www.cian.ru/sale/flat/309148933/,Москва и МО,sale,flat,2,3,1,33.6,-1,0,3150000,с. Ивановское, Мира,9,,
Адресат,real_estate_agent,https://www.cian.ru/sale/flat/307723781/,Москва и МО,sale,flat,3,31,1,10.7,-1,0,3200000,Южное Бутово, Поляны,5,Улица Скобелевская,Эталон-Сити
Самолет Плюс Липецк,real_estate_agent,https://lipetsk.cian.ru/sale/flat/308982761/,Москва и МО,sale,flat,8,9,1,32.2,-1,0,3280000,мкр. 8-й, Циолковского,8/2,,
