author,author_type,url,location,deal_type,accommodation_type,floor,floors_count,rooms_count,total_meters,price_per_month,commissions,price,district,street,house_number,underground,residential_complex
Intermark Real Estate,real_estate_agent,https://www.cian.ru/sale/flat/308346343/,Москва,sale,flat,19,22,3,114.7,-1,0,63500000,Донской, Вавилова,2,Ленинский проспект,Нескучный сад
Концерн КРОСТ,developer,https://www.cian.ru/sale/flat/298380290/,Москва,sale,flat,3,19,3,86.5,-1,0,38665500,Щукино, Ротмистрова,2,Октябрьское поле,Театральный квартал
Этажи Москва,real_estate_agent,https://www.cian.ru/sale/flat/304028350/,Москва,sale,flat,12,20,3,77.0,-1,0,55000000,Якиманка, Шаболовка,10к1,Октябрьская,Созвездие Капитал-2
OXE CAPITAL - Элитная Недвижимость,real_estate_agent,https://www.cian.ru/sale/flat/308878043/,Москва,sale,flat,13,21,3,76.1,-1,0,76000000,Пресненский,2-я Черногрязская ,6к4,Улица 1905 года,RedSide
Донстрой,developer,https://www.cian.ru/sale/flat/308969235/,Москва,sale,flat,9,14,3,127.9,-1,0,95797100,Раменки, Сергея Бондарчука,2,Мичуринский проспект,Река
Kalinka Group,real_estate_agent,https://www.cian.ru/sale/flat/306008768/,Москва,sale,flat,22,53,3,153.0,-1,0,167970000,Раменки,Мосфильмовская ,8,Ломоносовский проспект,Дом на Мосфильмовской
Этажи Москва,real_estate_agent,https://www.cian.ru/sale/flat/303183599/,Москва,sale,flat,15,21,3,83.5,-1,0,38000000,Хорошево-Мневники, Мневники,5,Народное Ополчение,Городской квартал BIG TIME
Донстрой,developer,https://www.cian.ru/sale/flat/308968977/,Москва,sale,flat,10,13,3,79.9,-1,0,39039140,Хорошево-Мневники,Жилой комплекс остров,4-й кв-л,Терехово ,Остров
Arkhipov team,real_estate_agent,https://www.cian.ru/sale/flat/306758268/,Москва,sale,flat,9,14,3,98.0,-1,0,68500000,Гагаринский,Университетский проспект,5,Университет,
ZAPAD REALTY - офис Маршала Жукова,real_estate_agent,https://www.cian.ru/sale/flat/307739675/,Москва,sale,flat,16,24,3,91.0,-1,0,22800000,Южное Бутово,Скобелевская ,5К1,Улица Скобелевская,
EraOneHolding,developer,https://www.cian.ru/sale/flat/299053644/,Москва,sale,flat,7,8,3,128.6,-1,0,128600000,Арбат, Арбат,24,Смоленская,Turandot Residences
SKYEST,real_estate_agent,https://www.cian.ru/sale/flat/306155025/,Москва,sale,flat,35,40,3,100.0,-1,0,94350000,Хорошевский,Ленинградский проспект,37/3,Аэропорт,Прайм Парк
BERI,real_estate_agent,https://www.cian.ru/sale/flat/308089669/,Москва,sale,flat,4,6,3,75.0,-1,0,71250000,Хамовники,переулок Плотников,10,Смоленская,
Основа,developer,https://www.cian.ru/sale/flat/291982902/,Москва,sale,flat,10,15,3,162.9,-1,0,46426500,Фили-Давыдково, Ивана Франко,6,Кунцевская,MainStreet
Whitewill,real_estate_agent,https://www.cian.ru/sale/flat/307793369/,Москва,sale,flat,35,41,3,98.0,-1,0,95000000,Хорошевский,Ленинградский проспект,37/3,Аэропорт,Прайм Парк
SUNRISE Estate,real_estate_agent,https://www.cian.ru/sale/flat/308762640/,Москва,sale,flat,21,43,3,82.6,-1,0,42950000,Хорошево-Мневники,Шелепихинская набережная,34к6,Шелепиха,Сердце Столицы
Regions Development,developer,https://www.cian.ru/sale/flat/308070822/,Москва,sale,flat,2,24,3,72.1,-1,0,35109224,Нагатинский затон,проспект Андропова,9/1к2,Технопарк,Dream Towers
Whitewill,real_estate_agent,https://www.cian.ru/sale/flat/309120263/,Москва,sale,flat,32,36,3,113.0,-1,0,140000000,Хорошевский,Ленинградский проспект,37/4,ЦСКА,Прайм Парк
Этажи Москва,real_estate_agent,https://www.cian.ru/sale/flat/308019045/,Москва,sale,flat,11,17,3,74.8,-1,0,24500000,Хорошевский,Хорошевское шоссе,50К3,Беговая,
Основа,developer,https://www.cian.ru/sale/flat/286250337/,Москва,sale,flat,15,19,3,71.8,-1,0,53850000,Красносельский,проспект Академика Сахарова,7,Красные ворота,RED7
Kalinka Group,real_estate_agent,https://www.cian.ru/sale/flat/263883005/,Москва,sale,flat,4,24,3,136.0,-1,0,96000000,Раменки,Ломоносовский проспект,25к3,Университет,Dominion
TimeProperty,real_estate_agent,https://www.cian.ru/sale/flat/293666231/,Москва,sale,flat,20,43,3,84.2,-1,0,37500000,Хорошево-Мневники,Шелепихинская набережная,34к7,Шелепиха,Сердце Столицы
Донстрой,developer,https://www.cian.ru/sale/flat/306643206/,Москва,sale,flat,2,49,3,96.5,-1,0,42189800,Раменки,Кинематографический кв-л,,Мичуринский проспект,Событие ЖК
BARNES International Realty,real_estate_agent,https://www.cian.ru/sale/flat/307532779/,Москва,sale,flat,10,34,3,84.0,-1,0,75000000,Дорогомилово,Поклонная ,9,Поклонная,Поклонная 9
Этажи Москва,real_estate_agent,https://www.cian.ru/sale/flat/309080859/,Москва,sale,flat,12,17,3,75.0,-1,0,25900000,Крылатское,Осенняя ,22,Крылатское,
РГ-Девелопмент,developer,https://www.cian.ru/sale/flat/309004360/,Москва,sale,flat,2,25,3,87.5,-1,0,37535225,Савеловский,Старый Петровско-Разумовский проезд,1/23С5,Гражданская,Петровский парк II
Винидиктов и Партнеры,real_estate_agent,https://www.cian.ru/sale/flat/307106658/,Москва,sale,flat,3,15,3,100.0,-1,0,180000000,Хамовники, Усачева,15А,Спортивная,Садовые кварталы
Kalinka Group,real_estate_agent,https://www.cian.ru/sale/flat/307403701/,Москва,sale,flat,7,9,3,101.7,-1,0,69950000,Замоскворечье,Вишняковский переулок,23,Новокузнецкая,
