author,author_type,url,location,deal_type,accommodation_type,floor,floors_count,rooms_count,total_meters,price_per_month,commissions,price,district,street,house_number,underground,residential_complex
NF Group - ex-Knight Frank,real_estate_agent,https://www.cian.ru/sale/flat/309288792/,Москва и МО,sale,flat,18,37,3,69.0,-1,0,58000000,Дорогомилово,Поклонная ,9,Поклонная,Поклонная 9
Магазин новостроек,representative_developer,https://krasnodar.cian.ru/sale/flat/307666583/,Москва и МО,sale,flat,19,23,3,72.9,-1,0,9768600,мкр. Пашковский, Имени В.Н. Мачуги,166/2,,Сказка град
NF Group - ex-Knight Frank,real_estate_agent,https://www.cian.ru/sale/flat/309038398/,Москва и МО,sale,flat,4,18,3,82.3,-1,0,85000000,Хамовники,,,Воробьёвы горы,Коллекция Лужники ЖК
Винидиктов и Партнеры,real_estate_agent,https://www.cian.ru/sale/flat/306277336/,Москва и МО,sale,flat,8,52,3,77.0,-1,0,57500000,Раменки,Мичуринский проспект,56,Раменки,"Небо — Небоскребы на Мичуринском, 56"
БФА-Девелопмент,developer,https://spb.cian.ru/sale/flat/302587557/,Москва и МО,sale,flat,3,24,3,81.55,-1,0,16622000,Красносельский,Южно-Приморский,,Автово,Огни Залива ЖК
Whitewill,real_estate_agent,https://www.cian.ru/sale/flat/299771808/,Москва и МО,sale,flat,24,56,3,71.0,-1,0,33500000,Раменки,проспект Генерала Дорохова,вл1к3,Аминьевская,Will Towers
NF Group - ex-Knight Frank,real_estate_agent,https://www.cian.ru/sale/flat/305062293/,Москва и МО,sale,flat,4,5,3,73.7,-1,0,68128269,Мещанский,Большой Сергиевский переулок,18,Трубная,
СМУ-88,developer,https://kazan.cian.ru/sale/flat/308681068/,Москва и МО,sale,flat,6,24,3,95.3,-1,0,18436440,Кировский,Краснококшайская ,,Козья слобода,Крыловка парк
Kalinka Group,real_estate_agent,https://www.cian.ru/sale/flat/308255252/,Москва и МО,sale,flat,4,6,3,144.0,-1,0,500000000,Хамовники,Всеволожский переулок,5,Кропоткинская,Резиденция на Всеволожском
Whitewill,real_estate_agent,https://www.cian.ru/sale/flat/302456746/,Москва и МО,sale,flat,4,7,3,96.0,-1,0,120000000,Замоскворечье,Садовническая ,57С2,Павелецкая,Wine House
