author,author_type,url,location,deal_type,accommodation_type,floor,floors_count,rooms_count,total_meters,price_per_month,commissions,price,district,street,house_number,underground,residential_complex
ЭТАЖИ Тамбов,real_estate_agent,https://tambov.cian.ru/sale/flat/293054033/,Москва и МО,sale,flat,2,5,4,60.0,-1,0,4500000,Октябрьский, Рылеева,47,,
Борисов,real_estate_agent,https://kaluga.cian.ru/sale/flat/305284509/,Москва и МО,sale,flat,2,5,4,60.9,-1,0,4600000,Малоярославец, Карла Маркса,7,,
Галерея Недвижимости,real_estate_agent,https://habarovsk.cian.ru/sale/flat/308268558/,Москва и МО,sale,flat,4,5,4,83.8,-1,0,4890000,,,,,
Салита,real_estate_agent,https://rostov.cian.ru/sale/flat/305905166/,Москва и МО,sale,flat,6,9,4,72.0,-1,0,5000000,Волгодонск,проспект Курчатова,25А,,
Квартирный ответ,real_estate_agent,https://nn.cian.ru/sale/flat/305421922/,Москва и МО,sale,flat,5,5,4,59.7,-1,0,5200000,Сормовский, Гаугеля,19,,
Инвест Недвижимость,real_estate_agent,https://kemerovo.cian.ru/sale/flat/305566994/,Москва и МО,sale,flat,2,5,4,61.1,-1,0,5200000,Ленинский,Ленинградский проспект,21в,,
Ипотечное агенство Югры,real_estate_agent,https://hmao.cian.ru/sale/flat/308759374/,Москва и МО,sale,flat,9,9,4,84.7,-1,0,5450000,Нижневартовск,Пермская ,15,,
Грани,real_estate_agent,https://voronezh.cian.ru/sale/flat/308513424/,Москва и МО,sale,flat,4,9,4,67.9,-1,0,5500000,Железнодорожный, Артамонова,24,,
Золотой век,real_estate_agent,https://bryansk.cian.ru/sale/flat/300142903/,Москва и МО,sale,flat,5,10,4,78.5,-1,0,5650000,Бежицкий,Комсомольская ,18,,
Компас,real_estate_agent,https://voronezh.cian.ru/sale/flat/306679532/,Москва и МО,sale,flat,9,9,4,96.5,-1,0,5950000,Коминтерновский,бульвар Победы,7,,
Мир Недвижимости,real_estate_agent,https://kaluga.cian.ru/sale/flat/301203609/,Москва и МО,sale,flat,1,5,4,77.6,-1,0,5990000,Кременки, Маршала Жукова,1,,
РБР,real_estate_agent,https://stavropol.cian.ru/sale/flat/306796066/,Москва и МО,sale,flat,11,15,4,101.5,-1,0,6000000,Промышленный, Южный обход,55/10,,
Макромир Екатеринбург,real_estate_agent,https://ekb.cian.ru/sale/flat/308801932/,Москва и МО,sale,flat,1,5,4,78.0,-1,0,6100000,Орджоникидзевский,проспект Космонавтов,103,Проспект Космонавтов,
Ипотечное агенство Югры,real_estate_agent,https://hmao.cian.ru/sale/flat/304581260/,Москва и МО,sale,flat,7,9,4,85.4,-1,0,6100000,Нижневартовск, Дзержинского,25,,
Этажи Тула,real_estate_agent,https://tula.cian.ru/sale/flat/308385604/,Москва и МО,sale,flat,8,9,4,80.6,-1,0,6150000,мкр. 1-й Северо-Восточный, Вильямса,16,,
Ипотечное агенство Югры,real_estate_agent,https://hmao.cian.ru/sale/flat/306433563/,Москва и МО,sale,flat,1,9,4,82.2,-1,0,6150000,Нижневартовск,Пермская ,13,,
Этажи Кострома,real_estate_agent,https://kostroma.cian.ru/sale/flat/308598529/,Москва и МО,sale,flat,5,5,4,79.8,-1,0,6150000,пос. Караваево, Штеймана,60,,
ДЕРЖАВА НЕДВИЖИМОСТЬ,real_estate_agent,https://tomsk.cian.ru/sale/flat/306214689/,Москва и МО,sale,flat,2,9,4,79.0,-1,0,6250000,Октябрьский, Клюева,18,,
Самолет Плюс Чита,real_estate_agent,https://chita.cian.ru/sale/flat/309220049/,Москва и МО,sale,flat,1,5,4,61.2,-1,0,6200000,Железнодорожный, Ползунова,24,,
Ипотечное агенство Югры,real_estate_agent,https://hmao.cian.ru/sale/flat/305904133/,Москва и МО,sale,flat,2,9,4,86.3,-1,0,6200000,Нижневартовск,Ханты-Мансийская ,19,,
Самолет Плюс Уфа,real_estate_agent,https://ufa.cian.ru/sale/flat/287063184/,Москва и МО,sale,flat,8,9,4,80.3,-1,0,6200000,Октябрьский,Российская ,43/10,,
ID 94839414,homeowner,https://ekb.cian.ru/sale/flat/296210411/,Москва и МО,sale,flat,5,5,4,75.5,-1,0,6200000,Арамиль, Ленина,2Е,,
Самолет Плюс Уфа,real_estate_agent,https://ufa.cian.ru/sale/flat/294813219/,Москва и МО,sale,flat,5,5,4,95.0,-1,0,6395000,Октябрьский,Комсомольская ,100/1,,
Флагман,real_estate_agent,https://irkutsk.cian.ru/sale/flat/306249668/,Москва и МО,sale,flat,4,5,4,77.1,-1,0,6420000,Усолье-Сибирское,проспект Космонавтов,12,,
Самолет Плюс Уфа,real_estate_agent,https://ufa.cian.ru/sale/flat/304361294/,Москва и МО,sale,flat,1,9,4,70.8,-1,0,6400000,Кировский,Батырская ,18,,
Новактив,real_estate_agent,https://novosibirsk.cian.ru/sale/flat/293235798/,Москва и МО,sale,flat,8,12,4,75.9,-1,0,6460000,Ленинский, Немировича-Данченко,2/1,Площадь Маркса,
Ипотечное агенство Югры,real_estate_agent,https://hmao.cian.ru/sale/flat/308732656/,Москва и МО,sale,flat,2,9,4,83.2,-1,0,6400000,Нижневартовск,Интернациональная ,59,,
Стандарт,real_estate_agent,https://stavropol.cian.ru/sale/flat/309087961/,Москва и МО,sale,flat,3,5,4,72.6,-1,0,6600000,,,,,
