author,author_type,url,location,deal_type,accommodation_type,floor,floors_count,rooms_count,total_meters,price_per_month,commissions,price,year_of_construction,object_type,house_material_type,heating_type,finish_type,living_meters,kitchen_meters,phone,district,street,house_number,underground,residential_complex
Галс-Девелопмент,developer,https://www.cian.ru/sale/flat/301911033/,Москва и МО,sale,flat,18,20,4,127.0,-1,0,74295000,2026,-1,Монолитно-кирпичный,-1,"Без отделки, чистовая",84 м²,"6,4 м²",+74951387097,Басманный,,,Бауманская,Дом 56 ЖК
SHOW ME,real_estate_agent,https://www.cian.ru/sale/flat/297733877/,Москва и МО,sale,flat,80,85,4,294.6,-1,0,412440000,-1,-1,-1,-1,-1,-1,-1,+79197672046,Пресненский,Московский международный деловой центр Москва-Сити тер.,,Деловой центр,
