author,author_type,url,location,deal_type,accommodation_type,floor,floors_count,rooms_count,total_meters,price_per_month,commissions,price,district,street,house_number,underground,residential_complex
Дипломат,developer,https://krym.cian.ru/sale/flat/292125014/,Москва и МО,sale,flat,8,8,4,388.8,-1,0,156872320,,,,,Резиденция Дипломат
Century 21 Premium Property,real_estate_agent,https://www.cian.ru/sale/flat/308291501/,Москва и МО,sale,flat,3,17,4,155.0,-1,0,159000000,Пресненский,Средний Тишинский переулок,5,Белорусская,Дом на Тишинке
Мир Квартир Элит,real_estate_agent,https://spb.cian.ru/sale/flat/308943699/,Москва и МО,sale,flat,8,8,4,179.09,-1,0,159000000,Центральный,Захарьевская ,33,Чернышевская,
Prime,real_estate_agent,https://www.cian.ru/sale/flat/308801544/,Москва и МО,sale,flat,48,65,4,132.49,-1,0,158988000,Пресненский,Краснопресненская набережная,14Ак2,Москва-Сити,Capital Towers
ID 109135729,realtor,https://www.cian.ru/sale/flat/307718137/,Москва и МО,sale,flat,6,10,4,218.8,-1,0,160000000,Пресненский, Красная Пресня,7,Краснопресненская,
ELECT.ESTATE,real_estate_agent,https://www.cian.ru/sale/flat/298473997/,Москва и МО,sale,flat,25,31,4,168.9,-1,0,160000000,Очаково-Матвеевское,Нежинская ,1к1,Давыдково,Кутузовская Ривьера
MadeState,real_estate_agent,https://www.cian.ru/sale/flat/301826505/,Москва и МО,sale,flat,14,14,4,150.0,-1,0,160000000,Тверской,Газетный переулок,13С1,Охотный ряд,
RND,real_estate_agent,https://www.cian.ru/sale/flat/290364227/,Москва и МО,sale,flat,17,17,4,250.0,-1,0,160000000,Раменки, Пырьева,2,Поклонная,
PEOPLE,real_estate_agent,https://www.cian.ru/sale/flat/298844331/,Москва и МО,sale,flat,5,20,4,164.0,-1,0,165000000,Пресненский,Средний Тишинский переулок,5,Белорусская,Дом на Тишинке
MHEstate - Элитная недвижимость,real_estate_agent,https://www.cian.ru/sale/flat/309202253/,Москва и МО,sale,flat,4,5,4,250.25,-1,0,168440000,Красносельский, Сретенка,26/1,Сухаревская,
Verges of estate,real_estate_agent,https://www.cian.ru/sale/flat/309173463/,Москва и МО,sale,flat,31,35,4,213.0,-1,0,170000000,Тропарево-Никулино,проспект Вернадского,94к3,Тропарёво,Миракс Парк
Мир квартир элит Крестовский,real_estate_agent,https://spb.cian.ru/sale/flat/299727151/,Москва и МО,sale,flat,1,4,4,227.0,-1,0,169999000,Петроградский,Крестовский проспект,4,Крестовский остров,Клубный дом Крестовский IV
Monumental Group,real_estate_agent,https://www.cian.ru/sale/flat/307254747/,Москва и МО,sale,flat,12,16,4,180.0,-1,0,169800000,Пресненский,Звенигородское шоссе,11,Улица 1905 года,Дизайнерский дом Eleven
Капиталъ-Недвижимость,real_estate_agent,https://www.cian.ru/sale/flat/293024629/,Москва и МО,sale,flat,5,5,4,185.0,-1,0,173900000,Арбат,Поварская ,10С1,Арбатская,De Luxe квартал апартаментов Театральный Дом
Smolenka Estate,real_estate_agent,https://www.cian.ru/sale/flat/286484906/,Москва и МО,sale,flat,2,8,4,125.8,-1,0,176120000,Пресненский,Большой Палашевский переулок,10,Пушкинская,Большой Палашевский 10
NF GROUP  St Petersburg,real_estate_agent,https://spb.cian.ru/sale/flat/285614584/,Москва и МО,sale,flat,7,7,4,163.7,-1,0,180000000,Центральный,Невский проспект,137,Площадь Александра Невского,
Мир Квартир Элит,real_estate_agent,https://spb.cian.ru/sale/flat/298728163/,Москва и МО,sale,flat,7,7,4,237.3,-1,0,178500000,Петроградский,проезд Петровская коса,6к1,Крестовский остров,Петровская Доминанта
ID 413522,realtor,https://www.cian.ru/sale/flat/309033741/,Москва и МО,sale,flat,5,8,4,176.0,-1,0,180000000,Раменки,Минская ,2Вк1,Минская,Снегири Эко
Soul Estate,real_estate_agent,https://www.cian.ru/sale/flat/302082719/,Москва и МО,sale,flat,16,18,4,220.0,-1,0,180000000,Дорогомилово,Дохтуровский переулок,6,Студенческая,Кутузовский
