author,author_type,url,location,deal_type,accommodation_type,floor,floors_count,rooms_count,total_meters,price_per_month,commissions,price,district,street,house_number,underground,residential_complex
Homeapp,real_estate_agent,https://www.cian.ru/sale/flat/308906394/,Москва,sale,flat,20,24,4,137.1,-1,0,100000000,Хорошевский, Авиаконструктора Сухого,2к1,ЦСКА,ЛИЦА
Времена года,real_estate_agent,https://www.cian.ru/sale/flat/308932836/,Москва,sale,flat,25,25,4,146.0,-1,0,101500000,Раменки, Янковского,1к1,Аминьевская,Событие
Славянский Двор Остоженка,real_estate_agent,https://www.cian.ru/sale/flat/299609144/,Москва,sale,flat,4,7,4,160.0,-1,0,101219143,Хамовники, Знаменка,13С1,Боровицкая,
PEOPLE,real_estate_agent,https://www.cian.ru/sale/flat/296118340/,Москва,sale,flat,8,12,4,136.8,-1,0,102000000,Раменки,проспект Генерала Дорохова,39к1Е,Минская,Собрание клубных домов West Garden
TimeProperty,real_estate_agent,https://www.cian.ru/sale/flat/298346043/,Москва,sale,flat,8,12,4,137.0,-1,0,102000000,Раменки,проспект Генерала Дорохова,39к1Е,Минская,Собрание клубных домов West Garden
Винидиктов и Партнеры,real_estate_agent,https://www.cian.ru/sale/flat/306466084/,Москва,sale,flat,3,19,4,150.0,-1,0,105000000,Раменки,Ломоносовский проспект,25к5,Университет,Dominion
Аврора Проперти,real_estate_agent,https://www.cian.ru/sale/flat/308888719/,Москва,sale,flat,3,5,4,123.0,-1,0,110000000,Басманный, Машкова,13С1,Красные ворота,Современник
Kalinka Group,real_estate_agent,https://www.cian.ru/sale/flat/303617317/,Москва,sale,flat,7,8,4,199.8,-1,0,110000000,Тверской,Сущевская ,31,Менделеевская,
Кремлёвские Ключи,real_estate_agent,https://www.cian.ru/sale/flat/308909512/,Москва,sale,flat,7,8,4,135.6,-1,0,115000000,Тверской,Тверская ,8к1,Пушкинская,
Verges of estate,real_estate_agent,https://www.cian.ru/sale/flat/308208604/,Москва,sale,flat,12,25,4,135.0,-1,0,115000000,Очаково-Матвеевское,Нежинская ,5к2,Матвеевская,Городские резиденции SPIRES
Елена Соколова,realtor,https://www.cian.ru/sale/flat/309030902/,Москва,sale,flat,14,17,4,144.6,-1,0,115680000,Раменки, Пырьева,2,Поклонная,
BARNES International Realty,real_estate_agent,https://www.cian.ru/sale/flat/297256666/,Москва,sale,flat,4,6,4,192.0,-1,0,115000000,Тверской, Малая Дмитровка,23/15С1,Пушкинская,
Smolenka Estate,real_estate_agent,https://www.cian.ru/sale/flat/307746338/,Москва,sale,flat,7,14,4,199.4,-1,0,120000000,Тверской,Весковский тупик,3,Менделеевская,
NIKA ESTATE,real_estate_agent,https://www.cian.ru/sale/flat/305486913/,Москва,sale,flat,12,13,4,148.0,-1,0,122436233,Раменки,Воробьевское шоссе,4С1,Ломоносовский проспект,Воробьёв Дом
OXE CAPITAL - Элитная Недвижимость,real_estate_agent,https://www.cian.ru/sale/flat/306509730/,Москва,sale,flat,11,21,4,105.0,-1,0,125000000,Беговой,Ленинградский проспект,29к2,Динамо,Царская площадь
Veles Realty,real_estate_agent,https://www.cian.ru/sale/flat/303975290/,Москва,sale,flat,12,19,4,135.0,-1,0,134000000,Гагаринский,Ленинский проспект,38Ак3,Ленинский проспект,Ленинский 38
Diamant Estate,real_estate_agent,https://www.cian.ru/sale/flat/297055902/,Москва,sale,flat,40,53,4,165.0,-1,0,136256539,Раменки,Мосфильмовская ,8,Ломоносовский проспект,Дом на Мосфильмовской
Century 21 Харламов,real_estate_agent,https://www.cian.ru/sale/flat/302452563/,Москва,sale,flat,9,10,4,181.1,-1,0,145000000,Савеловский,2-я Квесисская ,24К3,Савёловская,
OXE CAPITAL - Элитная Недвижимость,real_estate_agent,https://www.cian.ru/sale/flat/305315562/,Москва,sale,flat,3,7,4,135.0,-1,0,145000000,Пресненский,Никитский бульвар,12,Арбатская,
ID 94509767,unknown,https://www.cian.ru/sale/flat/308873580/,Москва,sale,flat,6,15,4,127.0,-1,0,145000000,Пресненский, Костикова,4к4,Улица 1905 года,Lucky
Аврора Проперти,real_estate_agent,https://www.cian.ru/sale/flat/308875099/,Москва,sale,flat,41,61,4,136.35,-1,0,150000000,Пресненский,Краснопресненская набережная,14,Москва-Сити,Capital Towers
OXE CAPITAL - Элитная Недвижимость,real_estate_agent,https://www.cian.ru/sale/flat/306210138/,Москва,sale,flat,3,7,4,126.0,-1,0,151000000,Арбат,Поварская ,8/1к1,Арбатская,De Luxe квартал апартаментов Театральный Дом
MadeState,real_estate_agent,https://www.cian.ru/sale/flat/309091969/,Москва,sale,flat,3,10,4,154.2,-1,0,154200000,Басманный,Казарменный переулок,3,Курская,Дом на Покровском бульваре
