author,author_type,url,location,deal_type,accommodation_type,floor,floors_count,rooms_count,total_meters,price_per_month,commissions,price,district,street,house_number,underground,residential_complex
ОГРК,real_estate_agent,https://www.cian.ru/sale/flat/305507642/,Москва,sale,flat,6,9,1,31.6,-1,0,8999999,Кузьминки,Окская ,36К2,Окская,
Место,real_estate_agent,https://www.cian.ru/sale/flat/308391305/,Москва,sale,flat,2,9,1,32.9,-1,0,8900000,Богородское,Краснобогатырская ,75К2,Преображенская площадь,
ФСК Агент,real_estate_agent,https://www.cian.ru/sale/flat/307307517/,Москва,sale,flat,13,17,1,37.8,-1,0,8999999,, Радужная,17,Рассказовка,
Этажи Москва,real_estate_agent,https://www.cian.ru/sale/flat/307912800/,Москва,sale,flat,7,14,1,39.6,-1,0,9000000,Старое Крюково,Зеленоград,к842,Зеленоград — Крюково,
ID 96167522,realtor,https://www.cian.ru/sale/flat/295766589/,Москва,sale,flat,9,9,1,35.9,-1,0,9072500,Люблино, Верхние Поля,27С2,Братиславская,
ГОРОДА,real_estate_agent,https://www.cian.ru/sale/flat/308300378/,Москва,sale,flat,7,10,1,29.3,-1,0,9000000,,,1.4,Потапово,Дзен-кварталы ЖК
ID 96167522,realtor,https://www.cian.ru/sale/flat/298882717/,Москва,sale,flat,9,9,1,36.5,-1,0,9215000,Люблино, Верхние Поля,27С2,Братиславская,
ID 96167522,realtor,https://www.cian.ru/sale/flat/297465291/,Москва,sale,flat,7,9,1,36.3,-1,0,9215000,Люблино, Верхние Поля,27С2,Братиславская,
ID 96167522,realtor,https://www.cian.ru/sale/flat/294926973/,Москва,sale,flat,7,9,1,36.9,-1,0,9215000,Люблино, Верхние Поля,27С2,Братиславская,
Этажи Москва,real_estate_agent,https://www.cian.ru/sale/flat/308305236/,Москва,sale,flat,3,12,1,34.7,-1,0,9300000,Гольяново,Алтайская ,24,Гольяново,
Этажи Москва,real_estate_agent,https://www.cian.ru/sale/flat/306524610/,Москва,sale,flat,2,9,1,32.4,-1,0,9300000,Бескудниковский,Бескудниковский бульвар,32К1,Яхромская,
Этажи Москва,real_estate_agent,https://www.cian.ru/sale/flat/305357649/,Москва,sale,flat,3,22,1,38.5,-1,0,9250000,Южное Тушино, Василия Петушкова,19,Трикотажная,
ГОРОБМЕН,real_estate_agent,https://www.cian.ru/sale/flat/309077189/,Москва,sale,flat,9,9,1,32.0,-1,0,9300000,Перово,2-я Владимирская ,21/9,Перово,
Этажи Москва,real_estate_agent,https://www.cian.ru/sale/flat/307314827/,Москва,sale,flat,16,25,1,31.6,-1,0,9400000,, Фитаревская,15к1,Новомосковская,
ОГРК,real_estate_agent,https://www.cian.ru/sale/flat/303583911/,Москва,sale,flat,15,18,1,24.0,-1,0,9350000,Останкинский,Березовая аллея,19к4,Ботанический сад,Апарт-комплекс Легендарный квартал
Этажи Москва,real_estate_agent,https://www.cian.ru/sale/flat/307113371/,Москва,sale,flat,3,9,1,32.6,-1,0,9500000,Отрадное,Березовая аллея,7В,Отрадное,
Этажи Москва,real_estate_agent,https://www.cian.ru/sale/flat/308354812/,Москва,sale,flat,3,9,1,32.6,-1,0,9500000,Отрадное,Березовая аллея,7В,Отрадное,
Этажи Москва,real_estate_agent,https://www.cian.ru/sale/flat/307408303/,Москва,sale,flat,2,18,1,32.5,-1,0,9500000,Южное Бутово,,2.3,Бутово,Никольские Луга ЖК
На Петровке,real_estate_agent,https://www.cian.ru/sale/flat/297622152/,Москва,sale,flat,8,9,1,34.0,-1,0,9499000,Печатники, Гурьянова,39,Люблино,
ID 88424902,unknown,https://www.cian.ru/sale/flat/307156262/,Москва,sale,flat,2,5,1,40.0,-1,0,9465000,, Жемчужная,1к4,Филатов Луг,
СОВКОМБАНК,official_representative,https://www.cian.ru/sale/flat/297233032/,Москва,sale,flat,12,12,1,39.0,-1,0,9600000,Гольяново,Уральская ,1,Щёлковская,
Светлана Биличенко,realtor,https://www.cian.ru/sale/flat/308838116/,Москва,sale,flat,4,5,1,33.0,-1,0,9600000,Восточное Измайлово,11-я Парковая ,34,Первомайская,
Этажи Москва,real_estate_agent,https://www.cian.ru/sale/flat/308162908/,Москва,sale,flat,1,9,1,36.2,-1,0,9700000,Отрадное,Юрловский проезд,19,Отрадное,
Этажи Москва,real_estate_agent,https://www.cian.ru/sale/flat/305334257/,Москва,sale,flat,12,12,1,36.5,-1,0,9650000,Крюково,Зеленоград,11.1,Зеленоград — Крюково,Жемчужина Зеленограда ЖК
Этажи Москва,real_estate_agent,https://www.cian.ru/sale/flat/306841842/,Москва,sale,flat,4,16,1,38.2,-1,0,9700000,Молжаниновский,Северный ао,,Новоподрезково,Молжаниново ЖК
Этажи Москва,real_estate_agent,https://www.cian.ru/sale/flat/303679273/,Москва,sale,flat,19,21,1,30.5,-1,0,9700000,Лосиноостровский,Тайнинская ,9к1,Медведково,Нормандия
Парадайс,real_estate_agent,https://www.cian.ru/sale/flat/308826455/,Москва,sale,flat,1,17,1,36.6,-1,0,9700000,, Бориса Пастернака,33к1,Рассказовка,
Этажи Москва,real_estate_agent,https://www.cian.ru/sale/flat/309118651/,Москва,sale,flat,4,5,1,30.9,-1,0,9900000,Южное Тушино,проезд Цветочный,9с1,Сходненская,
