author,author_type,url,location,deal_type,accommodation_type,floor,floors_count,rooms_count,total_meters,price_per_month,commissions,price,year_of_construction,object_type,house_material_type,heating_type,finish_type,living_meters,kitchen_meters,phone,district,street,house_number,underground,residential_complex
VESPER,developer,https://www.cian.ru/sale/flat/307211222/,Москва,sale,flat,8,9,1,57.6,-1,0,117936000,2023,-1,Монолитный,-1,"Без отделки, чистовая с мебелью",-1,-1,+74951387184,Тверской,1-я Тверская-Ямская ,2,Маяковская,Vesper Tverskaya
White and Broughton,real_estate_agent,https://www.cian.ru/sale/flat/299890518/,Москва,sale,flat,9,40,1,41.5,-1,0,32000000,-1,-1,-1,-1,-1,"23,4 м²","4,9 м²",+79646331510,Хорошевский,Ленинградский проспект,37/4,ЦСКА,Прайм Парк
Галс-Девелопмент,developer,https://www.cian.ru/sale/flat/306243017/,Москва,sale,flat,2,27,1,45.7,-1,0,21798900,2026,-1,Монолитно-кирпичный,-1,"Без отделки, чистовая","26,8 м²","7,8 м²",+74951387097,Басманный, Фридриха Энгельса,56С9,Бауманская,Дом 56
White and Broughton,real_estate_agent,https://www.cian.ru/sale/flat/301550653/,Москва,sale,flat,13,41,1,41.5,-1,0,31000000,-1,-1,-1,-1,-1,"23,4 м²","4,9 м²",+79646331510,Хорошевский,Ленинградский проспект,37/6,Аэропорт,Прайм Парк
VESPER,developer,https://www.cian.ru/sale/flat/306541560/,Москва,sale,flat,5,21,1,65.9,-1,0,82172522,2023,-1,Монолитный,-1,"Чистовая, чистовая с мебелью","18,8 м²","24,9 м²",+74951347641,Пресненский, Костикова,4к1,Улица 1905 года,Lucky
Contact Real Estate,real_estate_agent,https://www.cian.ru/sale/flat/303027445/,Москва,sale,flat,3,20,1,59.0,-1,0,61800000,2023,-1,-1,-1,-1,39 м²,15 м²,+79057122519,Пресненский, Костикова,4к6,Улица 1905 года,Lucky
MR Group,developer,https://www.cian.ru/sale/flat/300288196/,Москва,sale,flat,3,49,1,39.37,-1,0,19037954,2025,-1,Монолитный,-1,"Предчистовая, чистовая","12,8 м²",-1,+74951374843,Савеловский,,,Дмитровская,Симфония 34 ЖК
ID 148596,homeowner,https://www.cian.ru/sale/flat/268629674/,Москва,sale,flat,10,10,1,38.5,-1,0,11280000,1994,-1,-1,-1,-1,"20,7 м²","8,4 м²",+79660479909,Выхино-Жулебино,Жулебинский бульвар,6/11,Лермонтовский проспект,
Главстрой,developer,https://www.cian.ru/sale/flat/296921064/,Москва,sale,flat,2,16,1,45.0,-1,0,23274675,2024,-1,Монолитно-кирпичный,-1,Без отделки,"16,4 м²","14,6 м²",+74951379308,Филевский парк,Береговой проезд,2,Фили,Береговой-2
SUNRISE Estate,real_estate_agent,https://www.cian.ru/sale/flat/307810501/,Москва,sale,flat,75,95,1,57.0,-1,0,47000000,2017,-1,-1,-1,-1,37 м²,10 м²,+79651079355,Пресненский,набережная Пресненская,12,Деловой центр,Башня Федерация
MR Group,developer,https://www.cian.ru/sale/flat/306611541/,Москва,sale,flat,2,59,1,30.4,-1,0,,2028,-1,Монолитно-кирпичный,-1,Предчистовая,"9,7 м²",-1,+74951370518,Можайский,,,Давыдково,Веер ЖК
ID 112609323,realtor,https://www.cian.ru/sale/flat/307205775/,Москва,sale,flat,4,6,1,59.35,-1,0,101785250,2024,-1,-1,-1,Без отделки,"48,9 м²",-1,+79645659386,Мещанский, Кузнецкий Мост,12/3С1,Кузнецкий мост,Kuznetsky Most 12 by Lalique
КОРТРОС,developer,https://www.cian.ru/sale/flat/305005720/,Москва,sale,flat,20,49,1,40.62,-1,0,18197760,2027,-1,Монолитно-кирпичный,-1,"Без отделки, предчистовая","12,2 м²",-1,+74951387167,Марьина роща,,,Марьина Роща,Тэйт ЖК
Home Expert,real_estate_agent,https://www.cian.ru/sale/flat/305205701/,Москва,sale,flat,4,12,1,42.7,-1,0,18500000,2025,-1,-1,-1,Без отделки,-1,-1,+79651099237,Даниловский,3-я оч.,к1,Технопарк,Shagal
TOUCH,developer,https://www.cian.ru/sale/flat/302838421/,Москва,sale,flat,7,13,1,45.3,-1,0,27171760,2024,-1,Монолитный,-1,"Без отделки, чистовая",-1,-1,+74951387101,Южнопортовый,,к2,Дубровка,Шампайн ЖК
Romanov Estate,real_estate_agent,https://www.cian.ru/sale/flat/302630222/,Москва,sale,flat,25,45,1,64.0,-1,0,40999999,2026,-1,-1,-1,Без отделки,"45,4 м²","7,6 м²",+79636236030,Дорогомилово,Кутузовский проезд,16А/1,Шелепиха,River Park Кутузовский
Sminex,developer,https://www.cian.ru/sale/flat/293713671/,Москва,sale,flat,2,14,1,72.6,-1,0,139410000,2024,-1,Монолитный,-1,Без отделки,"14,2 м²",31 м²,+74951375467,Якиманка,,,Полянка,Лаврушинский ЖК
ZIP Realty,real_estate_agent,https://www.cian.ru/sale/flat/307496200/,Москва,sale,flat,1,10,1,31.0,-1,0,14500000,-1,-1,-1,-1,-1,20 м²,6 м²,+79856120994,Раменки,Мичуринский проспект,10К1,Ломоносовский проспект,
Среда,developer,https://www.cian.ru/sale/flat/304753663/,Москва,sale,flat,2,44,1,31.61,-1,0,14381127,2027,-1,Монолитный,-1,"Без отделки, предчистовая","9,4 м²",-1,+74951387079,Кунцево,48-й кв-л,,Кунцевская,Кутузовский Квартал ЖК
hoomie,real_estate_agent,https://www.cian.ru/sale/flat/305679592/,Москва,sale,flat,7,20,1,43.09,-1,0,20252300,2024,-1,-1,-1,-1,"10,6 м²","18,7 м²",+79652908569,Даниловский,Автозаводская ,26,Тульская,FORST
Hutton Development,developer,https://www.cian.ru/sale/flat/304286459/,Москва,sale,flat,2,6,1,48.3,-1,0,95634000,2026,-1,-1,-1,Без отделки,-1,-1,+74951379715,Якиманка,Софийская набережная,34С3,Новокузнецкая,Клубный дом DUO
ID 56317,homeowner,https://www.cian.ru/sale/flat/308812807/,Москва,sale,flat,10,22,1,38.2,-1,0,12600000,2005,-1,-1,-1,-1,19 м²,10 м²,+79856873217,Солнцево,Производственная ,2к1,Солнцево,
Галс-Девелопмент,developer,https://www.cian.ru/sale/flat/308081007/,Москва,sale,flat,4,6,1,50.2,-1,0,57228000,2024,-1,Монолитно-кирпичный,-1,Без отделки,"12,3 м²","23,9 м²",+74951387122,Замоскворечье,Космодамианская набережная,4/22С9,Новокузнецкая,Клубный дом Космо 4/22
Яна Абрамовская,realtor,https://www.cian.ru/sale/flat/308585814/,Москва,sale,flat,17,40,1,40.0,-1,0,21500000,2024,-1,-1,-1,Чистовая,-1,-1,+79660638221,Даниловский,Дубининская ,59к8,Серпуховская,Павелецкая Сити
MR Group,developer,https://www.cian.ru/sale/flat/308802713/,Москва,sale,flat,2,46,1,34.8,-1,0,16375836,2027,-1,"Монолитно-кирпичный, монолитный, кирпичный",-1,"Без отделки, предчистовая","14,1 м²",-1,+74997058993,Даниловский,,,Павелецкая,Павелецкая Сити ЖК
Business Leader,real_estate_agent,https://www.cian.ru/sale/flat/304885992/,Москва,sale,flat,1,16,1,37.5,-1,0,13000000,1981,-1,-1,-1,-1,21 м²,"8,9 м²",+79651572723,Раменки, Лобачевского,100К3,Мичуринский проспект,
Пионер,developer,https://www.cian.ru/sale/flat/308640077/,Москва,sale,flat,3,11,1,55.8,-1,0,52675646,2025,-1,Монолитно-кирпичный,-1,Без отделки,-1,-1,+74951387235,Даниловский,,,Павелецкая,Опус ЖК
Marry Lane Group,real_estate_agent,https://www.cian.ru/sale/flat/307494611/,Москва,sale,flat,2,44,1,48.1,-1,0,25000000,2018,-1,-1,-1,-1,30 м²,3 м²,+79684614375,Пресненский,Ходынская ,2,Улица 1905 года,Пресня Сити
Главстрой,developer,https://www.cian.ru/sale/flat/307942491/,Москва,sale,flat,7,35,1,39.22,-1,0,18847239,2027,-1,Монолитный,-1,Без отделки,"24,1 м²","6,3 м²",+74951387141,Котловка,31/2,31/2,Профсоюзная,Новые Академики ЖК
Romanov Estate,real_estate_agent,https://www.cian.ru/sale/flat/306373900/,Москва,sale,flat,13,30,1,93.8,-1,0,28999999,2025,-1,-1,-1,Без отделки,62 м²,9 м²,+79852211138,Щукино,проезд 4-й Красногорский,,Стрешнево,Moments
BARNES International Realty,real_estate_agent,https://www.cian.ru/sale/flat/308805101/,Москва,sale,flat,4,6,1,35.1,-1,0,23000000,1902,-1,-1,-1,-1,-1,-1,+79623676737,Басманный, Покровка,38С1,Курская,
ИПОМАКС,real_estate_agent,https://www.cian.ru/sale/flat/306542403/,Москва,sale,flat,3,5,1,28.0,-1,0,5250000,-1,-1,-1,-1,-1,"16,7 м²","6,3 м²",+79660479203,,,5,Апрелевка,
MR Group,developer,https://www.cian.ru/sale/flat/308909121/,Москва,sale,flat,6,13,1,85.04,-1,0,130383328,2025,-1,Монолитно-кирпичный,-1,Чистовая,"45,8 м²","15,8 м²",+74951387239,Мещанский,Садовая-Сухаревская ,14,Цветной бульвар,Клубный дом Forum
Intermark Real Estate,real_estate_agent,https://www.cian.ru/sale/flat/305957125/,Москва,sale,flat,2,12,1,51.2,-1,0,31300000,2022,-1,-1,-1,-1,33 м²,5 м²,+79645653269,Сокол, Врубеля,4к1,Сокол,Врубеля 4
Regions Development,developer,https://www.cian.ru/sale/flat/308234966/,Москва,sale,flat,8,16,1,37.8,-1,0,18192215,2027,-1,Монолитно-кирпичный,-1,Без отделки,"32,8 м²",-1,+74951370547,Преображенское,Жилой комплекс Преображенская площадь,,Преображенская площадь,Преображенская площадь
ФСК,developer,https://www.cian.ru/sale/flat/293677259/,Москва,sale,flat,45,47,1,34.3,-1,0,20360480,2024,-1,Монолитно-кирпичный,-1,"Без отделки, предчистовая, чистовая","18,5 м²","8,2 м²",+74951387154,Обручевский,,,Калужская,Архитектор ЖК
Основа,developer,https://www.cian.ru/sale/flat/299250693/,Москва,sale,flat,11,29,1,30.1,-1,0,12837650,2025,-1,Монолитный,-1,"Без отделки, предчистовая, черновая, чистовая","10,5 м²","11,5 м²",+74951377247,Черемушки, Наметкина,вл10,Новые Черёмушки,Nametkin Tower
Этажи Москва,real_estate_agent,https://www.cian.ru/sale/flat/304826787/,Москва,sale,flat,2,17,1,38.0,-1,0,10250000,2003,-1,-1,-1,-1,19 м²,"7,5 м²",+79067947242,Ново-Переделкино,Боровское шоссе,18К3,Боровское шоссе,
ID 96167522,realtor,https://www.cian.ru/sale/flat/296747241/,Москва,sale,flat,4,9,1,36.0,-1,0,8700000,1980,-1,-1,-1,-1,-1,-1,+79660617014,Люблино, Верхние Поля,27С2,Братиславская,
Самолет Плюс МСК-Север,real_estate_agent,https://www.cian.ru/sale/flat/308905426/,Москва,sale,flat,10,30,1,43.0,-1,0,20000000,2022,-1,-1,-1,-1,"13,5 м²","17,7 м²",+79652557357,Южнопортовый,Волгоградский проспект,32/5к1,Угрешская,Метрополия
Msk Estate,real_estate_agent,https://www.cian.ru/sale/flat/308525822/,Москва,sale,flat,22,22,1,14.3,-1,0,8280000,1980,-1,-1,-1,-1,"6,3 м²",3 м²,+79031506327,Тропарево-Никулино,Ленинский проспект,158,Юго-Западная,
Whitewill,real_estate_agent,https://www.cian.ru/sale/flat/306977986/,Москва,sale,flat,9,21,1,42.1,-1,0,31900000,2024,-1,-1,-1,Чистовая,14 м²,20 м²,+79660621044,Басманный, Земляной Вал,37,Чкаловская,Дом Chkalov
ФСК Агент,real_estate_agent,https://www.cian.ru/sale/flat/308359622/,Москва,sale,flat,7,12,1,27.7,-1,0,7990000,2024,-1,-1,-1,Чистовая,"12,1 м²","7,7 м²",+79891802810,Молжаниновский,Ленинградское шоссе,228к2,Молжаниново,1-й Ленинградский
Century 21 Premium Property,real_estate_agent,https://www.cian.ru/sale/flat/296522785/,Москва,sale,flat,15,20,1,50.0,-1,0,26000000,2024,-1,-1,-1,Без отделки,30 м²,8 м²,+79653037353,Раменки,Кинематографический кв-л,,Аминьевская,Событие ЖК
А101,developer,https://www.cian.ru/sale/flat/306741319/,Москва,sale,flat,2,16,1,37.5,-1,0,20328519,2025,-1,Монолитно-кирпичный,-1,"Предчистовая, чистовая","13,5 м²","10,7 м²",+74951379043,Сокол, Зорге,25С2,Октябрьское поле,Дом на Зорге
Point Estate Город,real_estate_agent,https://www.cian.ru/sale/flat/299010726/,Москва,sale,flat,4,4,1,37.0,-1,0,37400000,-1,-1,-1,-1,-1,29 м²,-1,+79854621515,Мещанский, Кузнецкий Мост,19С1,Кузнецкий мост,
Point Estate Город,real_estate_agent,https://www.cian.ru/sale/flat/299010722/,Москва,sale,flat,4,4,1,40.0,-1,0,38500000,-1,-1,-1,-1,-1,27 м²,8 м²,+79854621515,Мещанский, Кузнецкий Мост,19С1,Кузнецкий мост,
Этажи Москва,real_estate_agent,https://www.cian.ru/sale/flat/306936895/,Москва,sale,flat,13,21,1,42.0,-1,0,16400000,2022,-1,-1,-1,-1,24 м²,10 м²,+79031167157,Зюзино,Севастопольский проспект,79А,Зюзино,
Этажи Москва,real_estate_agent,https://www.cian.ru/sale/flat/306154028/,Москва,sale,flat,11,17,1,37.8,-1,0,8490000,2010,-1,-1,-1,-1,"18,9 м²",8 м²,+79060420495,, Солнечная,13,Рассказовка,
ФЛИП,real_estate_agent,https://www.cian.ru/sale/flat/308499820/,Москва,sale,flat,1,5,1,31.3,-1,0,8400000,1966,-1,-1,-1,-1,17 м²,"6,6 м²",+79623677324,Перово,Новогиреевская ,13,Перово,
ГОРОБМЕН,real_estate_agent,https://www.cian.ru/sale/flat/309077189/,Москва,sale,flat,9,9,1,32.0,-1,0,9300000,1974,-1,-1,-1,-1,21 м²,6 м²,+79653065466,Перово,2-я Владимирская ,21/9,Перово,
Этажи Москва,real_estate_agent,https://www.cian.ru/sale/flat/308354835/,Москва,sale,flat,3,8,1,25.9,-1,0,9990000,1977,-1,-1,-1,-1,-1,10 м²,+79096612576,Аэропорт,Большой Коптевский проезд,3С7,Красный Балтиец,
Мега-Балт,real_estate_agent,https://www.cian.ru/sale/flat/309029048/,Москва,sale,flat,3,17,1,38.6,-1,0,10900000,1988,-1,-1,-1,-1,18 м²,"8,4 м²",+79645393842,Головинский,Онежская ,22,Коптево,
ЛэндЛ,real_estate_agent,https://www.cian.ru/sale/flat/302263383/,Москва,sale,flat,14,45,1,41.3,-1,0,12800000,2026,-1,-1,-1,Без отделки,20 м²,11 м²,+79645589720,Нижегородский,Перовское шоссе,,Нижегородская,Level Нижегородская
ФСК Агент,real_estate_agent,https://www.cian.ru/sale/flat/292999858/,Москва,sale,flat,4,28,1,32.8,-1,0,15800000,2025,-1,-1,-1,Чистовая,20 м²,8 м²,+79629778574,Нагатино-Садовники,Варшавское шоссе,37Ак3,Нагатинская,Rotterdam
Century 21 Premium Property,real_estate_agent,https://www.cian.ru/sale/flat/303019395/,Москва,sale,flat,18,22,1,43.0,-1,0,19200000,-1,-1,-1,-1,-1,22 м²,12 м²,+79647887587,Щукино,Большой Волоколамский проезд,23,Стрешнево,Комплекс апартаментов B’aires
Century 21 Premium Property,real_estate_agent,https://www.cian.ru/sale/flat/303005869/,Москва,sale,flat,11,27,1,36.3,-1,0,19500000,2021,-1,-1,-1,-1,16 м²,11 м²,+79651060075,Хорошево-Мневники,Шелепихинская набережная,42к3,Шелепиха,FreeDOM
GLINCOM,official_representative,https://www.cian.ru/sale/flat/308877164/,Москва,sale,flat,4,8,1,60.1,-1,0,25242000,2024,-1,-1,-1,-1,-1,20 м²,+79856607107,Савеловский, Верхняя Масловка,20,Петровский Парк,Verdi
Hutton Development,developer,https://www.cian.ru/sale/flat/303616408/,Москва,sale,flat,2,6,1,49.6,-1,0,109120000,2026,-1,-1,-1,Без отделки,-1,-1,+74951379715,Якиманка,Софийская набережная,34С3,Новокузнецкая,Клубный дом DUO
Самолет,developer,https://www.cian.ru/sale/flat/308648830/,Москва,sale,flat,14,14,1,35.81,-1,0,6707013,2025,-1,"Монолитно-кирпичный, монолитный",-1,"Без отделки, чистовая","10,8 м²","9,7 м²",+74951374063,,,к20,Щербинка,Остафьево ЖК
Самолет,developer,https://www.cian.ru/sale/flat/308650250/,Москва,sale,flat,16,17,1,35.83,-1,0,7021139,2025,-1,Монолитно-кирпичный,-1,"Без отделки, чистовая","10,8 м²","9,8 м²",+74951374687,,,к4,Филатов Луг,Квартал Марьино ЖК
Самолет,developer,https://www.cian.ru/sale/flat/308920237/,Москва,sale,flat,4,14,1,38.4,-1,0,7253530,2025,-1,"Монолитно-кирпичный, монолитный",-1,"Без отделки, чистовая","17,6 м²","12,2 м²",+74951374063,,,к22,Щербинка,Остафьево ЖК
А101,developer,https://www.cian.ru/sale/flat/306745431/,Москва,sale,flat,3,9,1,32.4,-1,0,7366496,2026,-1,Монолитно-кирпичный,-1,"Без отделки, чистовая","11,8 м²","10,2 м²",+74951375220,,,2,Толстопальцево,Родные кварталы ЖК
Самолет,developer,https://www.cian.ru/sale/flat/308650591/,Москва,sale,flat,2,14,1,37.11,-1,0,7420182,2026,-1,-1,-1,Без отделки,16 м²,"11,6 м²",+74997153345,,,10,Рассказовка,Квартал Западный ЖК
Самолет,developer,https://www.cian.ru/sale/flat/309107319/,Москва,sale,flat,13,14,1,32.7,-1,0,7539734,2024,-1,Монолитно-кирпичный,-1,"Без отделки, чистовая","11,6 м²","9,1 м²",+74999228924,,,4-5,Филатов Луг,Цветочные Поляны
ID 116056234,developer,https://www.cian.ru/sale/flat/306728716/,Москва,sale,flat,4,23,1,25.9,-1,0,7724105,2026,-1,Монолитно-кирпичный,-1,Без отделки,-1,-1,+74951370052,Куркино,Куркинское шоссе,15С3,Химки,Куркино 15
А101,developer,https://www.cian.ru/sale/flat/306747334/,Москва,sale,flat,6,17,1,33.0,-1,0,7840652,2025,-1,-1,-1,Без отделки,"11,8 м²","10,6 м²",+74951344536,,,9.1,Улица Горчакова,Бунинские Кварталы ЖК
ПИК,developer,https://www.cian.ru/sale/flat/303687749/,Москва,sale,flat,9,9,1,35.99,-1,0,7969805,2025,-1,Панельный,-1,Чистовая,"10,5 м²","18,3 м²",+74951375440,,,к4.2,Филатов Луг,Середневский Лес ЖК
Самолет,developer,https://www.cian.ru/sale/flat/308966444/,Москва,sale,flat,8,9,1,40.9,-1,0,8124172,2026,-1,"Монолитно-кирпичный, монолитный",-1,"Без отделки, чистовая",11 м²,"19,8 м²",+74951378825,,,к31,Рассказовка,Новое Внуково ЖК
Самолет,developer,https://www.cian.ru/sale/flat/308914912/,Москва,sale,flat,2,16,1,39.56,-1,0,8229377,2026,-1,"Монолитно-кирпичный, монолитный",-1,"Без отделки, чистовая",14 м²,"15,2 м²",+74997098514,,,13,Летово,Эко Бунино ЖК
Plus Development,developer,https://www.cian.ru/sale/flat/309008620/,Москва,sale,flat,3,23,1,41.5,-1,0,8263480,2026,-1,Монолитно-кирпичный,-1,"Без отделки, предчистовая, чистовая","13,1 м²","13,7 м²",+74951370084,,,,Филатов Луг,Детали ЖК
Самолет,developer,https://www.cian.ru/sale/flat/308655358/,Москва,sale,flat,2,16,1,38.6,-1,0,8275112,2024,-1,Монолитно-кирпичный,-1,"Без отделки, чистовая","10,5 м²","11,3 м²",+74999228924,,,4-5,Филатов Луг,Цветочные Поляны
Самолет,developer,https://www.cian.ru/sale/flat/308650350/,Москва,sale,flat,6,17,1,40.0,-1,0,8318880,2025,-1,Монолитно-кирпичный,-1,"Без отделки, чистовая","10,3 м²","21,3 м²",+74951374687,,,к1,Филатов Луг,Квартал Марьино ЖК
Монолит,real_estate_agent,https://www.cian.ru/sale/flat/308954691/,Москва,sale,flat,10,16,1,30.0,-1,0,8500000,1980,-1,-1,-1,-1,-1,7 м²,+79660542638,Ярославский, Ротерта,10К4,Медведково,
Самолет,developer,https://www.cian.ru/sale/flat/308655350/,Москва,sale,flat,8,16,1,40.3,-1,0,8580879,2024,-1,Монолитно-кирпичный,-1,"Без отделки, чистовая","14,9 м²","12,1 м²",+74999228924,,,4-5,Филатов Луг,Цветочные Поляны
Самолет,developer,https://www.cian.ru/sale/flat/308914714/,Москва,sale,flat,8,20,1,34.8,-1,0,8711411,2025,-1,"Монолитно-кирпичный, монолитный",-1,"Без отделки, чистовая","12,2 м²",11 м²,+74997098514,,,15,Летово,Эко Бунино ЖК
Самолет,developer,https://www.cian.ru/sale/flat/309103188/,Москва,sale,flat,14,14,1,32.17,-1,0,8839618,2024,-1,"Монолитно-кирпичный, монолитный",-1,"Без отделки, чистовая",20 м²,"4,3 м²",+74951374063,,,к16,Щербинка,Остафьево ЖК
