author,author_type,url,location,deal_type,accommodation_type,floor,floors_count,rooms_count,total_meters,price_per_month,commissions,price,district,street,house_number,underground,residential_complex
Таврида Девелопмент,developer,https://krym.cian.ru/sale/flat/299893575/,Москва и МО,sale,flat,2,9,4,106.94,-1,0,46935966,Массандра пгт, Мухина,17А,,Клубный дом Массандра Парк
Contact Real Estate,real_estate_agent,https://www.cian.ru/sale/flat/304825409/,Москва и МО,sale,flat,19,21,4,141.0,-1,0,190000000,Пресненский,2-я Звенигородская ,16,Улица 1905 года,Lucky
Whitewill,real_estate_agent,https://www.cian.ru/sale/flat/307822553/,Москва и МО,sale,flat,4,4,4,240.5,-1,0,340791150,Раменки,Минская ,2Вк6,Минская,Снегири Эко
Capital Group,representative_developer,https://www.cian.ru/sale/flat/304746745/,Москва и МО,sale,flat,16,41,4,117.95,-1,0,,Пресненский,,,Шелепиха,Хедлайнер ЖК
Kalinka Group,real_estate_agent,https://www.cian.ru/sale/flat/309083804/,Москва и МО,sale,flat,5,7,4,167.5,-1,0,140000000,Замоскворечье, Большая Ордынка,67,Добрынинская,
BEYOND. ex-Engel Volkers,real_estate_agent,https://spb.cian.ru/sale/flat/304861190/,Москва и МО,sale,flat,6,10,4,179.8,-1,0,129900000,Петроградский,Ждановская ,45,Чкаловская,Леонтьевский мыс
IKON Development,developer,https://www.cian.ru/sale/flat/302839459/,Москва и МО,sale,flat,21,21,4,189.7,-1,0,227640000,Басманный,,,Чкаловская,Чкалов ЖК
MHEstate - Элитная недвижимость,real_estate_agent,https://www.cian.ru/sale/flat/307889204/,Москва и МО,sale,flat,11,20,4,139.0,-1,0,127000000,Пресненский,Дружинниковская ,15,Краснопресненская,SkyView
Whitewill,real_estate_agent,https://www.cian.ru/sale/flat/308640033/,Москва и МО,sale,flat,5,5,4,234.0,-1,0,150000000,Покровское-Стрешнево,Береговая ,8К1,Стрешнево,
Эталон,developer,https://ekb.cian.ru/sale/flat/308413905/,Москва и МО,sale,flat,3,16,4,93.5,-1,0,10398160,Чкаловский,,,Ботаническая,Жилой район Солнечный
ЗАПАДНЫЙ САД,real_estate_agent,https://www.cian.ru/sale/flat/309081110/,Москва и МО,sale,flat,10,14,4,98.0,-1,0,58488700,Раменки,проспект Генерала Дорохова,39к2Г,Минская,Собрание клубных домов West Garden
Villagio Realty,official_representative,https://www.cian.ru/sale/flat/308014060/,Москва и МО,sale,flat,9,14,4,88.0,-1,0,64900000,Марьина роща,1-я Ямская ,6,Марьина Роща,Премиум-квартал JAZZ
Рублево-Архангельское,developer,https://www.cian.ru/sale/flat/307250758/,Москва и МО,sale,flat,6,12,4,162.26,-1,0,73114356,,,В19 кв-л,Серебряный Бор,Сберсити ЖК
Whitewill,real_estate_agent,https://www.cian.ru/sale/flat/308074258/,Москва и МО,sale,flat,4,14,4,95.3,-1,0,65000000,Раменки,проспект Генерала Дорохова,39к1Г,Минская,Собрание клубных домов West Garden
ID 116182089,homeowner,https://odintsovo.cian.ru/sale/flat/305980039/,Москва и МО,sale,flat,3,5,4,137.0,-1,0,88000000,,,117,,Level Barvikha Residence
TEN девелопмент,developer,https://ekb.cian.ru/sale/flat/303823705/,Москва и МО,sale,flat,2,21,4,79.9,-1,0,11696000,Орджоникидзевский,,,Машиностроителей,Основинские кварталы ЖК
Whitewill,real_estate_agent,https://www.cian.ru/sale/flat/308709742/,Москва и МО,sale,flat,24,25,4,300.0,-1,0,169990000,Очаково-Матвеевское,Нежинская ,5к2,Матвеевская,Городские резиденции SPIRES
Intermark Real Estate,real_estate_agent,https://www.cian.ru/sale/flat/306167206/,Москва и МО,sale,flat,1,14,4,129.0,-1,0,54000000,Левобережный,,С2,Беломорская,Акватория ЖК
Спутник,developer,https://spb.cian.ru/sale/flat/308101457/,Москва и МО,sale,flat,6,8,4,87.8,-1,0,13714360,"ландшафтный дизайн по индивидуальному проекту.

10. В пешей доступности парки и достопримечательности Гатчины

Путь до КАД занимает 2025 минут","а до ЗСД — 30 минут. Между станцией метро ""Московская"" и Гатчиной регулярно курсируют автобусы и маршрутные такси. Примерно в получасе ходьбы от ЖК ""Орловский бульвар"" есть железнодорожная станция Татьянино. Туда прибывают электрички с Балтийского вокзала Санкт-Петербурга.",,,Орловский бульвар
Intermark Real Estate,real_estate_agent,https://www.cian.ru/sale/flat/308452533/,Москва и МО,sale,flat,4,7,4,151.0,-1,0,226130000,Пресненский,Хлыновский тупик,4,Арбатская,
Delight Realty,real_estate_agent,https://www.cian.ru/sale/flat/309078638/,Москва и МО,sale,flat,4,4,4,255.0,-1,0,170000000,Тверской,Большая Бронная ,27/4,Пушкинская,
Магазин новостроек,representative_developer,https://novorossiysk.cian.ru/sale/flat/306629719/,Москва и МО,sale,flat,2,15,4,99.7,-1,0,25094490,,,,,Барса
Игорь Рупасов,realtor,https://www.cian.ru/sale/flat/306679826/,Москва и МО,sale,flat,3,11,4,162.0,-1,0,155000000,Басманный,Казарменный переулок,3,Курская,Дом на Покровском бульваре
Whitewill,real_estate_agent,https://www.cian.ru/sale/flat/307640044/,Москва и МО,sale,flat,18,21,4,273.0,-1,0,400000000,Пресненский, Костикова,4к1,Улица 1905 года,Lucky
MR Group,developer,https://www.cian.ru/sale/flat/308310100/,Москва и МО,sale,flat,6,30,4,106.6,-1,0,35824848,Покровское-Стрешнево,,,Тушинская,Ситизен ЖК
Century 21 Street Realty,real_estate_agent,https://www.cian.ru/sale/flat/306606812/,Москва и МО,sale,flat,12,22,4,160.0,-1,0,94000000,Пресненский,Шмитовский проезд,16С2,Москва-Сити,Шмитовский 16
Intermark Real Estate,real_estate_agent,https://www.cian.ru/sale/flat/293449159/,Москва и МО,sale,flat,20,36,4,123.0,-1,0,60500000,Беговой,Ленинградский проспект,34А,Динамо,Комплекс апартаментов Alcon Tower
ФСК,developer,https://www.cian.ru/sale/flat/308109590/,Москва и МО,sale,flat,19,47,4,101.6,-1,0,40919400,Обручевский, Академика Волгина,2,Калужская,Архитектор
