author,author_type,url,location,deal_type,accommodation_type,floor,floors_count,rooms_count,total_meters,price_per_month,commissions,price,district,street,house_number,underground,residential_complex
SKYEST,real_estate_agent,https://www.cian.ru/sale/flat/307952478/,Москва,sale,flat,2,15,3,100.0,-1,0,180000000,Хамовники, Усачева,15,Спортивная,Садовые кварталы
Kalinka Group,real_estate_agent,https://www.cian.ru/sale/flat/299654561/,Москва,sale,flat,5,6,3,160.0,-1,0,197000000,Замоскворечье,Садовническая набережная,7,Новокузнецкая,BALCHUG VIEWPOINT
Whitewill,real_estate_agent,https://www.cian.ru/sale/flat/305729511/,Москва,sale,flat,2,6,3,167.8,-1,0,400000000,Хамовники,Курсовой переулок,10/1,Кропоткинская,Nabokov
Ашихмин и партнёры,real_estate_agent,https://www.cian.ru/sale/flat/292986275/,Москва,sale,flat,5,5,3,231.3,-1,0,527187500,Красносельский,Сретенский бульвар,6/1С1,Тургеневская,
Soul Estate,real_estate_agent,https://www.cian.ru/sale/flat/307664741/,Москва,sale,flat,3,6,3,194.0,-1,0,762063362,Пресненский,Гранатный переулок,6,Баррикадная,"Гранатный, 6"
Бест офис на Таганской,real_estate_agent,https://www.cian.ru/sale/flat/308934057/,Москва,sale,flat,5,9,3,54.2,-1,0,11150000,Гольяново,Хабаровская ,19К1,Гольяново,
ДВОКОМ,real_estate_agent,https://www.cian.ru/sale/flat/306786106/,Москва,sale,flat,1,12,3,62.2,-1,0,11850000,Бибирево, Корнейчука,24,Бибирево,
ДВОКОМ,real_estate_agent,https://www.cian.ru/sale/flat/306785687/,Москва,sale,flat,1,9,3,63.6,-1,0,11850000,Бибирево,Белозерская ,9Б,Бибирево,
УЮТ,real_estate_agent,https://www.cian.ru/sale/flat/308355750/,Москва,sale,flat,6,9,3,56.9,-1,0,12000000,Вешняки, Молдагуловой,10К4,Вешняки,
CENTURY 21 Столичная недвижимость,real_estate_agent,https://www.cian.ru/sale/flat/307110706/,Москва,sale,flat,12,15,3,63.4,-1,0,12400000,,,,Прокшино,Прокшино
ОГРК,real_estate_agent,https://www.cian.ru/sale/flat/305856830/,Москва,sale,flat,9,9,3,60.0,-1,0,12400000,Марьино,Подольская ,9,Перерва,
Бест офис на Таганской,real_estate_agent,https://www.cian.ru/sale/flat/309091239/,Москва,sale,flat,2,9,3,58.3,-1,0,12700000,Отрадное,Алтуфьевское шоссе,18Г,Отрадное,
Этажи Москва,real_estate_agent,https://www.cian.ru/sale/flat/308933346/,Москва,sale,flat,3,9,3,56.4,-1,0,13300000,Люблино,Краснодарская ,7к1,Депо,
Homeapp,real_estate_agent,https://www.cian.ru/sale/flat/306653005/,Москва,sale,flat,8,9,3,50.7,-1,0,13500000,Солнцево, 50 лет Октября,23К1,Говорово,
Homeapp,real_estate_agent,https://www.cian.ru/sale/flat/306208309/,Москва,sale,flat,5,5,3,42.2,-1,0,13800000,Кунцево,Молодогвардейская ,19К1,Молодёжная,
Landis,real_estate_agent,https://www.cian.ru/sale/flat/308396228/,Москва,sale,flat,5,9,3,56.5,-1,0,14000000,Ярославский,Палехская ,13,Медведково,
CENTURY 21 Перспектива,real_estate_agent,https://www.cian.ru/sale/flat/308686127/,Москва,sale,flat,8,9,3,58.3,-1,0,14900000,Лосиноостровский,Стартовая ,31,Медведково,
PRO ОБМЕН,real_estate_agent,https://www.cian.ru/sale/flat/306897435/,Москва,sale,flat,4,9,3,60.0,-1,0,15000000,Алтуфьевский,Путевой проезд,38,Бескудниково,
Homeapp,real_estate_agent,https://www.cian.ru/sale/flat/301184664/,Москва,sale,flat,4,9,3,55.6,-1,0,14990000,Коньково,Миклухо-Маклая ,29К1,Беляево,
Эксклюзив Хоум,real_estate_agent,https://www.cian.ru/sale/flat/307151151/,Москва,sale,flat,3,20,3,82.6,-1,0,14990000,Бирюлево Восточное,6-я Радиальная ,7/1к1,Царицыно,Царицыно-2
ЛэндЛ,real_estate_agent,https://www.cian.ru/sale/flat/307579111/,Москва,sale,flat,2,9,3,60.0,-1,0,15000000,Чертаново Центральное,Днепропетровская ,27к1,Южная,
Марина Круглянская,realtor,https://www.cian.ru/sale/flat/309165963/,Москва,sale,flat,2,9,3,60.0,-1,0,15200000,Чертаново Центральное,Чертановская ,43К2,Пражская,
ID 104494075,unknown,https://www.cian.ru/sale/flat/302653113/,Москва,sale,flat,7,9,3,59.0,-1,0,15100000,Марфино, Академика Комарова,5В,Улица Милашенкова,
Парадайс,real_estate_agent,https://www.cian.ru/sale/flat/306652660/,Москва,sale,flat,1,5,3,55.4,-1,0,15500000,Сокольники,Большая Остроумовская ,17,Сокольники,
Московский Квартал,real_estate_agent,https://www.cian.ru/sale/flat/309047378/,Москва,sale,flat,3,5,3,56.5,-1,0,15499999,Богородское,Ивантеевская ,15К1,Бульвар Рокоссовского,
Homeapp,real_estate_agent,https://www.cian.ru/sale/flat/305150212/,Москва,sale,flat,9,9,3,59.8,-1,0,15500000,Можайский, Маршала Неделина,6,Сетунь,
Homeapp,real_estate_agent,https://www.cian.ru/sale/flat/300045504/,Москва,sale,flat,3,9,3,57.9,-1,0,15500000,Теплый Стан,Профсоюзная ,130К2,Коньково,
Сергей Косицын,realtor,https://www.cian.ru/sale/flat/296602763/,Москва,sale,flat,4,12,3,64.7,-1,0,15500000,Зюзино,Сивашская ,2К2,Нахимовский проспект,
