author,author_type,url,location,deal_type,accommodation_type,floor,floors_count,rooms_count,total_meters,price_per_month,commissions,price,district,street,house_number,underground,residential_complex
Этажи Москва,real_estate_agent,https://www.cian.ru/sale/flat/303927158/,Москва и МО,sale,flat,16,22,1,38.6,-1,0,9500000,Солнцево,Волынская ,3,Солнцево,
Kingsman Elite Estate,real_estate_agent,https://saratov.cian.ru/sale/flat/305151673/,Москва и МО,sale,flat,7,19,1,54.0,-1,0,9500000,Волжский,Московская ,43В,,
Setl Estate,developer,https://kaliningrad.cian.ru/sale/flat/298002324/,Москва и МО,sale,flat,1,6,1,44.58,-1,0,10231110,,,,,Lake City
Этажи Москва,real_estate_agent,https://www.cian.ru/sale/flat/306772247/,Москва и МО,sale,flat,3,6,1,35.0,-1,0,10499000,Коптево, Клары Цеткин,18к3,Красный Балтиец,
Этажи Москва,real_estate_agent,https://krasnogorsk.cian.ru/sale/flat/308936611/,Москва и МО,sale,flat,6,10,1,42.0,-1,0,10700000,, Школьная,1,Павшино,
Этажи Москва,real_estate_agent,https://www.cian.ru/sale/flat/308418748/,Москва и МО,sale,flat,18,18,1,41.1,-1,0,10800000,, Александры Монаховой,88к3,Потапово,Бунинские луга
More Development,developer,https://krym.cian.ru/sale/flat/290719706/,Москва и МО,sale,flat,8,8,1,39.66,-1,0,10950000,,,,,More.Yalta
Этажи Севастополь,real_estate_agent,https://sevastopol.cian.ru/sale/flat/292226967/,Москва и МО,sale,flat,6,7,1,60.0,-1,0,11300000,Гагаринский, Адмирала Фадеева,18,,
Форум-групп,developer,https://ekb.cian.ru/sale/flat/303826547/,Москва и МО,sale,flat,2,29,1,42.2,-1,0,11639592,Центр, Сони Морозовой,180,Площадь 1905 года,Форма
ID 119235442,homeowner,https://dolgoprudny.cian.ru/sale/flat/304961831/,Москва и МО,sale,flat,24,26,1,49.0,-1,0,11800000,,Лихачевский проспект,80к1,Долгопрудная,
Century21 Феникс,real_estate_agent,https://www.cian.ru/sale/flat/307396074/,Москва и МО,sale,flat,10,12,1,34.9,-1,0,11900000,Измайлово,Никитинская ,9,Измайловская,
Этажи Москва,real_estate_agent,https://www.cian.ru/sale/flat/309205317/,Москва и МО,sale,flat,12,17,1,39.2,-1,0,12000000,Крылатское,Рублевское шоссе,36К1,Крылатское,
Аркадия Иванова,developer,https://tomsk.cian.ru/sale/flat/286436726/,Москва и МО,sale,flat,1,10,1,83.52,-1,0,12324462,Кировский, Аркадия Иванова,21,,"по ул. Аркадия Иванова, 21"
Владимир Абрамян,realtor,https://kaliningrad.cian.ru/sale/flat/308526777/,Москва и МО,sale,flat,1,4,1,43.6,-1,0,12644000,Светлогорск,Зеленая ,1А,,Легенда Светлогорска
Этажи Москва,real_estate_agent,https://www.cian.ru/sale/flat/309237118/,Москва и МО,sale,flat,10,14,1,40.7,-1,0,12700000,Очаково-Матвеевское,Большая Очаковская ,42,Озёрная,
Этажи Москва,real_estate_agent,https://www.cian.ru/sale/flat/308854771/,Москва и МО,sale,flat,25,26,1,35.2,-1,0,12800000,Западное Дегунино,Дмитровское шоссе,73Б,Верхние Лихоборы,Тринити
Этажи Москва,real_estate_agent,https://www.cian.ru/sale/flat/309237134/,Москва и МО,sale,flat,9,9,1,31.0,-1,0,13500000,Савеловский, Нижняя Масловка,20,Петровский Парк,
Этажи Москва,real_estate_agent,https://www.cian.ru/sale/flat/309000126/,Москва и МО,sale,flat,7,9,1,34.0,-1,0,13650000,Черемушки, Цюрупы,24К2,Новые Черёмушки,
Этажи Москва,real_estate_agent,https://www.cian.ru/sale/flat/308561151/,Москва и МО,sale,flat,3,16,1,34.5,-1,0,14000000,Беговой, 5-я Ямского Поля,27,Савёловская,
ZIP Realty,real_estate_agent,https://www.cian.ru/sale/flat/307496200/,Москва и МО,sale,flat,1,10,1,31.0,-1,0,14500000,Раменки,Мичуринский проспект,10К1,Ломоносовский проспект,
Этажи Москва,real_estate_agent,https://www.cian.ru/sale/flat/307866179/,Москва и МО,sale,flat,14,17,1,37.9,-1,0,14900000,Кунцево,Ярцевская ,28,Молодёжная,
Homeapp,real_estate_agent,https://www.cian.ru/sale/flat/308205894/,Москва и МО,sale,flat,2,23,1,55.0,-1,0,15500000,Перово,шоссе Энтузиастов,86Ак1,Новогиреево,PerovSky
Этажи Москва,real_estate_agent,https://www.cian.ru/sale/flat/307949196/,Москва и МО,sale,flat,15,22,1,30.0,-1,0,16000000,Аэропорт,Часовая ,19к3,Сокол,
Isaev Estate,real_estate_agent,https://www.cian.ru/sale/flat/308188157/,Москва и МО,sale,flat,10,30,1,42.0,-1,0,16600000,Богородское,бульвар Маршала Рокоссовского,6к1,Бульвар Рокоссовского,
Этажи Москва,real_estate_agent,https://www.cian.ru/sale/flat/306511954/,Москва и МО,sale,flat,6,12,1,52.0,-1,0,18500000,, Бачуринская,17,Ольховая,
Таврида Девелопмент,developer,https://krym.cian.ru/sale/flat/299892543/,Москва и МО,sale,flat,2,9,1,45.15,-1,0,20809635,Массандра пгт, Мухина,17А,,Клубный дом Массандра Парк
Эльмира Эмирова,realtor,https://www.cian.ru/sale/flat/305869716/,Москва и МО,sale,flat,14,29,1,42.3,-1,0,21000000,Фили-Давыдково, Ивана Франко,6,Кунцевская,MainStreet
SPENСER ESTATE,real_estate_agent,https://www.cian.ru/sale/flat/301952287/,Москва и МО,sale,flat,6,24,1,63.0,-1,0,21800000,Крылатское,Рублевское шоссе,70к7,Крылатское,Крылатский
