author,author_type,url,location,deal_type,accommodation_type,floor,floors_count,rooms_count,total_meters,price_per_month,commissions,price,district,street,house_number,underground,residential_complex
BARNES International Realty,real_estate_agent,https://www.cian.ru/sale/flat/302218758/,Москва,sale,flat,3,6,3,138.0,-1,0,129000000,Тверской,1-й Колобовский переулок,14,Трубная,
MHEstate - Элитная недвижимость,real_estate_agent,https://www.cian.ru/sale/flat/308424075/,Москва,sale,flat,5,6,3,130.0,-1,0,68000000,Крылатское,Крылатская ,45К2,Крылатское,Долина грез
Аеон-Девелопмент,developer,https://www.cian.ru/sale/flat/301173869/,Москва,sale,flat,4,46,3,90.2,-1,0,64106527,Дорогомилово,Кутузовский проезд,16А/1,Фили,River Park Кутузовский
Kalinka Group,real_estate_agent,https://www.cian.ru/sale/flat/307215537/,Москва,sale,flat,3,14,3,138.9,-1,0,236130000,Хамовники,переулок 1-й Тружеников,16,Киевская,Brodsky
Whitewill,real_estate_agent,https://www.cian.ru/sale/flat/299243580/,Москва,sale,flat,15,19,3,107.0,-1,0,98900000,Раменки,Ломоносовский проспект,25к5,Университет,Dominion
Основа,developer,https://www.cian.ru/sale/flat/304382421/,Москва,sale,flat,2,28,3,52.1,-1,0,20683700,Хорошево-Мневники,,,Полежаевская,Эмоушен ЖК
Whitewill,real_estate_agent,https://www.cian.ru/sale/flat/305320579/,Москва,sale,flat,27,53,3,124.0,-1,0,118000000,Раменки,Мосфильмовская ,8,Ломоносовский проспект,Дом на Мосфильмовской
ALFA real estate,real_estate_agent,https://www.cian.ru/sale/flat/305340828/,Москва,sale,flat,3,6,3,84.6,-1,0,59900000,Пресненский,Трехпрудный переулок,11/13С1,Маяковская,
Tekta Group,developer,https://www.cian.ru/sale/flat/303506224/,Москва,sale,flat,9,34,3,57.1,-1,0,23599430,Нагорный,,2,Нагорная,Твелв ЖК
NIKA ESTATE,real_estate_agent,https://www.cian.ru/sale/flat/309118638/,Москва,sale,flat,14,15,3,133.91,-1,0,227647000,Хамовники, Усачева,15,Спортивная,Садовые кварталы
Villagio Realty,real_estate_agent,https://www.cian.ru/sale/flat/307894766/,Москва,sale,flat,6,7,3,82.0,-1,0,32000000,Даниловский,2-й Автозаводский проезд,5,Автозаводская,
LEGENDA Intelligent Development,developer,https://www.cian.ru/sale/flat/301551510/,Москва,sale,flat,4,34,3,92.5,-1,0,35954750,Левобережный,Ленинградское шоссе,,Беломорская,Северный порт. Береговые кварталы
Kalinka Group,real_estate_agent,https://www.cian.ru/sale/flat/307914842/,Москва,sale,flat,5,7,3,74.9,-1,0,41500000,Басманный, Земляной Вал,34С4,Курская,
ZIP Realty,real_estate_agent,https://www.cian.ru/sale/flat/308397152/,Москва,sale,flat,4,9,3,60.0,-1,0,17500000,Теплый Стан, Академика Виноградова,6,Генерала Тюленева,
КРОСТ,developer,https://www.cian.ru/sale/flat/296745463/,Москва,sale,flat,22,28,3,78.2,-1,0,31905600,Хорошево-Мневники, Генерала Глаголева,,Народное Ополчение,CRYSTAL Трилогия
SKYEST,real_estate_agent,https://www.cian.ru/sale/flat/302887883/,Москва,sale,flat,9,14,3,102.0,-1,0,133500000,Хамовники, Усачева,15А,Спортивная,Садовые кварталы
Этажи Москва,real_estate_agent,https://www.cian.ru/sale/flat/307408334/,Москва,sale,flat,9,9,3,92.0,-1,0,35000000,Сокол,Ленинградский проспект,75к1,Сокол,
Мангазея,developer,https://www.cian.ru/sale/flat/308902368/,Москва,sale,flat,6,21,3,102.8,-1,0,49047216,Щукино,Щукинская ,3,Щукинская,Интонация
Ramenky Realty,real_estate_agent,https://www.cian.ru/sale/flat/308786193/,Москва,sale,flat,6,15,3,140.0,-1,0,300000000,Хамовники, Усачева,15,Спортивная,Садовые кварталы
НДВ,real_estate_agent,https://www.cian.ru/sale/flat/302968133/,Москва,sale,flat,17,22,3,83.0,-1,0,29000000,Марьина роща,Шереметьевская ,37К1,Бутырская,
Ташир,developer,https://www.cian.ru/sale/flat/272333560/,Москва,sale,flat,11,21,3,74.5,-1,0,,Очаково-Матвеевское,Аминьевское шоссе,6,Давыдково,West Tower (Апартаменты бизнес-класса)
BRIGHT ESTATE - городская недвижимость,real_estate_agent,https://www.cian.ru/sale/flat/307677350/,Москва,sale,flat,5,12,3,136.9,-1,0,250000000,Хамовники, Усачева,13,Спортивная,Садовые кварталы
Monumental Group,real_estate_agent,https://www.cian.ru/sale/flat/307602202/,Москва,sale,flat,9,10,3,171.1,-1,0,196765000,Якиманка, Малая Полянка,2,Полянка,Онегин
РКС Девелопмент,developer,https://www.cian.ru/sale/flat/308866005/,Москва,sale,flat,6,15,3,69.74,-1,0,29060658,Даниловский,Автозаводская ,24К1,Тульская,Дом на набережной INSIDER
Kalinka Group,real_estate_agent,https://www.cian.ru/sale/flat/307313081/,Москва,sale,flat,3,14,3,166.3,-1,0,290000000,Хамовники,переулок 1-й Тружеников,16,Киевская,Brodsky
Whitewill,real_estate_agent,https://www.cian.ru/sale/flat/307213330/,Москва,sale,flat,10,26,3,74.5,-1,0,72000000,Очаково-Матвеевское,Нежинская ,5к2,Матвеевская,Городские резиденции SPIRES
Донстрой,developer,https://www.cian.ru/sale/flat/308968759/,Москва,sale,flat,3,11,3,125.9,-1,0,208163060,Хамовники,531-й кв-л,,Спортивная,Дом 22 ЖК
BRIGHT ESTATE - городская недвижимость,real_estate_agent,https://www.cian.ru/sale/flat/307933190/,Москва,sale,flat,6,11,3,113.0,-1,0,158000000,Хамовники, Усачева,15А,Спортивная,Садовые кварталы
