author,author_type,url,location,deal_type,accommodation_type,floor,floors_count,rooms_count,total_meters,price_per_month,commissions,price,district,street,house_number,underground,residential_complex
Магазин новостроек,representative_developer,https://novorossiysk.cian.ru/sale/flat/306630515/,Москва и МО,sale,flat,2,15,3,67.7,-1,0,12271167,,,,,Барса
NIKA ESTATE,real_estate_agent,https://www.cian.ru/sale/flat/309118638/,Москва и МО,sale,flat,14,15,3,133.91,-1,0,227647000,Хамовники, Усачева,15,Спортивная,Садовые кварталы
Гранит Инвест,real_estate_agent,https://spb.cian.ru/sale/flat/302410632/,Москва и МО,sale,flat,5,13,3,119.7,-1,0,46084500,Петроградский,Барочная ,12,Чкаловская,
ЭНКО,developer,https://tyumen.cian.ru/sale/flat/297298610/,Москва и МО,sale,flat,3,17,3,80.82,-1,0,8350000,д. Патрушева, Петра Ершова,12,,ЖР 
Whitewill,real_estate_agent,https://www.cian.ru/sale/flat/305320579/,Москва и МО,sale,flat,27,53,3,124.0,-1,0,118000000,Раменки,Мосфильмовская ,8,Ломоносовский проспект,Дом на Мосфильмовской
MHEstate - Элитная недвижимость,real_estate_agent,https://www.cian.ru/sale/flat/301916112/,Москва и МО,sale,flat,4,5,3,115.0,-1,0,98000000,Хамовники,Кропоткинский переулок,4С1,Парк Культуры,
Неометрия,developer,https://krasnodar.cian.ru/sale/flat/295359078/,Москва и МО,sale,flat,2,22,3,70.0,-1,0,8962400,Прикубанский, Конгрессная,43,,Отражение
SKYEST,real_estate_agent,https://www.cian.ru/sale/flat/302887883/,Москва и МО,sale,flat,9,14,3,102.0,-1,0,133500000,Хамовники, Усачева,15А,Спортивная,Садовые кварталы
Sminex,developer,https://www.cian.ru/sale/flat/308011952/,Москва и МО,sale,flat,1,6,3,418.5,-1,0,1226820000,Хамовники,3-й Обыденский переулок,1С1,Кропоткинская,Клубный дом Обыденский № 1
TEN девелопмент,developer,https://ekb.cian.ru/sale/flat/298038356/,Москва и МО,sale,flat,6,16,3,113.4,-1,0,45424000,Центр, Февральской Революции,21,Динамо,19/05
Ramenky Realty,real_estate_agent,https://www.cian.ru/sale/flat/308786193/,Москва и МО,sale,flat,6,15,3,140.0,-1,0,300000000,Хамовники, Усачева,15,Спортивная,Садовые кварталы
СОВКОМБАНК,official_representative,https://odintsovo.cian.ru/sale/flat/305334817/,Москва и МО,sale,flat,1,5,3,89.2,-1,0,12950000,с. Ромашково, Железнодорожная,38,,
Петербургская Недвижимость,representative_developer,https://spb.cian.ru/sale/flat/308049383/,Москва и МО,sale,flat,3,12,3,90.25,-1,0,19400591,Приморский,Коломяги,,Проспект Просвещения,Бионика Заповедная
SKYEST,real_estate_agent,https://www.cian.ru/sale/flat/307939484/,Москва и МО,sale,flat,3,13,3,106.0,-1,0,146690000,Хамовники, Усачева,15А,Спортивная,Садовые кварталы
Whitewill,real_estate_agent,https://www.cian.ru/sale/flat/306638926/,Москва и МО,sale,flat,10,36,3,77.7,-1,0,28500000,Левобережный,Фестивальная ,15к24/3,Речной вокзал,Фестиваль парк-2
Группа Аквилон,developer,https://spb.cian.ru/sale/flat/302024883/,Москва и МО,sale,flat,12,13,3,73.99,-1,0,18521612,Василеостровский,Гавань,,Горный институт,Аквилон Залив ЖК
BRIGHT ESTATE - городская недвижимость,real_estate_agent,https://www.cian.ru/sale/flat/307677350/,Москва и МО,sale,flat,5,12,3,136.9,-1,0,280000000,Хамовники, Усачева,13,Спортивная,Садовые кварталы
Винидиктов и Партнеры,real_estate_agent,https://www.cian.ru/sale/flat/308365335/,Москва и МО,sale,flat,10,10,3,74.6,-1,0,48000000,Останкинский,проспект Мира,83,Алексеевская,Мирный
Петербургская Недвижимость,representative_developer,https://spb.cian.ru/sale/flat/307429177/,Москва и МО,sale,flat,8,12,3,83.5,-1,0,20450026,Приморский,Коломяги,,Озерки,Прайм Приморский ЖК
Винидиктов и Партнеры,real_estate_agent,https://www.cian.ru/sale/flat/306074201/,Москва и МО,sale,flat,40,47,3,89.0,-1,0,58800000,Бутырский,Новодмитровская ,2к7,Дмитровская,Савеловский Сити
NF Group - ex-Knight Frank,real_estate_agent,https://www.cian.ru/sale/flat/307861416/,Москва и МО,sale,flat,4,5,3,157.0,-1,0,78000000,Пресненский,Столярный переулок,3к34,Улица 1905 года,Рассвет Loft-Studio
TEN девелопмент,developer,https://ekb.cian.ru/sale/flat/299892705/,Москва и МО,sale,flat,20,31,3,72.8,-1,0,8751600,Верх-Исетский,,,Площадь 1905 года,Русь-2 ЖК
Kalinka Group,real_estate_agent,https://www.cian.ru/sale/flat/307313081/,Москва и МО,sale,flat,3,14,3,166.3,-1,0,290000000,Хамовники,переулок 1-й Тружеников,16,Киевская,Brodsky
Whitewill,real_estate_agent,https://www.cian.ru/sale/flat/305256098/,Москва и МО,sale,flat,36,37,3,66.0,-1,0,43900000,Хорошево-Мневники,Шелепихинская набережная,34к5,Шелепиха,Сердце Столицы
Sminex,developer,https://www.cian.ru/sale/flat/306342049/,Москва и МО,sale,flat,2,10,3,147.5,-1,0,372260000,Хамовники,Фрунзенская набережная,30,Фрунзенская,Клубный город-парк 
BRIGHT ESTATE - городская недвижимость,real_estate_agent,https://www.cian.ru/sale/flat/307933190/,Москва и МО,sale,flat,6,11,3,113.0,-1,0,158000000,Хамовники, Усачева,15А,Спортивная,Садовые кварталы
ZIP Realty,real_estate_agent,https://www.cian.ru/sale/flat/308825551/,Москва и МО,sale,flat,2,12,3,106.2,-1,0,53000000,Хорошевский,Ходынский бульвар,19,ЦСКА,Гранд-парк
Первостроитель,developer,https://ekb.cian.ru/sale/flat/283207567/,Москва и МО,sale,flat,13,15,3,69.1,-1,0,11579000,Кировский, Комсомольская,67,Площадь 1905 года,Жилой квартал Комсомольская 67
