author,author_type,url,location,deal_type,accommodation_type,floor,floors_count,rooms_count,total_meters,price_per_month,commissions,price,district,street,house_number,underground,residential_complex
Аркада Крым,developer,https://krym.cian.ru/sale/flat/303910651/,Москва и МО,sale,flat,10,12,2,45.0,-1,0,6850000,,,,,Солнечный Парк
Стрижи,developer,https://novosibirsk.cian.ru/sale/flat/303023233/,Москва и МО,sale,flat,8,18,2,37.2,-1,0,6950000,Заельцовский, Аэропорт,49/2,Заельцовская,Нормандия-Неман
ID 99066872,homeowner,https://novosibirsk.cian.ru/sale/flat/309136101/,Москва и МО,sale,flat,8,9,2,44.0,-1,0,6950000,Октябрьский, Федосеева,14,Золотая Нива,Дом на Федосеева
Недвижимость 24,real_estate_agent,https://penza.cian.ru/sale/flat/308153069/,Москва и МО,sale,flat,12,18,2,59.0,-1,0,7000000,Октябрьский,проезд 3-й Рахманинова,2,,Дуэт
Недвижимость 24,real_estate_agent,https://penza.cian.ru/sale/flat/303322910/,Москва и МО,sale,flat,11,17,2,86.72,-1,0,7000000,Ленинский, 8 Марта,31к1,,8 марта
Этажи Ярославль,real_estate_agent,https://yaroslavl.cian.ru/sale/flat/286555031/,Москва и МО,sale,flat,1,5,2,74.9,-1,0,7100000,Заволжский, Сахарова,5,,
Ресурс,developer,https://izhevsk.cian.ru/sale/flat/291593352/,Москва и МО,sale,flat,5,16,2,46.9,-1,0,7227838,Октябрьский,7-й мкр,,,ЛайтХаус ЖК
Калининградский Строительный Концерн,developer,https://kaliningrad.cian.ru/sale/flat/243425078/,Москва и МО,sale,flat,6,8,2,64.1,-1,0,7243300,Ленинградский, 3-я Большая Окружная,243,,Три кита
РАЗВИТИЕ,developer,https://voronezh.cian.ru/sale/flat/303025929/,Москва и МО,sale,flat,15,20,2,68.43,-1,0,7150935,Левобережный,Ростовская ,73Д,,Авиатор 2
ID 88798171,homeowner,https://yaroslavl.cian.ru/sale/flat/308291691/,Москва и МО,sale,flat,2,3,2,48.0,-1,0,7200000,Переславль-Залесский, Пушкина,17А,,
Владоград,developer,https://krym.cian.ru/sale/flat/303830577/,Москва и МО,sale,flat,3,14,2,59.0,-1,0,7392700,,,,,Прогресс
Владоград,developer,https://krym.cian.ru/sale/flat/303079063/,Москва и МО,sale,flat,1,12,2,55.7,-1,0,7352400,,,,,Прогресс
Магазин новостроек,representative_developer,https://maykop.cian.ru/sale/flat/302331999/,Москва и МО,sale,flat,9,9,2,47.74,-1,0,7480000,Яблоновский пгт,Луговая ,7А,,Портрет
ПИК,developer,https://ekb.cian.ru/sale/flat/284670022/,Москва и МО,sale,flat,1,16,2,50.1,-1,0,7596262,Железнодорожный,,4.2,Уральская,Космонавтов 11 ЖК
Новостройки Воронеж,real_estate_agent,https://voronezh.cian.ru/sale/flat/305918446/,Москва и МО,sale,flat,17,17,2,71.6,-1,0,7620000,Коминтерновский,Московский проспект,13/2,,Славный
NONAMEGROUP,developer,https://izhevsk.cian.ru/sale/flat/300294872/,Москва и МО,sale,flat,2,17,2,53.2,-1,0,7646510,Первомайский, Карла Либкнехта,46,,Монблан Дом большого города
Reliz Студия недвижимости,real_estate_agent,https://naro-fominsk.cian.ru/sale/flat/304868974/,Москва и МО,sale,flat,4,9,2,49.1,-1,0,7700000,Южный мкр, Мира,5,,
Владоград,developer,https://krym.cian.ru/sale/flat/301015978/,Москва и МО,sale,flat,2,14,2,62.6,-1,0,7699800,,,,,Прогресс
CENTURY21,real_estate_agent,https://irkutsk.cian.ru/sale/flat/302298707/,Москва и МО,sale,flat,5,5,2,81.9,-1,0,7800000,мкр. Предместье Глазково, Миронова,3,,
Отдел продаж,real_estate_agent,https://yaroslavl.cian.ru/sale/flat/309091601/,Москва и МО,sale,flat,2,24,2,70.0,-1,0,7800000,Красноперекопский,Силикатное шоссе,17А,,Ярославль Сити
Арена Спорта,developer,https://ivanovo.cian.ru/sale/flat/298212411/,Москва и МО,sale,flat,2,14,2,60.23,-1,0,7899165,Октябрьский,проспект Ленина,55В,,Левитан
Этажи Москва,real_estate_agent,https://odintsovo.cian.ru/sale/flat/308561162/,Москва и МО,sale,flat,7,9,2,44.0,-1,0,7900000,,Любы Новоселовой бульвар,2к2,Одинцово,
45-й Квартал,developer,https://ekb.cian.ru/sale/flat/297076775/,Москва и МО,sale,flat,2,3,2,53.43,-1,0,7907640,Ленинский,,,Чкаловская,Твоя Привилегия ЖК
Setl Estate,developer,https://kaliningrad.cian.ru/sale/flat/298002397/,Москва и МО,sale,flat,3,9,2,51.76,-1,0,8012448,Ленинградский,,,,Консул ЖК
Этажи Москва,real_estate_agent,https://www.cian.ru/sale/flat/303905377/,Москва и МО,sale,flat,4,4,2,52.7,-1,0,8100000,, Жемчужная,1к16,Филатов Луг,
Этажи Москва,real_estate_agent,https://odintsovo.cian.ru/sale/flat/306015412/,Москва и МО,sale,flat,9,9,2,50.9,-1,0,8100000,,Любы Новоселовой бульвар,2А,Одинцово,
Этажи Москва,real_estate_agent,https://lyubertsy.cian.ru/sale/flat/308999450/,Москва и МО,sale,flat,4,23,2,51.27,-1,0,8200000,,Красноармейская ,19,Люберцы,
Самолет Плюс Липецк,real_estate_agent,https://lipetsk.cian.ru/sale/flat/306259244/,Москва и МО,sale,flat,3,15,2,80.7,-1,0,8150000,мкр. 26-й, Бунина,15,,
