author,author_type,url,location,deal_type,accommodation_type,floor,floors_count,rooms_count,total_meters,price_per_month,commissions,price,district,street,house_number,underground,residential_complex
ГОРОБМЕН,real_estate_agent,https://www.cian.ru/sale/flat/309061281/,Москва,sale,flat,4,5,2,44.0,-1,0,11700000,Хорошево-Мневники,проспект Маршала Жукова,40,Бульвар Генерала Карбышева,
Новые Ватутинки,real_estate_agent,https://www.cian.ru/sale/flat/308892257/,Москва,sale,flat,17,17,2,53.8,-1,0,11700000,, 3-я Нововатутинская,13к1,Новомосковская,"Новые Ватутинки, мкр. Центральный"
УЮТ,real_estate_agent,https://www.cian.ru/sale/flat/308890678/,Москва,sale,flat,5,9,2,47.0,-1,0,12000000,Царицыно,Кантемировская ,5К3,Кантемировская,
Комета Эстейт,real_estate_agent,https://www.cian.ru/sale/flat/307941667/,Москва,sale,flat,9,9,2,55.0,-1,0,12000000,Косино-Ухтомский, Рудневка,22,Лухмановская,
Доступная Недвижимость. 8 отдел,real_estate_agent,https://www.cian.ru/sale/flat/308628670/,Москва,sale,flat,4,12,2,53.7,-1,0,12200000,Косино-Ухтомский,Святоозерская ,13,Лухмановская,
Бест офис на Таганской,real_estate_agent,https://www.cian.ru/sale/flat/309095955/,Москва,sale,flat,5,16,2,51.7,-1,0,12250000,Лианозово,Череповецкая ,8,Лианозово,
Новые Ватутинки,real_estate_agent,https://www.cian.ru/sale/flat/305955783/,Москва,sale,flat,15,15,2,58.1,-1,0,12300000,,,,,"Новые Ватутинки, мкр. Заречный"
Иван Усачев,realtor,https://www.cian.ru/sale/flat/305955498/,Москва,sale,flat,12,17,2,52.0,-1,0,12499000,Северное Измайлово,15-я Парковая ,45,Щёлковская,
Светлана Ложкина,realtor,https://www.cian.ru/sale/flat/308855448/,Москва,sale,flat,11,14,2,52.3,-1,0,12450000,Северное Бутово,Старобитцевская ,15К1,Бульвар Дмитрия Донского,
Макспол Парк Культуры,real_estate_agent,https://www.cian.ru/sale/flat/308016343/,Москва,sale,flat,7,12,2,38.1,-1,0,12600000,Северное Измайлово,Щелковское шоссе,78,Щёлковская,
Космополис,real_estate_agent,https://www.cian.ru/sale/flat/308891243/,Москва,sale,flat,3,14,2,56.0,-1,0,12800000,Южное Бутово,Изюмская ,37к2,Улица Скобелевская,
Этажи Москва,real_estate_agent,https://www.cian.ru/sale/flat/305764033/,Москва,sale,flat,25,25,2,45.0,-1,0,12950000,Крюково,проспект Георгиевский,27к2,Зеленоград — Крюково,Зелёный парк
Макспол Парк Культуры,real_estate_agent,https://www.cian.ru/sale/flat/305336739/,Москва,sale,flat,2,9,2,37.0,-1,0,12990000,Царицыно, Бехтерева,11К2,Кантемировская,
Бест офис на Таганской,real_estate_agent,https://www.cian.ru/sale/flat/309049159/,Москва,sale,flat,9,9,2,42.0,-1,0,12999000,Рязанский, Коновалова,7,Чухлинка,
Homeapp,real_estate_agent,https://www.cian.ru/sale/flat/308226625/,Москва,sale,flat,5,5,2,43.0,-1,0,12900000,Бабушкинский, Менжинского,26К2,Бабушкинская,
Этажи Москва,real_estate_agent,https://www.cian.ru/sale/flat/303458234/,Москва,sale,flat,17,20,2,32.7,-1,0,13100000,Солнцево,Производственная ,17,Солнцево,Лучи
Этажи Москва,real_estate_agent,https://www.cian.ru/sale/flat/308307632/,Москва,sale,flat,3,12,2,52.0,-1,0,13000000,Южное Медведково,Ясный проезд,1,Свиблово,
Космополис,real_estate_agent,https://www.cian.ru/sale/flat/301037884/,Москва,sale,flat,12,12,2,52.0,-1,0,13000000,Отрадное,Отрадная ,1,Отрадное,
Бест на Речном,real_estate_agent,https://www.cian.ru/sale/flat/307529070/,Москва,sale,flat,5,17,2,50.5,-1,0,13000000,Москворечье-Сабурово,Каширское шоссе,55К5,Москворечье,
do A.S.A.P.,real_estate_agent,https://www.cian.ru/sale/flat/307825438/,Москва,sale,flat,2,9,2,45.0,-1,0,13000000,Люблино,Краснодонская ,36,Люблино,
На Петровке,real_estate_agent,https://www.cian.ru/sale/flat/308632362/,Москва,sale,flat,3,5,2,56.0,-1,0,13000000,Можайский,Гжатская ,8,Давыдково,
Новые Ватутинки,real_estate_agent,https://www.cian.ru/sale/flat/303776065/,Москва,sale,flat,4,16,2,59.8,-1,0,13100000,, Гренадерская,9к3,Новомосковская,
Славянский Двор Остоженка,real_estate_agent,https://www.cian.ru/sale/flat/296469542/,Москва,sale,flat,7,19,2,64.5,-1,0,13000000,, Бачуринская,22к2,Новомосковская,
One Life,real_estate_agent,https://www.cian.ru/sale/flat/300742374/,Москва,sale,flat,2,18,2,59.0,-1,0,13150000,Останкинский,Березовая аллея,19к1,Ботанический сад,Апарт-комплекс Легендарный квартал
Светлана Панчедук,realtor,https://www.cian.ru/sale/flat/307394462/,Москва,sale,flat,2,16,2,39.8,-1,0,13199000,Очаково-Матвеевское,Матвеевская ,4К2,Матвеевская,
Homeapp,real_estate_agent,https://www.cian.ru/sale/flat/309044194/,Москва,sale,flat,1,5,2,44.4,-1,0,13500000,Кузьминки, Шумилова,8,Кузьминки,
ГОРОДА,real_estate_agent,https://www.cian.ru/sale/flat/307454132/,Москва,sale,flat,21,22,2,52.0,-1,0,13500000,, Картмазовские Пруды,2к2,Филатов Луг,
Наталия Шпрингер,realtor,https://www.cian.ru/sale/flat/307856294/,Москва,sale,flat,2,9,2,45.1,-1,0,13400000,Коньково, Генерала Антонова,5К1,Беляево,
