author,author_type,url,location,deal_type,accommodation_type,floor,floors_count,rooms_count,total_meters,price_per_month,commissions,price,district,street,house_number,underground,residential_complex
BRIGHT ESTATE - городская недвижимость,real_estate_agent,https://www.cian.ru/sale/flat/307933191/,Москва и МО,sale,flat,3,14,3,105.2,-1,0,146700000,Хамовники, Усачева,15А,Спортивная,Садовые кварталы
Наталья Тырина,realtor,https://www.cian.ru/sale/flat/309042515/,Москва и МО,sale,flat,8,11,3,129.0,-1,0,47500000,Щукино, Маршала Рыбалко,2к3,Панфиловская,Маршал
Первостроитель,developer,https://ekb.cian.ru/sale/flat/283207567/,Москва и МО,sale,flat,13,15,3,69.1,-1,0,11579000,Кировский, Комсомольская,67,Площадь 1905 года,Жилой квартал Комсомольская 67
BARNES International Realty,real_estate_agent,https://www.cian.ru/sale/flat/297761650/,Москва и МО,sale,flat,2,13,3,120.0,-1,0,160000000,Пресненский,2-я Черногрязская ,6к2,Улица 1905 года,RedSide
Мир Квартир Элит,real_estate_agent,https://spb.cian.ru/sale/flat/306445657/,Москва и МО,sale,flat,4,6,3,141.0,-1,0,79900000,Центральный,переулок Басков,2,Чернышевская,Русский дом
ЛенРусСтрой,developer,https://spb.cian.ru/sale/flat/300290002/,Москва и МО,sale,flat,10,12,3,88.51,-1,0,13719050,,,,,ЛесART
Point Estate Город,real_estate_agent,https://www.cian.ru/sale/flat/307711502/,Москва и МО,sale,flat,6,7,3,127.8,-1,0,176000000,Пресненский,2-я Черногрязская ,6к1,Улица 1905 года,RedSide
MHEstate - Элитная недвижимость,real_estate_agent,https://www.cian.ru/sale/flat/303538615/,Москва и МО,sale,flat,2,6,3,133.6,-1,0,65000000,Крылатское,Осенняя ,25К2,Крылатское,
AVA,developer,https://krasnodar.cian.ru/sale/flat/302603989/,Москва и МО,sale,flat,2,12,3,84.1,-1,0,11614210,мкр. 9-й километр, Ярославская,115лит5,,Небо
САДОВЫЕ КВАРТАЛЫ,real_estate_agent,https://www.cian.ru/sale/flat/308692941/,Москва и МО,sale,flat,5,12,3,136.9,-1,0,250000000,Хамовники, Усачева,13,Спортивная,Садовые кварталы
