author,author_type,url,location,deal_type,accommodation_type,floor,floors_count,rooms_count,total_meters,price_per_month,commissions,price,district,street,house_number,underground,residential_complex
Homeapp,real_estate_agent,https://www.cian.ru/sale/flat/306320264/,Москва и МО,sale,flat,3,5,4,197.5,-1,0,316000000,Якиманка, Большая Якиманка,15,Полянка,Mon Cher
FS PROPERTY,real_estate_agent,https://www.cian.ru/sale/flat/308341841/,Москва и МО,sale,flat,4,8,4,180.0,-1,0,335000000,Арбат,Большой Афанасьевский переулок,28,Арбатская,
FS PROPERTY,real_estate_agent,https://www.cian.ru/sale/flat/287967334/,Москва и МО,sale,flat,5,8,4,261.0,-1,0,340305000,Пресненский,Малый Козихинский переулок,7,Пушкинская,
PEOPLE,real_estate_agent,https://www.cian.ru/sale/flat/300155192/,Москва и МО,sale,flat,7,7,4,285.35,-1,0,350000000,Пресненский,Средний Тишинский переулок,5,Белорусская,Дом на Тишинке
Мир Квартир Элит,real_estate_agent,https://spb.cian.ru/sale/flat/297418798/,Москва и МО,sale,flat,7,7,4,363.0,-1,0,350000000,Петроградский,Динамовская ,2,Крестовский остров,
Аврора Проперти,real_estate_agent,https://www.cian.ru/sale/flat/308799382/,Москва и МО,sale,flat,79,82,4,295.0,-1,0,370000000,Пресненский,1-й Красногвардейский проезд,21с2,Москва-Сити,МФК ОКО
PEOPLE,real_estate_agent,https://www.cian.ru/sale/flat/307065405/,Москва и МО,sale,flat,2,5,4,147.0,-1,0,400000000,Хамовники,Пречистенская набережная,43,Кропоткинская,Carré Blanc
ID 413522,realtor,https://www.cian.ru/sale/flat/307857238/,Москва и МО,sale,flat,5,7,4,223.3,-1,0,439900000,Хамовники, Ефремова,19к4,Спортивная,Knightsbridge Private Park
RND,real_estate_agent,https://www.cian.ru/sale/flat/308190696/,Москва и МО,sale,flat,6,21,4,230.0,-1,0,460000000,Пресненский,Большой Тишинский переулок,10С1,Баррикадная,"Большой Тишинский переулок, 10с1"
MUST HAVE BURO,real_estate_agent,https://www.cian.ru/sale/flat/280568651/,Москва и МО,sale,flat,4,7,4,200.0,-1,0,470000000,Хамовники, Плющиха,37,,Клубный дом Bunin
Екатерина Абдулмянова,realtor,https://www.cian.ru/sale/flat/307724139/,Москва и МО,sale,flat,1,7,4,187.5,-1,0,490000000,Хамовники, Льва Толстого,23к1,Парк Культуры,Литератор
Славянский Двор Остоженка,real_estate_agent,https://www.cian.ru/sale/flat/299925208/,Москва и МО,sale,flat,4,7,4,252.3,-1,0,486000000,Хамовники,Большой Левшинский переулок,11,Смоленская,Дворянское гнездо
PEOPLE,real_estate_agent,https://www.cian.ru/sale/flat/300250559/,Москва и МО,sale,flat,3,5,4,300.0,-1,0,495000000,Хамовники,Нащокинский переулок,7,Кропоткинская,Академия
Центрис,real_estate_agent,https://www.cian.ru/sale/flat/304330269/,Москва и МО,sale,flat,11,11,4,303.0,-1,0,525560939,Хамовники,Трубецкая ,12,Фрунзенская,Садовые кварталы
Vesco Realty,real_estate_agent,https://www.cian.ru/sale/flat/288723231/,Москва и МО,sale,flat,8,9,4,247.3,-1,0,671550089,Тверской,1-я Тверская-Ямская ,2,Маяковская,Vesper Tverskaya
NF Group - ex-Knight Frank,real_estate_agent,https://www.cian.ru/sale/flat/296106329/,Москва и МО,sale,flat,7,7,4,273.8,-1,0,765000000,Хамовники,Большой Левшинский переулок,11,Смоленская,Дворянское гнездо
Славянский Двор Остоженка,real_estate_agent,https://www.cian.ru/sale/flat/299925024/,Москва и МО,sale,flat,7,7,4,273.8,-1,0,765000000,Хамовники,Большой Левшинский переулок,11,Смоленская,Дворянское гнездо
FS PROPERTY,real_estate_agent,https://www.cian.ru/sale/flat/305590523/,Москва и МО,sale,flat,2,9,4,220.0,-1,0,850000000,Хамовники, Ефремова,19к1,,Knightsbridge Private Park
ID 123662778,homeowner,https://orenburg.cian.ru/sale/flat/309022242/,Москва и МО,sale,flat,3,4,-1,86.0,-1,0,500000,Ленинский, Франкфурта,7,,
Антон Давыдов,realtor,https://ekb.cian.ru/sale/flat/309142204/,Москва и МО,sale,flat,4,5,4,59.0,-1,0,2090000,Туринск,Социалистическая ,99,,
ЛеАН,real_estate_agent,https://tula.cian.ru/sale/flat/297320994/,Москва и МО,sale,flat,5,5,4,61.0,-1,0,2750000,Донской, Новая,60,,
ID 119171697,homeowner,https://orel.cian.ru/sale/flat/304745486/,Москва и МО,sale,flat,2,5,4,53.4,-1,0,3000000,пос. Стрелецкий,Школьная ,24,,
ID 109745085,homeowner,https://barnaul.cian.ru/sale/flat/308117637/,Москва и МО,sale,flat,5,6,4,77.4,-1,0,3000000,Славгород, Титова,263,,
ID 87695855,homeowner,https://tula.cian.ru/sale/flat/308418261/,Москва и МО,sale,flat,4,5,4,63.1,-1,0,3150000,Новомосковск, Шахтерская,18,,
ID 114928260,homeowner,https://murmansk.cian.ru/sale/flat/308072060/,Москва и МО,sale,flat,5,5,4,77.5,-1,0,3300000,Мончегорск, Кондрикова,24,,
DMD НЕДВИЖИМОСТЬ,real_estate_agent,https://orenburg.cian.ru/sale/flat/307138830/,Москва и МО,sale,flat,4,5,4,60.6,-1,0,3500000,Октябрьский, Станиславского,93А,,
ID 20884748,homeowner,https://orenburg.cian.ru/sale/flat/309063901/,Москва и МО,sale,flat,4,5,4,74.5,-1,0,3500000,Сорочинск, Карла Маркса,215,,
Самолет Плюс Астрахань,real_estate_agent,https://astrahan.cian.ru/sale/flat/306202853/,Москва и МО,sale,flat,1,5,4,58.9,-1,0,3605000,Советский,Челябинская ,22,,
