author,author_type,url,location,deal_type,accommodation_type,floor,floors_count,rooms_count,total_meters,price_per_month,commissions,price,district,street,house_number,underground,residential_complex
MR Group,developer,https://www.cian.ru/sale/flat/308909121/,Москва,sale,flat,6,13,1,85.04,-1,0,130383328,Мещанский,Садовая-Сухаревская ,14,Цветной бульвар,Клубный дом Forum
NF Group - ex-Knight Frank,real_estate_agent,https://www.cian.ru/sale/flat/303071841/,Москва,sale,flat,19,32,1,32.2,-1,0,25000000,Пресненский,Шмитовский проезд,39к2,Шелепиха,Headliner
СОВКОМБАНК,official_representative,https://www.cian.ru/sale/flat/297233032/,Москва,sale,flat,12,12,1,39.0,-1,0,9600000,Гольяново,Уральская ,1,Щёлковская,
PIONEER,developer,https://www.cian.ru/sale/flat/306809960/,Москва,sale,flat,2,22,1,31.4,-1,0,17903652,Марьина роща,Полковая ,1С12,Савёловская,PRIDE
Винидиктов и Партнеры,real_estate_agent,https://www.cian.ru/sale/flat/299019831/,Москва,sale,flat,17,51,1,44.45,-1,0,27000000,Пресненский,Шмитовский проезд,39с4.2,Шелепиха,Headliner
ID 73038306,real_estate_agent,https://www.cian.ru/sale/flat/305792843/,Москва,sale,flat,7,9,1,32.0,-1,0,13950000,Савеловский,Бутырская ,95,Дмитровская,
Sminex,developer,https://www.cian.ru/sale/flat/306155439/,Москва,sale,flat,2,23,1,56.0,-1,0,59120000,Пресненский,,,Улица 1905 года,Лайф Тайм ЖК
Антон Белов,realtor,https://www.cian.ru/sale/flat/297215041/,Москва,sale,flat,13,14,1,39.0,-1,0,17600000,Таганский,переулок Ковров,1,Москва-Товарная,
Этажи Москва,real_estate_agent,https://www.cian.ru/sale/flat/302912593/,Москва,sale,flat,8,9,1,31.2,-1,0,13150000,Красносельский,Верхняя Красносельская ,24,Красносельская,
Dominanta,developer,https://www.cian.ru/sale/flat/304842023/,Москва,sale,flat,5,34,1,38.6,-1,0,23970600,Раменки,проезд 4-й Сетуньский,10Ас2,Парк Победы,hideOUT
Космополис,real_estate_agent,https://www.cian.ru/sale/flat/306709200/,Москва,sale,flat,15,15,1,40.6,-1,0,11890000,,бульвар Веласкеса,3к3,Прокшино,
ID 13544436,realtor,https://www.cian.ru/sale/flat/308257166/,Москва,sale,flat,2,5,1,30.0,-1,0,7400000,, Жемчужная,1к14,Филатов Луг,
MR Group,developer,https://www.cian.ru/sale/flat/307788173/,Москва,sale,flat,20,47,1,35.17,-1,0,19097029,Хорошево-Мневники,,,Полежаевская,Джойс ЖК
Kalinka Group,real_estate_agent,https://www.cian.ru/sale/flat/293718260/,Москва,sale,flat,5,6,1,43.0,-1,0,26900000,Беговой, 3-я Ямского Поля,9,Белорусская,Art Residence
ИПОМАКС,real_estate_agent,https://www.cian.ru/sale/flat/301129398/,Москва,sale,flat,7,16,1,45.0,-1,0,7200000,,,23А,Апрелевка,
Hutton Development,developer,https://www.cian.ru/sale/flat/305627360/,Москва,sale,flat,8,17,1,50.8,-1,0,36423600,Гагаринский,Ленинский проспект,38,Ленинский проспект,Lunar
Whitewill,real_estate_agent,https://www.cian.ru/sale/flat/301042655/,Москва,sale,flat,30,79,1,78.0,-1,0,92880000,Пресненский,1-й Красногвардейский проезд,22с1,Москва-Сити,NEVA TOWERS
ID 88424902,unknown,https://www.cian.ru/sale/flat/307156262/,Москва,sale,flat,2,5,1,40.0,-1,0,9465000,, Жемчужная,1к4,Филатов Луг,
Стадион Спартак,developer,https://www.cian.ru/sale/flat/292442349/,Москва,sale,flat,3,13,1,47.0,-1,0,23876000,Покровское-Стрешнево,Вивальди кв-л,,Спартак,Клубный Город на Реке Примавера ЖК
SUNRISE Estate,real_estate_agent,https://www.cian.ru/sale/flat/306694479/,Москва,sale,flat,30,33,1,40.0,-1,0,21900000,Даниловский,Дубининская ,59к8,Серпуховская,Павелецкая Сити
Парадайс,real_estate_agent,https://www.cian.ru/sale/flat/306546518/,Москва,sale,flat,11,12,1,30.0,-1,0,8000000,, Логинова,5к1,Щербинка,Остафьево
РГ-Девелопмент,developer,https://www.cian.ru/sale/flat/308943255/,Москва,sale,flat,2,9,1,27.4,-1,0,10921092,Головинский,Северный ао,,Коптево,Михалковский ЖК
МГСН-Проспект Мира,real_estate_agent,https://www.cian.ru/sale/flat/308907514/,Москва,sale,flat,10,19,1,60.0,-1,0,27500000,Хорошево-Мневники,проспект Маршала Жукова,76к2,Народное Ополчение,
Этажи Москва,real_estate_agent,https://www.cian.ru/sale/flat/304572948/,Москва,sale,flat,3,14,1,39.0,-1,0,9300000,Ново-Переделкино, Шолохова,2,Новопеределкино,
Концерн КРОСТ,developer,https://www.cian.ru/sale/flat/306694573/,Москва,sale,flat,14,19,1,39.6,-1,0,23760000,Щукино, Ротмистрова,2,Октябрьское поле,Театральный квартал
Intermark Real Estate,real_estate_agent,https://www.cian.ru/sale/flat/305957125/,Москва,sale,flat,2,12,1,51.2,-1,0,31300000,Сокол, Врубеля,4к1,Сокол,Врубеля 4
ФЛИП,real_estate_agent,https://www.cian.ru/sale/flat/309080516/,Москва,sale,flat,7,12,1,35.0,-1,0,8300000,Выхино-Жулебино,Ферганская ,11к1с4,Юго-Восточная,
Донстрой,developer,https://www.cian.ru/sale/flat/308969237/,Москва,sale,flat,2,16,1,54.7,-1,0,43377100,Раменки, Сергея Бондарчука,2,Мичуринский проспект,Река
