author,author_type,url,location,deal_type,accommodation_type,floor,floors_count,rooms_count,total_meters,price_per_month,commissions,price,district,street,house_number,underground,residential_complex
А101,developer,https://www.cian.ru/sale/flat/306744971/,Москва,sale,flat,2,10,1,35.6,-1,0,7617599,,,3.1,Толстопальцево,Родные кварталы ЖК
Самолет,developer,https://www.cian.ru/sale/flat/309188135/,Москва,sale,flat,7,17,1,36.41,-1,0,7624641,,,к2,Филатов Луг,Квартал Марьино ЖК
Самолет,developer,https://www.cian.ru/sale/flat/309194948/,Москва,sale,flat,12,16,1,35.67,-1,0,7605194,,,13,Летово,Эко Бунино ЖК
Самолет,developer,https://www.cian.ru/sale/flat/309188139/,Москва,sale,flat,5,17,1,32.89,-1,0,7609260,,,к2,Филатов Луг,Квартал Марьино ЖК
СОВКОМБАНК,official_representative,https://www.cian.ru/sale/flat/307987228/,Москва,sale,flat,1,9,1,37.7,-1,0,7700000,Гольяново,Щелковское шоссе,19,Черкизовская,
Самолет,developer,https://www.cian.ru/sale/flat/309301725/,Москва,sale,flat,12,12,1,34.64,-1,0,7724131,,,к21,Щербинка,Остафьево ЖК
Самолет,developer,https://www.cian.ru/sale/flat/309185848/,Москва,sale,flat,2,10,1,32.81,-1,0,7698283,,,к18,Щербинка,Остафьево ЖК
Самолет,developer,https://www.cian.ru/sale/flat/309188210/,Москва,sale,flat,1,14,1,40.92,-1,0,7736294,,,10,Рассказовка,Квартал Западный ЖК
Самолет,developer,https://www.cian.ru/sale/flat/309186720/,Москва,sale,flat,1,9,1,38.26,-1,0,7689648,,,к30,Рассказовка,Новое Внуково ЖК
ФСК,developer,https://www.cian.ru/sale/flat/309206857/,Москва,sale,flat,9,15,1,35.19,-1,0,7704010,,,к2,Солнцево,Движение. Говорово ЖК
ПИК,developer,https://www.cian.ru/sale/flat/309213474/,Москва,sale,flat,9,9,1,32.27,-1,0,7667190,,,к4.2,Филатов Луг,Середневский Лес ЖК
Новые Ватутинки,developer,https://www.cian.ru/sale/flat/303067931/,Москва,sale,flat,2,12,1,32.0,-1,0,7706000,,,,Кедровая,"Новые Ватутинки, мкр. Заречный"
ID 116056234,developer,https://www.cian.ru/sale/flat/306728716/,Москва,sale,flat,4,23,1,25.9,-1,0,7724105,Куркино,Куркинское шоссе,15С3,Химки,Куркино 15
А101,developer,https://www.cian.ru/sale/flat/306746038/,Москва,sale,flat,4,19,1,34.5,-1,0,7739523,,,7.1,Улица Горчакова,Бунинские Кварталы ЖК
Самолет,developer,https://www.cian.ru/sale/flat/309185790/,Москва,sale,flat,4,14,1,37.86,-1,0,7732451,,,к20,Щербинка,Остафьево ЖК
Самолет,developer,https://www.cian.ru/sale/flat/309190370/,Москва,sale,flat,3,13,1,32.54,-1,0,7740445,,,к13,Щербинка,Алхимово ЖК
Самолет,developer,https://www.cian.ru/sale/flat/309190408/,Москва,sale,flat,3,15,1,32.68,-1,0,7650304,,,14,Щербинка,Алхимово ЖК
Самолет,developer,https://www.cian.ru/sale/flat/309186630/,Москва,sale,flat,9,9,1,35.29,-1,0,7744496,,,к28,Рассказовка,Новое Внуково ЖК
ПИК,developer,https://www.cian.ru/sale/flat/304888853/,Москва,sale,flat,9,9,1,36.0,-1,0,7694999,,,4.3,Филатов Луг,Середневский Лес ЖК
ПИК,developer,https://www.cian.ru/sale/flat/308079454/,Москва,sale,flat,14,17,1,36.2,-1,0,7749913,Южное Бутово,,,Щербинка,Никольские Луга ЖК
Самолет,developer,https://www.cian.ru/sale/flat/309197662/,Москва,sale,flat,1,9,1,44.48,-1,0,7728000,,,к4,Силикатная,Подольские Кварталы ЖК
Самолет,developer,https://www.cian.ru/sale/flat/309190779/,Москва,sale,flat,10,16,1,22.17,-1,0,7679443,Бирюлево Восточное,,к2,Орехово,Квартал Герцена ЖК
Самолет,developer,https://www.cian.ru/sale/flat/309194810/,Москва,sale,flat,10,22,1,36.28,-1,0,7726475,,,14.2,Летово,Эко Бунино ЖК
Самолет,developer,https://www.cian.ru/sale/flat/309193373/,Москва,sale,flat,1,16,1,34.54,-1,0,7664358,Молжаниновский,,к5,Новоподрезково,Молжаниново ЖК
Самолет,developer,https://www.cian.ru/sale/flat/309193249/,Москва,sale,flat,12,13,1,32.71,-1,0,7676784,Молжаниновский,,к6,Новоподрезково,Молжаниново ЖК
СМАРЕНТ,real_estate_agent,https://www.cian.ru/sale/flat/308809553/,Москва,sale,flat,3,14,1,42.3,-1,0,7800000,Южное Бутово, Маршала Савицкого,22к2,Щербинка,
Plus Development,developer,https://www.cian.ru/sale/flat/309008586/,Москва,sale,flat,2,23,1,41.3,-1,0,7768530,,,,Филатов Луг,Детали ЖК
,,https://www.cian.ru/sale/flat/277241814/,Москва,sale,flat,5,7,1,45.92,-1,0,7806400,,,к6,Рассказовка,Эдельвейс ЖК
