author,author_type,url,location,deal_type,accommodation_type,floor,floors_count,rooms_count,total_meters,price_per_month,commissions,price,district,street,house_number,underground,residential_complex
ZIP Realty,real_estate_agent,https://www.cian.ru/sale/flat/308690483/,Москва,sale,flat,10,14,2,56.7,-1,0,22232323,Фили-Давыдково, Олеко Дундича,31к1,Филёвский парк,
Навигатор,real_estate_agent,https://www.cian.ru/sale/flat/306936093/,Москва,sale,flat,11,14,2,38.8,-1,0,22399999,Якиманка, Большая Полянка,30,Полянка,
Century 21 Харламов,real_estate_agent,https://www.cian.ru/sale/flat/300116421/,Москва,sale,flat,14,26,2,61.1,-1,0,22400000,Чертаново Южное,Варшавское шоссе,170Ек1,Лесопарковая,Зеленая Вертикаль
Макспол Парк Культуры,real_estate_agent,https://www.cian.ru/sale/flat/309165029/,Москва,sale,flat,2,5,2,60.7,-1,0,22500000,Таганский,Сибирский проезд,2/26,Волгоградский проспект,
ЛИДЕР Риэлти,real_estate_agent,https://www.cian.ru/sale/flat/308559058/,Москва,sale,flat,7,48,2,45.0,-1,0,22500000,Котловка,Севастопольский проспект,22А,Крымская,Eniteo
Chase R.E.S.,real_estate_agent,https://www.cian.ru/sale/flat/306956699/,Москва,sale,flat,7,8,2,63.1,-1,0,22490000,Алексеевский,проспект Мира,124К8,ВДНХ,
КРОСТ,developer,https://www.cian.ru/sale/flat/298064019/,Москва,sale,flat,27,28,2,47.5,-1,0,22372500,Хорошево-Мневники, Генерала Глаголева,,Народное Ополчение,CRYSTAL Трилогия
METRAGE,real_estate_agent,https://www.cian.ru/sale/flat/294558930/,Москва,sale,flat,10,31,2,60.0,-1,0,22700000,Очаково-Матвеевское,Озерная ,42,Озёрная,Страна.Озёрная
Homeapp,real_estate_agent,https://www.cian.ru/sale/flat/308014187/,Москва,sale,flat,2,12,2,56.3,-1,0,22599999,Аэропорт, Усиевича,29К2,Сокол,
Монолит Столица,real_estate_agent,https://www.cian.ru/sale/flat/309001885/,Москва,sale,flat,5,25,2,53.0,-1,0,22999000,Хорошево-Мневники, Народного Ополчения,3,Народное Ополчение,Wellton park
СТАТУС,real_estate_agent,https://www.cian.ru/sale/flat/305945831/,Москва,sale,flat,4,23,2,58.6,-1,0,22854000,Левобережный,Смольная ,57К1,Беломорская,Смольная 57
Homeapp,real_estate_agent,https://www.cian.ru/sale/flat/308569131/,Москва,sale,flat,1,22,2,60.9,-1,0,22900000,,Родниковая ,30к1,Саларьево,Румянцево-Парк
Homeapp,real_estate_agent,https://www.cian.ru/sale/flat/303444709/,Москва,sale,flat,3,9,2,44.0,-1,0,22990000,Хамовники, Хамовнический Вал,8,Спортивная,
Самолет Плюс Москва ЦАО,real_estate_agent,https://www.cian.ru/sale/flat/303203203/,Москва,sale,flat,6,28,2,64.0,-1,0,23000000,Щукино,Волоколамское шоссе,24к1,Стрешнево,Волоколамское 24
Ярославна Слинько,realtor,https://www.cian.ru/sale/flat/309173328/,Москва,sale,flat,18,25,2,58.0,-1,0,23000000,Покровское-Стрешнево,Волоколамское шоссе,81/2с3,Трикотажная,Апартаментный комплекс Level Стрешнево
Homeapp,real_estate_agent,https://www.cian.ru/sale/flat/309205520/,Москва,sale,flat,5,22,2,59.4,-1,0,23300000,Тропарево-Никулино,Никулинская ,19,Озёрная,
ID 87167572,realtor,https://www.cian.ru/sale/flat/307318635/,Москва,sale,flat,12,28,2,45.86,-1,0,23293821,Замоскворечье,Дубининская ,17,Павелецкая,
АСВ-недвижимость,real_estate_agent,https://www.cian.ru/sale/flat/303180557/,Москва,sale,flat,29,29,2,59.9,-1,0,23500000,Богородское,Открытое шоссе,14Д,Бульвар Рокоссовского,Талисман на Рокоссовского
Century 21 Premium Property,real_estate_agent,https://www.cian.ru/sale/flat/305285784/,Москва,sale,flat,23,42,2,45.6,-1,0,23800000,Филевский парк,Багратионовский проезд,5Ак1,Фили,Filicity
