author,author_type,url,location,deal_type,accommodation_type,floor,floors_count,rooms_count,total_meters,price_per_month,commissions,price,district,street,house_number,underground,residential_complex
Verges of estate,real_estate_agent,https://www.cian.ru/sale/flat/306508312/,Москва,sale,flat,29,35,2,63.0,-1,0,38000000,Тропарево-Никулино,проспект Вернадского,94к3,Тропарёво,Миракс Парк
EstateLiga,real_estate_agent,https://www.cian.ru/sale/flat/308423898/,Москва,sale,flat,9,13,2,74.0,-1,0,37900000,Раменки,Винницкая ,8к1,Раменки,Настоящее
MHEstate - Элитная недвижимость,real_estate_agent,https://www.cian.ru/sale/flat/303439862/,Москва,sale,flat,3,10,2,90.0,-1,0,37900000,Басманный,Нижняя Красносельская ,35С48,Бауманская,TriBeCa APARTMENTS
Славянка - офис Северо-Запад,real_estate_agent,https://www.cian.ru/sale/flat/302028306/,Москва,sale,flat,21,26,2,87.0,-1,0,38000000,Хорошевский,проезд Березовой Рощи,12,ЦСКА,Гранд-парк
Sezar Group,developer,https://www.cian.ru/sale/flat/303106392/,Москва,sale,flat,27,51,2,63.28,-1,0,38600800,Хорошевский,2-й Хорошевский проезд,7С15,Хорошёвская,SEZAR CITY
Century 21 Premium Property,real_estate_agent,https://www.cian.ru/sale/flat/300922733/,Москва,sale,flat,6,6,2,115.8,-1,0,39000000,Войковский,Старопетровский проезд,1с1,Войковская,
Homeapp,real_estate_agent,https://www.cian.ru/sale/flat/304696164/,Москва,sale,flat,39,41,2,56.9,-1,0,38900000,Хорошевский,Ленинградский проспект,37/6,Аэропорт,Прайм Парк
Homeapp,real_estate_agent,https://www.cian.ru/sale/flat/308990722/,Москва,sale,flat,6,27,2,74.0,-1,0,39300000,Лефортово,проезд Невельского,6к3,Авиамоторная,Символ
GENESIS Asset Management,real_estate_agent,https://www.cian.ru/sale/flat/299598756/,Москва,sale,flat,7,14,2,70.0,-1,0,39750000,Раменки,проспект Генерала Дорохова,39к1,Минская,
PEOPLE,real_estate_agent,https://www.cian.ru/sale/flat/303476285/,Москва,sale,flat,9,24,2,68.1,-1,0,39500000,Хорошево-Мневники,Шелепихинская набережная,34к4,Шелепиха,Сердце Столицы
Monumental Group,real_estate_agent,https://www.cian.ru/sale/flat/308892411/,Москва,sale,flat,5,7,2,62.0,-1,0,39900000,Беговой, 1-я Ямского Поля,24,Белорусская,
Владис,real_estate_agent,https://www.cian.ru/sale/flat/306341277/,Москва,sale,flat,6,12,2,81.9,-1,0,41000000,Хорошевский,Ходынский бульвар,19,ЦСКА,Гранд-парк
Ramenky Realty,real_estate_agent,https://www.cian.ru/sale/flat/304330058/,Москва,sale,flat,7,14,2,68.9,-1,0,41000000,Раменки,проспект Генерала Дорохова,39к1В,Минская,Собрание клубных домов West Garden
EstateLiga,real_estate_agent,https://www.cian.ru/sale/flat/309092668/,Москва,sale,flat,12,32,2,72.0,-1,0,41990000,Даниловский,1-й Кожевнический переулок,6,Павелецкая,HIGH LIFE
ID 91109179,real_estate_agent,https://www.cian.ru/sale/flat/294452835/,Москва,sale,flat,16,78,2,62.0,-1,0,42000000,Пресненский,1-й Красногвардейский проезд,22с2,Москва-Сити,NEVA TOWERS
GRAND ESTATE - Премиальная недвижимость,real_estate_agent,https://www.cian.ru/sale/flat/308335219/,Москва,sale,flat,15,23,2,100.8,-1,0,42000000,Раменки, Пырьева,9к2,Поклонная,
Kalinka Group,real_estate_agent,https://www.cian.ru/sale/flat/305363296/,Москва,sale,flat,4,15,2,60.0,-1,0,43000000,Останкинский,проспект Мира,95,Алексеевская,Hill8
Chase R.E.S.,real_estate_agent,https://www.cian.ru/sale/flat/307521816/,Москва,sale,flat,9,22,2,101.0,-1,0,43000000,Раменки,Минская ,1ГК2,Ломоносовский проспект,Золотые Ключи 2
Аврора Проперти,real_estate_agent,https://www.cian.ru/sale/flat/302603095/,Москва,sale,flat,3,7,2,45.0,-1,0,43000000,Пресненский,Большой Тишинский переулок,38,Улица 1905 года,Sinatra
BARNES International Realty,real_estate_agent,https://www.cian.ru/sale/flat/308891369/,Москва,sale,flat,28,29,2,53.6,-1,0,42800000,Якиманка,Мытная ,40к4,Октябрьская,Sky House
Vesco Realty,real_estate_agent,https://www.cian.ru/sale/flat/300660827/,Москва,sale,flat,28,29,2,53.6,-1,0,42800000,Якиманка,Мытная ,40к4,Октябрьская,Sky House
do A.S.A.P.,real_estate_agent,https://www.cian.ru/sale/flat/306681137/,Москва,sale,flat,3,37,2,70.0,-1,0,43500000,Хорошево-Мневники,Шелепихинская набережная,34к1,Шелепиха,
ID 413522,realtor,https://www.cian.ru/sale/flat/307569727/,Москва,sale,flat,7,21,2,75.2,-1,0,44000000,Раменки,Мосфильмовская ,88к4,Раменки,Мосфильмовский
ЛИДЕР Риэлти,real_estate_agent,https://www.cian.ru/sale/flat/308559063/,Москва,sale,flat,15,40,2,48.0,-1,0,44500000,Хорошевский,Ленинградский проспект,37/4,ЦСКА,Прайм Парк
Kalinka Group,real_estate_agent,https://www.cian.ru/sale/flat/305322547/,Москва,sale,flat,4,28,2,55.0,-1,0,45000000,Филевский парк, Василисы Кожиной,13,Парк Победы,Квартал апартаментов Match Point
