author,author_type,url,location,deal_type,accommodation_type,floor,floors_count,rooms_count,total_meters,price_per_month,commissions,price,district,street,house_number,underground,residential_complex
Магазин новостроек,representative_developer,https://krasnodar.cian.ru/sale/flat/298623223/,Москва и МО,sale,flat,5,8,2,55.42,-1,0,7515007,,,,,ЮГГЕ
Магазин новостроек,representative_developer,https://krasnodar.cian.ru/sale/flat/303685498/,Москва и МО,sale,flat,8,9,2,54.9,-1,0,8756550,Прикубанский, Им. Мурата Ахеджака,12к9,,Микрорайон Красная площадь
Магазин новостроек,representative_developer,https://krasnodar.cian.ru/sale/flat/302742423/,Москва и МО,sale,flat,1,21,2,57.9,-1,0,8809133,Прикубанский, Героя Владислава Посадского,14/1,,Бауинвест
Ак Барс Дом,developer,https://kazan.cian.ru/sale/flat/300753042/,Москва и МО,sale,flat,2,10,2,52.89,-1,0,8832630,,,,,Дома у Сада. Квартал-сад
4ROOMS,real_estate_agent,https://spb.cian.ru/sale/flat/301975182/,Москва и МО,sale,flat,6,19,2,62.2,-1,0,9500000,Красносельский, Коммунаров,188к3,Ленинский проспект,Дудергофская линия 3
ID 23629805,homeowner,https://spb.cian.ru/sale/flat/301437127/,Москва и МО,sale,flat,4,5,2,60.0,-1,0,12400000,Московский,Московский проспект,124,Московские ворота,
ID 16217262,realtor,https://spb.cian.ru/sale/flat/304867272/,Москва и МО,sale,flat,2,5,2,47.7,-1,0,15950000,Московский,Варшавская ,48,Парк Победы,
Элитный берег,real_estate_agent,https://sochi.cian.ru/sale/flat/279415246/,Москва и МО,sale,flat,5,6,2,55.0,-1,0,17000000,,,,,
Магазин новостроек,representative_developer,https://krasnodar.cian.ru/sale/flat/294468385/,Москва и МО,sale,flat,4,15,2,64.9,-1,0,18656000,мкр. ЗИП, Имени 40-летия Победы,33Г,,Development-Plaza
Винсент Недвижимость. комплексное сопровождение сделки.,real_estate_agent,https://sochi.cian.ru/sale/flat/300062463/,Москва и МО,sale,flat,4,6,2,50.0,-1,0,19000000,,,,,
Винсент Недвижимость. комплексное сопровождение сделки.,real_estate_agent,https://sochi.cian.ru/sale/flat/307520599/,Москва и МО,sale,flat,5,6,2,42.0,-1,0,21000000,с. Эстосадок, Горная Карусель,6,,
NEXT,real_estate_agent,https://spb.cian.ru/sale/flat/292456458/,Москва и МО,sale,flat,5,9,2,53.0,-1,0,24490000,Петроградский,Лодейнопольская ,7,Чкаловская,Авторский дом Tesoro by Akvilon
СОВА - Недвижимость Сургут,real_estate_agent,https://surgut.cian.ru/sale/flat/309216091/,Москва и МО,sale,flat,6,17,2,48.0,-1,0,5250000,мкр. 38-й,тракт Тюменский,4,,
ДОМ СТРИТ,real_estate_agent,https://sevastopol.cian.ru/sale/flat/307062023/,Москва и МО,sale,flat,1,4,2,55.2,-1,0,6490000,Балаклавский, Малиновского,2,,
ZAPAD REALTY - офис Маршала Жукова,real_estate_agent,https://krasnogorsk.cian.ru/sale/flat/298701017/,Москва и МО,sale,flat,8,8,2,50.0,-1,0,6500000,д. Сабурово, Заречная,3,,Митино О2
Отдел продаж,real_estate_agent,https://yaroslavl.cian.ru/sale/flat/309091597/,Москва и МО,sale,flat,3,3,2,69.15,-1,0,7550000,Заволжский,Тверицкая набережная,58Ак1,,
СОВА - Недвижимость Сургут,real_estate_agent,https://surgut.cian.ru/sale/flat/308579207/,Москва и МО,sale,flat,6,17,2,68.2,-1,0,7700000,мкр. 20А, 30 лет Победы,42/1,,
Павел Павлик,realtor,https://kaliningrad.cian.ru/sale/flat/307212198/,Москва и МО,sale,flat,4,9,2,64.3,-1,0,7700000,Ленинградский, Генерала Челнокова,46,,Солнечный город
Гильдия Риэлторов Москвы,real_estate_agent,https://solnechnogorsk.cian.ru/sale/flat/309266091/,Москва и МО,sale,flat,23,25,2,83.8,-1,0,8490000,д. Голубое,проезд Сургутский,1к3,,Первый Зеленоградский
НДВ,real_estate_agent,https://krasnogorsk.cian.ru/sale/flat/304964418/,Москва и МО,sale,flat,3,7,2,59.86,-1,0,9950000,Нахабино рп, Белобородова,12,,Красногорский
НДВ,real_estate_agent,https://odintsovo.cian.ru/sale/flat/306952569/,Москва и МО,sale,flat,11,17,2,51.0,-1,0,10000000,с. Немчиновка, Связистов,2,,Микрорайон Немчиновка
CENTURY 21 Столичная недвижимость,real_estate_agent,https://odintsovo.cian.ru/sale/flat/307413404/,Москва и МО,sale,flat,5,24,2,62.3,-1,0,10800000,, Чистяковой,6,Сколково,
Александр Силантьев,realtor,https://krasnogorsk.cian.ru/sale/flat/309226055/,Москва и МО,sale,flat,3,12,2,61.8,-1,0,11000000,, Ткацкой фабрики,23,Аникеевка,
CENTURY 21 Перспектива,real_estate_agent,https://www.cian.ru/sale/flat/308457725/,Москва и МО,sale,flat,18,25,2,55.2,-1,0,11500000,Некрасовка,2-я Вольская ,1к1,Люберцы,
CENTURY 21 Столичная недвижимость,real_estate_agent,https://www.cian.ru/sale/flat/309151984/,Москва и МО,sale,flat,3,8,2,42.0,-1,0,11799000,, Николо-Хованская,18,Ольховая,Николин Парк
Villagio Realty,official_representative,https://www.cian.ru/sale/flat/309060249/,Москва и МО,sale,flat,8,9,2,43.1,-1,0,12300000,Солнцево, 50 лет Октября,3,Говорово,
CENTURY 21 Перспектива,real_estate_agent,https://www.cian.ru/sale/flat/307802818/,Москва и МО,sale,flat,12,17,2,50.0,-1,0,12500000,Некрасовка, Недорубова,20к2,Некрасовка,Некрасовка
CENTURY 21 Столичная недвижимость,real_estate_agent,https://www.cian.ru/sale/flat/305746643/,Москва и МО,sale,flat,9,17,2,57.9,-1,0,13749000,, Бианки,8к2,Рассказовка,
