author,author_type,url,location,deal_type,accommodation_type,floor,floors_count,rooms_count,total_meters,price_per_month,commissions,price,district,street,house_number,underground,residential_complex
Этажи Москва,real_estate_agent,https://www.cian.ru/sale/flat/304784188/,Москва,sale,flat,1,14,1,37.2,-1,0,9900000,Сокол,Ленинградский проспект,80к66,Сокол,
Этажи Москва,real_estate_agent,https://www.cian.ru/sale/flat/307589240/,Москва,sale,flat,8,14,1,38.6,-1,0,9899000,Южное Бутово, Адмирала Лазарева,45,Бунинская аллея,
ГОРОДА,real_estate_agent,https://www.cian.ru/sale/flat/308108555/,Москва,sale,flat,2,19,1,36.35,-1,0,9900000,,,,Рассказовка,Городские Истории ЖК
Макспол Парк Культуры,real_estate_agent,https://www.cian.ru/sale/flat/307410139/,Москва,sale,flat,4,9,1,31.8,-1,0,9890000,Царицыно, Бехтерева,9К1,Кантемировская,
Адрес,real_estate_agent,https://www.cian.ru/sale/flat/305815291/,Москва,sale,flat,3,4,1,31.8,-1,0,9900000,Хорошево-Мневники,Живописная ,5К6,Народное Ополчение,
ID 88424902,unknown,https://www.cian.ru/sale/flat/308261330/,Москва,sale,flat,2,10,1,36.0,-1,0,9870000,, Золотошвейная,6,Филатов Луг,
Этажи Москва,real_estate_agent,https://www.cian.ru/sale/flat/306786480/,Москва,sale,flat,3,9,1,32.6,-1,0,10000000,Котловка,Севастопольский проспект,13К3,Крымская,
Этажи Москва,real_estate_agent,https://www.cian.ru/sale/flat/306572545/,Москва,sale,flat,6,12,1,32.6,-1,0,10000000,Строгино, Твардовского,1,Строгино,
Этажи Москва,real_estate_agent,https://www.cian.ru/sale/flat/303544993/,Москва,sale,flat,7,9,1,39.0,-1,0,10000000,Южное Бутово, Академика Семенова,15,Бунинская аллея,
Этажи Москва,real_estate_agent,https://www.cian.ru/sale/flat/306837367/,Москва,sale,flat,1,14,1,54.7,-1,0,9950000,Покровское-Стрешнево,1-й Тушинский проезд,19,Тушинская,
Этажи Москва,real_estate_agent,https://www.cian.ru/sale/flat/305952028/,Москва,sale,flat,10,16,1,37.8,-1,0,10000000,Лианозово,Псковская ,10К1,Лианозово,
Этажи Москва,real_estate_agent,https://www.cian.ru/sale/flat/308057609/,Москва,sale,flat,6,16,1,36.2,-1,0,9990000,Ярославский, Ротерта,10К2,Медведково,
Этажи Москва,real_estate_agent,https://www.cian.ru/sale/flat/308354835/,Москва,sale,flat,3,8,1,25.9,-1,0,9990000,Аэропорт,Большой Коптевский проезд,3С7,Красный Балтиец,
Этажи Москва,real_estate_agent,https://www.cian.ru/sale/flat/306225490/,Москва,sale,flat,16,25,1,32.2,-1,0,10000000,Ярославский,Лосиноостровская ,вл45к4,Свиблово,Сказочный лес
Msk Estate,real_estate_agent,https://www.cian.ru/sale/flat/308016731/,Москва,sale,flat,2,4,1,20.5,-1,0,10000000,Басманный, Радио,14С1,Бауманская,
Парадайс,real_estate_agent,https://www.cian.ru/sale/flat/306651133/,Москва,sale,flat,14,22,1,35.0,-1,0,10000000,Некрасовка, Маресьева,6к1,Некрасовка,Квартал Некрасовка
Этажи Москва,real_estate_agent,https://www.cian.ru/sale/flat/305972603/,Москва,sale,flat,9,18,1,38.8,-1,0,10100000,Бирюлево Восточное,6-я Радиальная ,7/6к3,Каспийская,Царицыно-2
Этажи Москва,real_estate_agent,https://www.cian.ru/sale/flat/308847915/,Москва,sale,flat,1,9,1,34.2,-1,0,10100000,Северное Медведково,Широкая ,13К1,Медведково,
Самолет Плюс Москва ЦАО,real_estate_agent,https://www.cian.ru/sale/flat/301489628/,Москва,sale,flat,5,9,1,31.9,-1,0,10100000,Нагорный,Болотниковская ,9,Варшавская,
Msk Estate,real_estate_agent,https://www.cian.ru/sale/flat/304589303/,Москва,sale,flat,5,8,1,38.5,-1,0,10050000,Соколиная гора,Окружной проезд,15,Измайлово,
Этажи Москва,real_estate_agent,https://www.cian.ru/sale/flat/307385497/,Москва,sale,flat,3,17,1,41.4,-1,0,10200000,, Александры Монаховой,109к1,Потапово,Бунинский
Эксклюзив Хоум,real_estate_agent,https://www.cian.ru/sale/flat/307780615/,Москва,sale,flat,2,25,1,33.5,-1,0,10200000,Люблино,Люблинская ,72Ак2,Депо,Люблинский парк
CENTURY 21 Столичная недвижимость,real_estate_agent,https://www.cian.ru/sale/flat/308560480/,Москва,sale,flat,16,17,1,38.5,-1,0,10200000,, Летчика Грицевца,12,Пыхтино,Солнцево парк
Homeapp,real_estate_agent,https://www.cian.ru/sale/flat/302855087/,Москва,sale,flat,10,12,1,38.7,-1,0,10199999,Люблино, Маршала Кожедуба,16К1,Люблино,
ФСК Агент,real_estate_agent,https://www.cian.ru/sale/flat/307530002/,Москва,sale,flat,13,17,1,42.2,-1,0,10200000,,,6,Аэропорт Внуково,
Этажи Москва,real_estate_agent,https://www.cian.ru/sale/flat/308832479/,Москва,sale,flat,4,15,1,19.0,-1,0,10300000,Южное Медведково,Полярная ,27к2,Медведково,Полярная 25
Этажи Москва,real_estate_agent,https://www.cian.ru/sale/flat/306699090/,Москва,sale,flat,1,12,1,35.4,-1,0,10300000,Тимирязевский,Красностуденческий проезд,5,Тимирязевская,
Этажи Москва,real_estate_agent,https://www.cian.ru/sale/flat/306466602/,Москва,sale,flat,12,17,1,38.1,-1,0,10300000,,,20,Бачуринская,
