author,author_type,url,location,deal_type,accommodation_type,floor,floors_count,rooms_count,total_meters,price_per_month,commissions,price,district,street,house_number,underground,residential_complex
Железно Эксперт,real_estate_agent,https://kirov.cian.ru/sale/flat/299654907/,Москва и МО,sale,flat,7,7,3,107.9,-1,0,9990000,Ленинский, Дмитрия Козулева,4,,ZNAK
Прайм,real_estate_agent,https://krym.cian.ru/sale/flat/308046158/,Москва и МО,sale,flat,1,7,3,81.2,-1,0,10800000,Гурзуф пгт, Строителей,11Ак2,,
Магазин новостроек,representative_developer,https://krasnodar.cian.ru/sale/flat/300591197/,Москва и МО,sale,flat,2,9,3,79.0,-1,0,10819300,"на 2 этаже. Новый жилой комплекс ""Лето"" от застройщика ""ГК Дарстрой"" расположен по адресу город Краснодар", Западный Обход.,,,Лето
CENTURY 21 Перспектива,real_estate_agent,https://reutov.cian.ru/sale/flat/309045457/,Москва и МО,sale,flat,18,25,3,59.0,-1,0,11000000,,Носовихинское шоссе,43,Новокосино,Новокосино-2
РИСАН,developer,https://penza.cian.ru/sale/flat/296802730/,Москва и МО,sale,flat,9,23,3,83.3,-1,0,11078900,Ленинский,,,,Центральный квартал Скала Сити ЖК
РИСАН,developer,https://penza.cian.ru/sale/flat/278000596/,Москва и МО,sale,flat,3,16,3,94.5,-1,0,11151000,Ленинский,Революционная ,с34,,Urban-квартал SVOBODA
CENTURY 21 Перспектива,real_estate_agent,https://lyubertsy.cian.ru/sale/flat/308282149/,Москва и МО,sale,flat,9,17,3,78.0,-1,0,11700000,,проспект Победы,13,Люберцы,
Железно Эксперт,real_estate_agent,https://kirov.cian.ru/sale/flat/303122719/,Москва и МО,sale,flat,8,10,3,89.4,-1,0,11980000,Октябрьский,Советская ,92,,
Азбука Дома,real_estate_agent,https://spb.cian.ru/sale/flat/304004953/,Москва и МО,sale,flat,6,12,3,72.0,-1,0,12490000,Московский,Пулковское шоссе,5К1,Московская,
Первый Трест,developer,https://ufa.cian.ru/sale/flat/303764174/,Москва и МО,sale,flat,10,32,3,70.5,-1,0,13148300,Советский, Пархоменко,,,Grand Avenue
АН Петро-риэлт,real_estate_agent,https://spb.cian.ru/sale/flat/309208702/,Москва и МО,sale,flat,9,13,3,70.2,-1,0,13300000,Приморский,Вербная ,20/2,Удельная,
