author,author_type,url,location,deal_type,accommodation_type,floor,floors_count,rooms_count,total_meters,price_per_month,commissions,price,district,street,house_number,underground,residential_complex
BRIGHT ESTATE - городская недвижимость,real_estate_agent,https://www.cian.ru/sale/flat/303778337/,Москва,sale,flat,9,14,2,99.9,-1,0,134500000,Хамовники, Усачева,15А,Спортивная,Садовые кварталы
ID 207675,realtor,https://www.cian.ru/sale/flat/306229226/,Москва,sale,flat,8,9,2,44.0,-1,0,15500000,Савеловский,Башиловская ,1К1,Савёловская,
MR Group,developer,https://www.cian.ru/sale/flat/307788196/,Москва,sale,flat,18,47,2,57.84,-1,0,25912320,Хорошево-Мневники,,,Полежаевская,Джойс ЖК
Этажи Москва,real_estate_agent,https://www.cian.ru/sale/flat/307671658/,Москва,sale,flat,8,16,2,49.3,-1,0,47900000,Раменки,проспект Генерала Дорохова,39к2Б,Минская,Собрание клубных домов West Garden
Мария Кочерыгина,realtor,https://www.cian.ru/sale/flat/308493653/,Москва,sale,flat,1,5,2,38.8,-1,0,9850000,Южное Тушино,Лодочная ,31С1,Сходненская,
Hutton Development,developer,https://www.cian.ru/sale/flat/305627324/,Москва,sale,flat,4,17,2,88.1,-1,0,51098000,Гагаринский,Ленинский проспект,38,Ленинский проспект,Lunar
Whitewill,real_estate_agent,https://www.cian.ru/sale/flat/309103154/,Москва,sale,flat,9,14,2,77.0,-1,0,59900000,Раменки,проспект Генерала Дорохова,39к1Г,Минская,Собрание клубных домов West Garden
TimeProperty,real_estate_agent,https://www.cian.ru/sale/flat/307089602/,Москва,sale,flat,31,40,2,79.1,-1,0,30500000,Ховрино, Дыбенко,38к1,Ховрино,
Ташир,developer,https://www.cian.ru/sale/flat/274701470/,Москва,sale,flat,12,17,2,44.4,-1,0,28704600,Раменки,Мичуринский проспект,вл30Б,Ломоносовский проспект,Legacy
Этажи Москва,real_estate_agent,https://www.cian.ru/sale/flat/307861663/,Москва,sale,flat,16,18,2,86.3,-1,0,50000000,Раменки,Мосфильмовская ,88к4с1,Раменки,Мосфильмовский
Авеню-Мск,real_estate_agent,https://www.cian.ru/sale/flat/307311593/,Москва,sale,flat,16,17,2,54.7,-1,0,12700000,, Летчика Грицевца,8,Пыхтино,Солнцево парк
Стадион Спартак,developer,https://www.cian.ru/sale/flat/298406172/,Москва,sale,flat,4,13,2,66.7,-1,0,32609630,Покровское-Стрешнево,Вивальди кв-л,,Спартак,Клубный Город на Реке Примавера ЖК
Century 21 Street Realty,real_estate_agent,https://www.cian.ru/sale/flat/297469215/,Москва,sale,flat,8,9,2,64.2,-1,0,76600000,Тверской,1-я Тверская-Ямская ,2,Маяковская,Vesper Tverskaya
Ксения Шахматова,realtor,https://www.cian.ru/sale/flat/307495517/,Москва,sale,flat,8,9,2,44.0,-1,0,14700000,Отрадное, Пестеля,2,Отрадное,
РГ-Девелопмент,developer,https://www.cian.ru/sale/flat/307196512/,Москва,sale,flat,4,20,2,36.0,-1,0,14260428,Головинский,Михалковская ,48С4,Коптево,Михалковский
Whitewill,real_estate_agent,https://www.cian.ru/sale/flat/303137027/,Москва,sale,flat,2,5,2,106.0,-1,0,155000000,Тверской,Никольская ,10,Площадь Революции,St. Nickolas
HOUSE MALL - Городская недвижимость,real_estate_agent,https://www.cian.ru/sale/flat/293704749/,Москва,sale,flat,4,38,2,65.0,-1,0,23000000,Ростокино,проспект Мира,188Бк4,Ростокино,Триколор
Sminex,developer,https://www.cian.ru/sale/flat/294328857/,Москва,sale,flat,3,6,2,124.3,-1,0,270980000,Басманный,Потаповский переулок,5С4,Чистые пруды,Чистые Пруды
ID 112591621,homeowner,https://www.cian.ru/sale/flat/308498116/,Москва,sale,flat,13,47,2,51.0,-1,0,32950000,Дорогомилово,Кутузовский проезд,16А/1,Фили,River Park Кутузовский
Intermark Real Estate,real_estate_agent,https://www.cian.ru/sale/flat/306378692/,Москва,sale,flat,10,24,2,43.0,-1,0,21000000,Готовая кв-ра в Даниловском е2-комн. квартира,43 м²,,,
Концерн КРОСТ,developer,https://www.cian.ru/sale/flat/298380230/,Москва,sale,flat,8,19,2,57.7,-1,0,28388400,Щукино, Расплетина,2к1,Октябрьское поле,Театральный квартал
Этажи Москва,real_estate_agent,https://www.cian.ru/sale/flat/308489848/,Москва,sale,flat,5,9,2,87.0,-1,0,49900000,Хамовники, Усачева,19АК3,Спортивная,
SPENСER ESTATE,real_estate_agent,https://www.cian.ru/sale/flat/301635513/,Москва,sale,flat,6,10,2,54.2,-1,0,26500000,Дорогомилово,Кутузовский проспект,4/2,Киевская,
Донстрой,developer,https://www.cian.ru/sale/flat/308969243/,Москва,sale,flat,2,16,2,85.4,-1,0,63196000,Раменки, Сергея Бондарчука,2,Мичуринский проспект,Река
Этажи Москва,real_estate_agent,https://www.cian.ru/sale/flat/305931055/,Москва,sale,flat,9,11,2,57.0,-1,0,49000000,Хамовники, Хамовнический Вал,2,Лужники,
Dream Realty,real_estate_agent,https://www.cian.ru/sale/flat/307032811/,Москва,sale,flat,5,24,2,49.1,-1,0,14100000,, Бачуринская,11Ак1,Новомосковская,Новая Звезда
Донстрой,developer,https://www.cian.ru/sale/flat/308969075/,Москва,sale,flat,7,19,2,55.8,-1,0,32062680,Хорошево-Мневники,Жилой комплекс остров,4,Мнёвники,Остров
MC REALTY,real_estate_agent,https://www.cian.ru/sale/flat/307844219/,Москва,sale,flat,7,78,2,62.0,-1,0,43500000,Пресненский,1-й Красногвардейский проезд,22с2,Москва-Сити,NEVA TOWERS
