author_type,url,floor,floors_count,rooms_count,total_meters,price,underground,availability_underground,price_per_meter
real_estate_agent,https://sochi.cian.ru/sale/flat/308179318/,10,12,2,65.0,17200000,,False,264615
real_estate_agent,https://www.cian.ru/sale/flat/308307376/,1,9,2,48.0,14900000,Нахимовский проспект,True,310417
developer,https://www.cian.ru/sale/flat/302838489/,8,13,2,64.0,37645480,Дубровка,True,588211
real_estate_agent,https://sochi.cian.ru/sale/flat/308159418/,3,6,1,52.0,20360000,,False,391538
real_estate_agent,https://www.cian.ru/sale/flat/308907514/,10,19,1,60.0,27500000,Народное Ополчение,True,458333
developer,https://ekb.cian.ru/sale/flat/298221157/,3,9,1,55.0,18788500,Динамо,True,341609
real_estate_agent,https://sochi.cian.ru/sale/flat/308179200/,3,6,1,47.3,18120000,,False,383087
real_estate_agent,https://sochi.cian.ru/sale/flat/308792977/,17,20,2,65.0,16800000,,False,258462
real_estate_agent,https://www.cian.ru/sale/flat/307958485/,11,21,2,80.0,46400000,Раменки,True,580000
developer,https://kazan.cian.ru/sale/flat/308452045/,4,20,1,27.3,8593358,Аметьево,True,314775
real_estate_agent,https://www.cian.ru/sale/flat/302534155/,2,8,2,77.2,110000000,Новокузнецкая,True,1424870
real_estate_agent,https://www.cian.ru/sale/flat/307306069/,31,37,2,61.0,35490000,Калужская,True,581803
representative_developer,https://kaliningrad.cian.ru/sale/flat/308136561/,2,4,1,29.45,10560000,,False,358574
real_estate_agent,https://sochi.cian.ru/sale/flat/308179099/,15,21,2,76.0,20000000,,False,263158
real_estate_agent,https://www.cian.ru/sale/flat/308525819/,22,22,1,19.4,8380000,Юго-Западная,True,431959
real_estate_agent,https://www.cian.ru/sale/flat/307680453/,7,36,2,84.3,57000000,Шелепиха,True,676157
real_estate_agent,https://www.cian.ru/sale/flat/298907222/,1,12,2,54.8,14200000,Перово,True,259124
developer,https://ekb.cian.ru/sale/flat/307999546/,10,19,1,31.0,5247900,Площадь 1905 года,True,169287
real_estate_agent,https://www.cian.ru/sale/flat/304963966/,3,12,2,65.6,82000000,Ломоносовский проспект,True,1250000
real_estate_agent,https://spb.cian.ru/sale/flat/304295755/,2,8,2,112.8,36660000,Петроградская,True,325000
developer,https://www.cian.ru/sale/flat/308969323/,19,25,2,57.7,24914860,Авиамоторная,True,431800
real_estate_agent,https://spb.cian.ru/sale/flat/298528839/,3,8,2,61.0,35000000,Василеостровская,True,573770
developer,https://ekb.cian.ru/sale/flat/293993893/,13,27,2,61.78,12089000,Геологическая,True,195678
real_estate_agent,https://www.cian.ru/sale/flat/301520504/,2,21,2,116.0,140000000,Улица 1905 года,True,1206897
developer,https://ryazan.cian.ru/sale/flat/303065634/,2,16,2,49.4,6031500,,False,122095
real_estate_agent,https://spb.cian.ru/sale/flat/301620868/,4,10,2,64.3,20897500,Удельная,True,325000
real_estate_agent,https://vidnoye.cian.ru/sale/flat/302233308/,4,14,2,53.0,11450000,,False,216038
realtor,https://www.cian.ru/sale/flat/305332515/,31,67,2,51.5,49000000,Москва-Сити,True,951456
real_estate_agent,https://www.cian.ru/sale/flat/308852454/,9,12,1,39.0,13500000,Тропарёво,True,346154
real_estate_agent,https://www.cian.ru/sale/flat/290532622/,3,7,2,112.0,85000000,Спортивная,True,758929
real_estate_agent,https://www.cian.ru/sale/flat/306945307/,21,24,1,40.8,30000000,Полежаевская,True,735294
developer,https://rostov.cian.ru/sale/flat/293511071/,2,25,2,39.4,6170040,,False,156600
real_estate_agent,https://sochi.cian.ru/sale/flat/297792239/,14,17,1,39.0,16000000,,False,410256
real_estate_agent,https://tver.cian.ru/sale/flat/307952490/,1,5,1,35.3,2950000,,False,83569
real_estate_agent,https://www.cian.ru/sale/flat/307100435/,1,16,2,54.0,13800000,Ясенево,True,255556
real_estate_agent,https://www.cian.ru/sale/flat/307400222/,2,6,2,58.0,18500000,Тушинская,True,318966
real_estate_agent,https://krasnogorsk.cian.ru/sale/flat/298701017/,8,8,2,50.0,6500000,,False,130000
real_estate_agent,https://www.cian.ru/sale/flat/306516350/,21,22,1,39.0,11300000,Алма-Атинская,True,289744
developer,https://krasnodar.cian.ru/sale/flat/302609050/,2,22,1,49.7,9825690,,False,197700
real_estate_agent,https://www.cian.ru/sale/flat/308472375/,4,22,2,73.9,38000000,Парк Победы,True,514208
developer,https://www.cian.ru/sale/flat/307196512/,4,20,2,36.0,14260428,Коптево,True,396123
developer,https://penza.cian.ru/sale/flat/296802849/,5,23,2,60.5,7804500,,False,129000
real_estate_agent,https://www.cian.ru/sale/flat/304817239/,10,34,2,64.4,51000000,Поклонная,True,791925
real_estate_agent,https://www.cian.ru/sale/flat/293718260/,5,6,1,43.0,26900000,Белорусская,True,625581
real_estate_agent,https://www.cian.ru/sale/flat/303766765/,4,20,2,76.6,62046000,Краснопресненская,True,810000
developer,https://www.cian.ru/sale/flat/305787512/,40,67,2,73.2,84180000,Москва-Сити,True,1150000
real_estate_agent,https://www.cian.ru/sale/flat/306875192/,6,6,2,96.0,257000000,Парк Культуры,True,2677083
developer,https://spb.cian.ru/sale/flat/305427246/,3,4,1,36.32,13581865,,False,373950
real_estate_agent,https://mytishchi.cian.ru/sale/flat/306552701/,8,17,1,28.0,8950000,,False,319643
representative_developer,https://odintsovo.cian.ru/sale/flat/302836251/,2,4,2,70.03,12500026,,False,178495
real_estate_agent,https://www.cian.ru/sale/flat/308801170/,13,25,1,38.8,14800000,Бульвар Генерала Карбышева,True,381443
real_estate_agent,https://www.cian.ru/sale/flat/307414383/,15,18,1,38.5,16500000,Стрешнево,True,428571
developer,https://www.cian.ru/sale/flat/293623772/,6,28,1,43.5,17182500,Полежаевская,True,395000
real_estate_agent,https://www.cian.ru/sale/flat/307585490/,17,22,1,43.5,19200000,Стрешнево,True,441379
real_estate_agent,https://www.cian.ru/sale/flat/306378692/,10,24,2,43.0,21000000,,False,488372
real_estate_agent,https://www.cian.ru/sale/flat/302620165/,16,33,2,42.4,21000000,Шелепиха,True,495283
real_estate_agent,https://www.cian.ru/sale/flat/307504573/,30,44,2,64.9,21500000,Трикотажная,True,331279
realtor,https://www.cian.ru/sale/flat/300511201/,2,12,2,57.0,24300000,Молодёжная,True,426316
real_estate_agent,https://www.cian.ru/sale/flat/305282187/,15,25,2,73.0,25500000,Аминьевская,True,349315
real_estate_agent,https://www.cian.ru/sale/flat/308618379/,20,21,2,61.9,31000000,ЗИЛ,True,500808
developer,https://www.cian.ru/sale/flat/301460277/,16,39,1,37.2,33428069,Павелецкая,True,898604
real_estate_agent,https://www.cian.ru/sale/flat/306826191/,4,4,2,75.7,35900000,Марьина Роща,True,474240
real_estate_agent,https://www.cian.ru/sale/flat/306825825/,2,23,2,74.6,36000000,Терехово ,True,482574
real_estate_agent,https://www.cian.ru/sale/flat/304787082/,5,17,2,49.0,36800000,Ленинский проспект,True,751020
real_estate_agent,https://www.cian.ru/sale/flat/296565916/,4,8,2,65.0,39900000,Маяковская,True,613846
real_estate_agent,https://www.cian.ru/sale/flat/308111518/,14,15,2,59.2,43500000,Нагатинский Затон,True,734797
real_estate_agent,https://www.cian.ru/sale/flat/296485274/,2,15,2,74.0,48000000,Динамо,True,648649
real_estate_agent,https://www.cian.ru/sale/flat/308995560/,5,22,2,100.0,77000000,Университет,True,770000
real_estate_agent,https://www.cian.ru/sale/flat/304865144/,3,12,2,66.0,82000000,Ломоносовский проспект,True,1242424
developer,https://khotkovo.cian.ru/sale/flat/294351190/,2,9,2,64.5,7617450,,False,118100
real_estate_agent,https://www.cian.ru/sale/flat/308525822/,22,22,1,14.3,8280000,Юго-Западная,True,579021
real_estate_agent,https://www.cian.ru/sale/flat/308100205/,22,22,1,14.3,8280000,Юго-Западная,True,579021
real_estate_agent,https://www.cian.ru/sale/flat/296124514/,22,22,1,17.2,8780000,Юго-Западная,True,510465
real_estate_agent,https://www.cian.ru/sale/flat/308525825/,22,22,1,17.2,8780000,Юго-Западная,True,510465
real_estate_agent,https://www.cian.ru/sale/flat/294621795/,22,22,1,19.4,8880000,Юго-Западная,True,457732
real_estate_agent,https://www.cian.ru/sale/flat/305694039/,22,22,1,19.4,8880000,Юго-Западная,True,457732
real_estate_agent,https://www.cian.ru/sale/flat/308525823/,22,22,1,16.0,8880000,Юго-Западная,True,555000
real_estate_agent,https://www.cian.ru/sale/flat/300171400/,22,22,1,17.2,9110000,Юго-Западная,True,529651
real_estate_agent,https://www.cian.ru/sale/flat/305694241/,22,22,1,20.0,9770000,Юго-Западная,True,488500
developer,https://novosibirsk.cian.ru/sale/flat/284461401/,9,25,2,85.3,14760200,Заельцовская,True,173039
real_estate_agent,https://www.cian.ru/sale/flat/307113976/,4,9,2,45.0,17490000,Войковская,True,388667
real_estate_agent,https://www.cian.ru/sale/flat/308564452/,8,12,2,38.3,18315000,Полежаевская,True,478198
developer,https://www.cian.ru/sale/flat/303506233/,8,28,1,39.7,18464470,Нагорная,True,465100
real_estate_agent,https://www.cian.ru/sale/flat/296060335/,51,53,2,37.4,19500000,Мичуринский проспект,True,521390
real_estate_agent,https://www.cian.ru/sale/flat/307590623/,18,22,1,43.4,19500000,Стрешнево,True,449309
